,Company,Price,Allocation,Dollar Value,Shares
ADSK,Autodesk Inc,136.190002,0.04188457275697663,9675,71
AMZN,Amazon.com Inc,1591.0,0.04999999999720042,11549,7
CRM,Salesforce.com,127.989998,0.04999999996169336,11549,90
CTSH,Cognizant Tech Solutions Corp,83.629997,0.04999999998413585,11549,138
EA,Electronic Arts,127.970001,0.029647599274271328,6848,53
EL,Estee Lauder Cos. A,145.089996,0.0499999999715093,11549,79
EVHC,Envision Healthcare Corp,39.41,0.04999999999716995,11549,293
EW,Edwards Lifesciences Corp,141.0,0.049999999993206166,11549,81
FISV,Fiserv Inc,147.589996,0.04999999994605357,11549,78
GWW,Grainger W.W. Inc,280.209991,0.04999999992901322,11549,41
HCA,HCA Healthcare Inc,101.93,0.020771025057084978,4798,47
HPE,Hewlett Packard Enterprise Co,18.85,0.04999999998050395,11549,612
IDXX,IDEXX Laboratories Inc,203.580002,0.04999999999091345,11549,56
IPG,Interpublic Group Cos,23.440001,0.0106776849660632,2466,105
MSI,Motorola Solutions Inc,108.949997,0.0499999999931072,11549,106
NFLX,NetFlix Inc,321.549988,0.04999999999843396,11549,35
QRVO,"Qorvo, Inc",82.220001,0.04999999995340258,11549,140
RE,Everest Re Group Ltd,260.369995,0.04999999996820975,11549,44
RHT,Red Hat Inc,155.03999299999995,0.04999999999567833,11549,74
STX,Seagate Technology,59.93,0.04999999999734297,11549,192
TRIP,TripAdvisor Inc. A,44.049999,0.049999999958707776,11549,262
WYNN,Wynn Resorts Ltd,185.220001,0.024526802182719618,5665,30
XYL,Xylem Inc,77.110001,0.02249231494231435,5195,67
