,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,444,Mr. Jeffrey Jacobson,CEO & Director,1.85M,0.0,1960,2,2018-07-03 02:25:04
1,444,Mr. William F. Osbourn Jr.,Exec. VP & CFO,0,0.0,1965,2,2018-07-03 02:25:04
2,444,Mr. Kevin M. Warren,Exec. VP & Chief Commercial Officer,0,0.0,1963,2,2018-07-03 02:25:04
3,444,Mr. Hervé Tessler,Exec. VP & Pres of International Operations,0,0.0,1963,2,2018-07-03 02:25:04
4,444,Mr. Michael David Feldman,Exec. VP & Pres of North America Operations,0,0.0,1967,2,2018-07-03 02:25:04
