,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,437,Mr. Stephen P. Holmes,Chairman & CEO,2.54M,17.56M,1957,2,2018-07-03 02:22:26
1,437,Mr. David B. Wyshner,Exec. VP & CFO,0,0,1968,2,2018-07-03 02:22:26
2,437,Mr. Geoffrey A. Ballotti,CEO & Pres of Wyndham Hotel Group,1.78M,0,1962,2,2018-07-03 02:22:26
3,437,Ms. Gail Mandel,CEO & Pres of Wyndham Destination Network,1.33M,0,1969,2,2018-07-03 02:22:26
4,437,Mr. Michael D. Brown,CEO & Pres of Wyndham Vacation Ownership,0,0,1971,2,2018-07-03 02:22:26
