,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,494,2,TRACINDA CORP,57173744,2017-05-21 00:00:00,2018-07-03 02:43:40
1,494,2,GROUNDS WILLIAM WARWICK,1350,2017-02-21 00:00:00,2018-07-03 02:43:40
2,494,2,MURREN JAMES,191365,2017-10-06 00:00:00,2018-07-03 02:43:40
3,494,2,BALDWIN ROBERT,70049,2017-10-06 00:00:00,2018-07-03 02:43:40
4,494,2,SANDERS COREY IAN,203425,2017-10-06 00:00:00,2018-07-03 02:43:40
5,494,2,D'ARRIGO DANIEL,167799,2017-10-06 00:00:00,2018-07-03 02:43:40
6,494,2,HORNBUCKLE WILLIAM,157012,2017-10-06 00:00:00,2018-07-03 02:43:40
7,494,2,SELWOOD ROBERT,119897,2017-10-06 00:00:00,2018-07-03 02:43:40
8,494,2,MCMANUS JOHN,54337,2017-11-12 00:00:00,2018-07-03 02:43:40
9,494,2,BIBLE WILLIAM A,17081,2017-11-21 00:00:00,2018-07-03 02:43:40
