,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,88,2,LEIGHTON F THOMSON,337232,2017-12-27 00:00:00,2018-07-03 00:11:31
1,88,2,SAGAN PAUL,99925,2017-08-02 00:00:00,2018-07-03 00:11:31
2,88,2,HARATUNIAN MELANIE,80785,2017-03-07 00:00:00,2018-07-03 00:11:31
3,88,2,SALERNO FREDERIC V,62192,2017-07-26 00:00:00,2018-07-03 00:11:31
4,88,2,GREENTHAL JILL A,38197,2017-05-10 00:00:00,2018-07-03 00:11:31
5,88,2,WHEATON WILLIAM,32612,2018-01-21 00:00:00,2018-07-03 00:11:31
6,88,2,MCCONNELL RICK M,28482,2017-12-17 00:00:00,2018-07-03 00:11:31
7,88,2,CRAIG PAMELA J.,26985,2016-05-12 00:00:00,2018-07-03 00:11:31
8,88,2,HUGHES ROBERT W,24667,2016-03-06 00:00:00,2018-07-03 00:11:31
9,88,2,BLUMOFE ROBERT,22364,2017-10-29 00:00:00,2018-07-03 00:11:31
