,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,555,2,GENERAL ELECTRIC CO,128054898,2017-12-28 00:00:00,2018-07-03 03:06:18
1,555,2,CRAIGHEAD MARTIN S,404964,2017-07-02 00:00:00,2018-07-03 03:06:18
2,555,2,CHARIAG BELGACEM,144178,2017-07-02 00:00:00,2018-07-03 03:06:18
3,555,2,BRENNEMAN GREGORY D,97919,2017-12-14 00:00:00,2018-07-03 03:06:18
4,555,2,MATHIESON DEREK,83081,2018-01-24 00:00:00,2018-07-03 03:06:18
5,555,2,NICHOLS J LARRY,42564,2017-07-02 00:00:00,2018-07-03 03:06:18
6,555,2,CAZALOT CLARENCE P JR,39198,2017-07-02 00:00:00,2018-07-03 03:06:18
7,555,2,MARSH WILLIAM D,29006,2018-01-24 00:00:00,2018-07-03 03:06:18
8,555,2,ELSENHANS LYNN LAVERTY,25090,2017-08-02 00:00:00,2018-07-03 03:06:18
9,555,2,IMMELT JEFFREY R,10000,2017-07-02 00:00:00,2018-07-03 03:06:18
