,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,97,2,NAUGHTON TIMOTHY J,138681,2017-12-11 00:00:00,2018-07-03 00:14:52
1,97,2,MCLAUGHLIN WILLIAM M,46941,2017-06-08 00:00:00,2018-07-03 00:14:52
2,97,2,HEALY JOHN J JR,44353,2016-05-17 00:00:00,2018-07-03 00:14:52
3,97,2,BIRENBAUM MATTHEW H.,38174,2017-05-08 00:00:00,2018-07-03 00:14:52
4,97,2,HOREY LEO S III,35690,2017-12-11 00:00:00,2018-07-03 00:14:52
5,97,2,BRESLIN SEAN J.,33319,2017-12-10 00:00:00,2018-07-03 00:14:52
6,97,2,WILSON STEPHEN W,30392,2017-03-06 00:00:00,2018-07-03 00:14:52
7,97,2,SARLES H JAY,20109,2017-05-24 00:00:00,2018-07-03 00:14:52
8,97,2,SCHULMAN EDWARD M,20010,2017-05-14 00:00:00,2018-07-03 00:14:52
9,97,2,O'SHEA KEVIN P.,17452,2017-03-07 00:00:00,2018-07-03 00:14:52
