,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,85,2,BRADWAY ROBERT A,392982,2018-01-30 00:00:00,2018-07-03 00:09:54
1,85,2,HOOPER ANTHONY C,202483,2018-01-30 00:00:00,2018-07-03 00:09:54
2,85,2,MCNAMEE BRIAN M,102516,2017-04-30 00:00:00,2018-07-03 00:09:54
3,85,2,BALACHANDRAN MADHAVAN,23097,2016-05-02 00:00:00,2018-07-03 00:09:54
4,85,2,HARPER SEAN E,53614,2018-01-30 00:00:00,2018-07-03 00:09:54
5,85,2,MELINE DAVID W,47795,2018-01-29 00:00:00,2018-07-03 00:09:54
6,85,2,GRAHAM JONATHAN P,44165,2017-08-03 00:00:00,2018-07-03 00:09:54
7,85,2,COFFMAN VANCE D,43041,2016-05-02 00:00:00,2018-07-03 00:09:54
8,85,2,BIONDI FRANK,36635,2017-04-30 00:00:00,2018-07-03 00:09:54
9,85,2,PIACQUAD DAVID,33443,2018-01-29 00:00:00,2018-07-03 00:09:54
