,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,320,2,WILLIAMS CLAY C,270583,2017-02-23 00:00:00,2018-07-03 01:38:34
1,320,2,BAYARDO JOSE A,118231,2017-08-27 00:00:00,2018-07-03 01:38:34
2,320,2,GUILL BEN A,82939,2017-05-16 00:00:00,2018-07-03 01:38:34
3,320,2,MATTSON ERIC L,67717,2017-05-16 00:00:00,2018-07-03 01:38:34
4,320,2,JARVIS ROGER L,53051,2016-05-17 00:00:00,2018-07-03 01:38:34
5,320,2,HARRISON DAVID D,50895,2017-05-16 00:00:00,2018-07-03 01:38:34
6,320,2,ARMSTRONG GREG L,49703,2017-05-16 00:00:00,2018-07-03 01:38:34
7,320,2,ROVIG JOSEPH W,41559,2017-03-01 00:00:00,2018-07-03 01:38:34
8,320,2,WEINSTOCK CRAIG L.,34020,2017-02-24 00:00:00,2018-07-03 01:38:34
9,320,2,DUFF SCOTT K.,25121,2017-02-28 00:00:00,2018-07-03 01:38:34
