,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,147,Mr. Jeffrey K. Storey,"Pres, CEO & Director",0,0.0,1961,2,2018-07-03 00:33:32
1,147,Mr. Sunit S. Patel,Exec. VP & CFO,0,0.0,1962,2,2018-07-03 00:33:32
2,147,Mr. Aamir M. Hussain,Exec. VP & CTO,907.43k,0.0,1968,2,2018-07-03 00:33:32
3,147,Mr. Stacey W. Goff,"Exec. VP, Chief Admin. Officer, Gen. Counsel & Sec.",1.05M,0.0,1966,2,2018-07-03 00:33:32
4,147,Mr. R. Stewart Ewing Jr.,Exec. Officer,1.3M,0.0,1952,2,2018-07-03 00:33:32
