,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,96,2,NORWITT RICHARD ADAM,93992,2017-10-30 00:00:00,2018-07-03 00:14:28
1,96,2,WALTER LUC,100000,2017-08-03 00:00:00,2018-07-03 00:14:28
2,96,2,REARDON DIANA G,77000,2017-11-27 00:00:00,2018-07-03 00:14:28
3,96,2,SCHNEIDER RICHARD,63524,2016-11-30 00:00:00,2018-07-03 00:14:28
4,96,2,LAMPO CRAIG A,25000,2017-11-16 00:00:00,2018-07-03 00:14:28
5,96,2,IVAS MICHAEL R.,7500,2016-10-30 00:00:00,2018-07-03 00:14:28
6,96,2,WETMORE EDWARD C,6784,2016-10-20 00:00:00,2018-07-03 00:14:28
7,96,2,LEDFORD RANDALL D,2415,2016-05-25 00:00:00,2018-07-03 00:14:28
8,96,2,FALCK DAVID P,1921,2017-05-18 00:00:00,2018-07-03 00:14:28
9,96,2,JEPSEN EDWARD G,1921,2017-05-18 00:00:00,2018-07-03 00:14:28
