,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,373,2,WHITEHURST JAMES M,367913,2018-01-16 00:00:00,2018-07-03 01:58:18
1,373,2,CORMIER PAUL J,170135,2018-01-15 00:00:00,2018-07-03 01:58:18
2,373,2,OBEROI ARUN,89346,2018-01-15 00:00:00,2018-07-03 01:58:18
3,373,2,CALDERONI FRANK,67839,2017-01-16 00:00:00,2018-07-03 01:58:18
4,373,2,KAISER WILLIAM S,61652,2018-02-01 00:00:00,2018-07-03 01:58:18
5,373,2,CLARKE JEFF,36967,2016-08-10 00:00:00,2018-07-03 01:58:18
6,373,2,ALEXANDER DELISA,35027,2018-01-16 00:00:00,2018-07-03 01:58:18
7,373,2,CUNNINGHAM MICHAEL,26088,2018-01-15 00:00:00,2018-07-03 01:58:18
8,373,2,SHELTON GENERAL HENRY HUGH,21271,2017-08-09 00:00:00,2018-07-03 01:58:18
9,373,2,ALBRECHT W STEVE,16079,2017-07-16 00:00:00,2018-07-03 01:58:18
