,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,67,Mr. Carlos A. Rodriguez,"CEO, Pres & Director",2.48M,6.05M,1964,2,2018-07-03 00:01:44
1,67,Mr. Jan Siegmund,Corp. VP & CFO,1.31M,858.46k,1964,2,2018-07-03 00:01:44
2,67,Mr. Michael Anthony Bonarti,"Corp. VP, Gen. Counsel & Sec.",935.33k,461.68k,1965,2,2018-07-03 00:01:44
3,67,Mr. Dermot J. O'Brien,Chief Transformation Officer,955.65k,863.2k,1966,2,2018-07-03 00:01:44
4,67,Mr. Edward B. Flynn III,Pres of Global Enterprise Solutions,1.09M,1.66M,1960,2,2018-07-03 00:01:44
