,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,511,14,2,2018-07-03 02:49:58,2018-07-03,% of Shares Held by All Insider,5.28%
1,511,14,2,2018-07-03 02:49:58,2018-07-03,% of Shares Held by Institutions,92.79%
2,511,14,2,2018-07-03 02:49:58,2018-07-03,% of Float Held by Institutions,97.96%
3,511,14,2,2018-07-03 02:49:58,2018-07-03,Number of Institutions Holding Shares,796
