,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,183,Mr. Timothy C. Wentworth,"CEO, Pres & Director",3.52M,0,1960,2,2018-07-03 00:46:52
1,183,Mr. James M. Havel,Exec. VP & CFO,0,0,1955,2,2018-07-03 00:46:52
2,183,Mr. David A. Queller,Sr. VP of Sales & Account Management,1.16M,0,1969,2,2018-07-03 00:46:52
3,183,Ms. Christine Houston,Exec. VP of Strategic Integrations,1.24M,730.52k,1963,2,2018-07-03 00:46:52
4,183,Mr. Everett Neville,"Exec. VP of Strategy, Supply Chain & Specialty",0,0,1965,2,2018-07-03 00:46:52
