,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,252,2,DAUTEN KENT P,2012677,2017-05-23 00:00:00,2018-07-03 01:12:50
1,252,2,BAILEY CLARK H,151594,2017-04-30 00:00:00,2018-07-03 01:12:50
2,252,2,MEANEY WILLIAM L,88525,2018-01-08 00:00:00,2018-07-03 01:12:50
3,252,2,TSOLAKIS ANASTASIOS,59009,2017-02-21 00:00:00,2018-07-03 01:12:50
4,252,2,DUALE MARC A,52842,2017-03-30 00:00:00,2018-07-03 01:12:50
5,252,2,DENINGER PAUL F,43298,2017-05-23 00:00:00,2018-07-03 01:12:50
6,252,2,TOMOVCSIK JOHN,41342,2017-09-07 00:00:00,2018-07-03 01:12:50
7,252,2,CLOUTIER ERNEST W,41321,2017-02-20 00:00:00,2018-07-03 01:12:50
8,252,2,HALVORSEN KRIS,23671,2016-10-16 00:00:00,2018-07-03 01:12:50
9,252,2,DAY RODERICK,23470,2016-03-14 00:00:00,2018-07-03 01:12:50
