,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,249,Mr. Andy D. Bryant,Exec. Chairman,1.95M,6.72M,1950,2,2018-07-03 01:11:45
1,249,Mr. Robert H. Swan,"Interim CEO, Exec. VP & CFO",3.27M,0,1960,2,2018-07-03 01:11:45
2,249,Mr. Navin Shenoy,Exec. VP & GM of Data Center Group,0,0,1974,2,2018-07-03 01:11:45
3,249,Dr. Venkata S. Murthy Renduchintala,"Chief Engineering Officer and Group Pres of Technology, Systems Architecture & Client Group",6.95M,0,1965,2,2018-07-03 01:11:45
4,249,Mr. Kevin Thomas McBride,"VP of Fin., Corp. Controller & Principal Accounting Officer,",0,0,1970,2,2018-07-03 01:11:45
