,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,191,Mr. Mark D. Okerstrom,"Pres, CEO & Director",1.55M,5.21M,1973.0,2,2018-07-03 00:50:00
1,191,Mr. Alan R. Pickerill,"Exec. VP, CFO & Treasurer",0,0,1967.0,2,2018-07-03 00:50:00
2,191,Mr. Barry Diller,Exec. Chairman & Sr. Exec.,2.08M,2.52M,1942.0,2,2018-07-03 00:50:00
3,191,Mr. Lance A. Soliday,"Sr. VP, Chief Accounting Officer & Controller",394.28k,541.97k,1973.0,2,2018-07-03 00:50:00
4,191,Ms. Jenifer Carter,Investor Relations - Assistant,0,0,0.0,2,2018-07-03 00:50:00
