,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,469,2,LIBERTY BROADBAND CORP,25631339,2016-05-17 00:00:00,2018-07-03 02:34:23
1,469,2,NEWHOUSE MICHAEL A,1088,2017-04-24 00:00:00,2018-07-03 02:34:23
2,469,2,RUTLEDGE THOMAS,247573,2018-01-14 00:00:00,2018-07-03 02:34:23
3,469,2,WINFREY CHRISTOPHER L,50837,2018-01-14 00:00:00,2018-07-03 02:34:23
4,469,2,BICKHAM JOHN,31130,2018-01-14 00:00:00,2018-07-03 02:34:23
5,469,2,ZINTERHOFER ERIC LOUIS,14573,2017-04-24 00:00:00,2018-07-03 02:34:23
6,469,2,MARKLEY JOHN D JR,14211,2017-04-24 00:00:00,2018-07-03 02:34:23
7,469,2,JACOBSON CRAIG A,13206,2017-05-09 00:00:00,2018-07-03 02:34:23
8,469,2,MERRITT DAVID C,9374,2017-05-10 00:00:00,2018-07-03 02:34:23
