,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,188,2,DENAULT LEO P,127538,2018-01-28 00:00:00,2018-07-03 00:48:47
1,188,2,MARSH ANDREW S,59533,2018-01-28 00:00:00,2018-07-03 00:48:47
2,188,2,WEST RODERICK K,39054,2018-01-28 00:00:00,2018-07-03 00:48:47
3,188,2,BROWN MARCUS V,27090,2018-01-28 00:00:00,2018-07-03 00:48:47
4,188,2,HINNENKAMP PAUL D,22429,2018-01-28 00:00:00,2018-07-03 00:48:47
5,188,2,MOHL WILLIAM M,21365,2017-01-29 00:00:00,2018-07-03 00:48:47
6,188,2,BUNTING THEODORE H JR,20495,2017-01-29 00:00:00,2018-07-03 00:48:47
7,188,2,MOUNT ALYSON M,13227,2018-01-28 00:00:00,2018-07-03 00:48:47
8,188,2,MAY PHILLIP R JR,11863,2018-01-28 00:00:00,2018-07-03 00:48:47
9,188,2,BATEMAN MAUREEN SCANNELL,11453,2017-11-29 00:00:00,2018-07-03 00:48:47
