,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,497,2,SINGH BEDI AJAY,33667,2016-10-02 00:00:00,2018-07-03 02:44:47
1,497,2,PITOFSKY DAVID B,17423,2017-08-14 00:00:00,2018-07-03 02:44:47
2,497,2,HALPIN KEVIN,10000,2017-12-03 00:00:00,2018-07-03 02:44:47
3,497,2,PANUCCIO SUSAN,2582,2017-08-14 00:00:00,2018-07-03 02:44:47
4,497,2,BARNES PETER,1989,2018-01-01 00:00:00,2018-07-03 02:44:47
5,497,2,AZNAR JOSE MARIA,1087,2018-01-01 00:00:00,2018-07-03 02:44:47
6,497,2,MURDOCH LACHLAN K,114,2018-01-01 00:00:00,2018-07-03 02:44:47
