,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,475,Gunnar Wiedenfels,Chief Financial Officer,0,0,1977,2,2018-07-03 02:36:41
1,475,Mr. Bruce L. Campbell,"Chief Devel., Distribution & Legal Officer",4.34M,0,1967,2,2018-07-03 02:36:41
2,475,Mr. Jean-Briac Perrette,CEO & Pres of Discovery Networks International,4.63M,0,1971,2,2018-07-03 02:36:41
3,475,Mr. David M. Zaslav,"Pres, CEO & Director",10.93M,4.4M,1960,2,2018-07-03 02:36:41
4,475,Mr. David C. Leavy,Chief Corp. Operations & Communications Officer,0,0,1969,2,2018-07-03 02:36:41
