,instrument_id,Name,Title,Pay,Exercised,year_born,data_vendor_id,refreshed_at
0,139,Mr. Ralph W. Babb Jr.,Chairman & CEO,2.54M,159k,1949,2,2018-07-03 00:30:33
1,139,Mr. Curtis Chatman Farmer,Pres,1.29M,0,1963,2,2018-07-03 00:30:33
2,139,Mr. John D. Buchanan,"Exec. VP, Chief Legal Officer & Corp. Sec.",971.45k,0,1964,2,2018-07-03 00:30:33
3,139,Mr. Michael H. Michalak,Exec. VP & Chief Risk Officer,0,0,1958,2,2018-07-03 00:30:33
4,139,Ms. Muneera S. Carr,Exec. VP & CFO,0,0,1969,2,2018-07-03 00:30:33
