Date,ALB,APD,AVY,BLL,CF,DWDP,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PKG,PPG,PX,SEE,SHW,VMC,WRK
<<<<<<< HEAD
2017-12-11,130.392502,162.17865,114.52925900000001,39.501022,39.101967,70.446678,133.86293,91.756668,15.02,89.48397800000001,151.61279299999998,56.85805500000001,106.515732,208.23001100000002,117.19123799999998,23.817778,34.545063,60.909645,116.89560700000001,115.232475,151.437592,47.589607,406.880859,122.63798500000001,63.989197
2017-12-12,129.616959,161.949982,114.011292,38.792797,40.292889,70.426781,134.041855,91.97419000000001,15.71,89.993095,151.572968,56.173618000000005,106.000542,206.803101,117.121559,24.796864000000003,34.465351,61.585648,115.737831,115.441666,150.522568,47.529835,406.142456,121.231224,63.512405
2017-12-13,129.358429,161.552292,113.921646,38.543423,40.947895,70.19796,134.190948,92.033516,16.32,90.552116,152.34944199999998,56.024826000000004,106.505829,207.561462,117.54958300000001,24.666985999999998,35.621173999999996,61.486233,115.757622,115.80027,150.45294199999998,48.067795000000004,404.575867,122.82755300000001,63.870003000000004
2017-12-14,127.165581,159.603607,113.832001,38.194297999999996,40.709713,69.95919,133.56471299999998,89.98679399999999,16.190001000000002,89.703598,150.94581599999998,54.735302000000004,104.454971,201.763992,117.31068400000001,24.876789000000002,35.770634,59.18981899999999,113.68946100000001,113.37966899999999,148.334442,47.848625,399.367096,119.964134,62.131702000000004
2017-12-15,129.149124,159.494232,115.45561200000002,39.301525,40.779182,69.640831,134.379807,89.767921,16.98,92.03952,153.47435,55.79668,105.049416,203.99916100000002,116.812973,24.89677,35.740738,59.75646999999999,114.065491,114.64475300000001,148.791977,48.496173999999996,402.949371,120.542801,62.687957999999995
2017-12-18,131.650955,161.20431499999998,115.66478700000002,38.433696999999995,40.620391999999995,71.023705,135.436646,91.27018000000001,17.35,93.78647600000001,153.643585,56.94733000000001,108.546768,207.18228100000002,117.031967,24.487154,36.517928999999995,61.64529,115.816994,115.680733,152.501816,49.193531,407.27002000000005,122.029381,63.43294100000001
2017-12-19,131.591156,161.582123,116.640945,38.164371,40.888351,71.053543,134.688873,91.857162,17.33,94.305573,153.70330800000002,57.294509999999995,107.94241299999999,203.23082,115.469154,24.467171,36.219009,62.062824,117.59818999999999,115.86003899999999,153.33728,49.472469,410.98199500000004,118.986382,62.976020999999996
2017-12-20,130.90339699999998,161.89033500000002,116.222595,37.89505,40.570774,70.904312,133.68188500000002,92.553574,17.66,94.754791,152.379333,57.502818999999995,108.903442,204.19873,114.47373200000001,24.457179999999997,36.478072999999995,63.474468,118.48878500000001,115.710625,153.178131,48.326813,413.446686,118.707024,63.30381
2017-12-21,128.232101,162.21843,113.57301299999999,37.53595,40.937973,71.27241500000001,133.113571,92.434196,18.18,94.97440300000001,151.17477399999999,57.016766000000004,109.260117,210.03611800000002,114.94158200000001,25.216473,36.597640999999996,64.150467,119.04293100000001,115.73054499999999,153.26766999999998,48.516098,410.642731,122.568146,63.413074
