<<<<<<< HEAD
Date,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,AMD,ANSS,APH,ATVI,AVGO,CA,CDNS,CRM,CSCO,CSRA,CTL,CTSH,CTXS,DXC,EA,EBAY,FB,FFIV,FIS,FISV,FLIR,GLW,GOOG,GOOGL,GPN,HPE,HPQ,IBM,INTC,INTU,IT,JNPR,KLAC,LRCX,MA,MCHP,MSFT,MSI,MU,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,SNPS,STX,SWKS,SYMC,T,TEL,TSS,TXN,V,VRSN,VZ,WDC,WU,XLNX,XRX
2017-12-11,171.968857,150.690002,174.309998,85.355919,117.17556,233.742157,106.83000200000001,56.549999,51.526196,10.16,146.389999,88.865974,63.169998,256.37341299999997,33.087585,43.5,104.540001,37.678959000000006,29.273515999999997,15.377482,71.384476,87.019997,95.769997,107.91999799999999,37.52,179.03999299999998,133.149994,95.111176,65.915001,46.086857,32.373466,1041.099976,1051.969971,100.20141600000001,14.447951999999999,21.037567000000003,153.894791,43.365795,155.310257,120.010002,28.194206,103.26203199999999,185.093063,150.642822,87.009682,84.831512,91.38176,43.009997999999996,58.37471,194.539108,50.274223,68.51664,73.290001,64.62532,68.620003,126.620003,89.559998,39.460995000000004,96.688362,29.059996,36.417648,94.66791500000001,76.384399,98.286064,112.174706,114.32,51.256195,80.69851700000001,19.172321,68.02262900000001,29.339067
2017-12-12,171.002792,152.100006,172.53999299999998,85.037575,116.409775,237.792831,106.33000200000001,57.02,50.378288,9.9,145.330002,89.294174,64.400002,255.140625,33.246421999999995,43.290001000000004,103.66999799999999,37.629329999999996,29.074171000000003,15.212759,71.274742,87.220001,94.790001,107.660004,37.439999,176.96000700000002,135.490005,93.650375,65.599998,46.744671000000004,32.443042999999996,1040.47998,1048.77002,100.121429,14.442973,20.857623999999998,155.211823,43.038021,155.479858,120.650002,28.720552,102.476509,181.113113,152.260284,85.46642299999999,85.17987099999999,92.411079,41.860001000000004,57.597443000000005,190.721466,50.19453,68.208908,73.620003,64.308044,67.690002,125.75,87.58000200000001,41.069855,96.179893,28.761639000000002,37.601959,95.27552800000001,76.76322900000001,97.88826800000001,113.26281000000002,114.370003,52.590988,81.264992,19.142870000000002,67.32629399999999,29.487795000000002
2017-12-13,171.570496,151.419998,176.830002,84.73912800000001,116.37993600000001,233.46279900000002,106.019997,56.66,50.667759000000004,10.11,144.759995,89.124886,64.599998,258.424774,33.117363,43.060001,103.940002,37.867554,29.781837,16.230173,71.015388,87.150002,94.949997,105.540001,37.400002,178.300003,131.0,93.67025799999999,65.404999,47.223083,32.095158000000005,1040.609985,1051.390015,99.341576,14.263679999999999,20.728382,152.409424,43.047951,156.108353,121.33000200000001,28.909243,103.281929,180.85376000000002,151.451553,86.02399399999999,84.95094300000001,92.975227,42.049999,57.577511,186.06436200000002,49.85585,68.318108,74.089996,64.347702,67.290001,126.489998,88.25,41.030857,95.571724,28.473227,37.542747,94.89701099999999,76.264771,98.315895,113.113068,113.779999,52.294369,83.11350999999999,19.015253,67.674461,29.170509000000003
2017-12-14,171.520691,151.21000700000002,175.0,84.997787,115.822998,235.747528,106.25,56.759997999999996,51.216763,10.13,144.509995,88.856018,65.029999,255.77180499999997,32.948601000000004,43.189999,104.239998,37.619403999999996,29.60243,15.958860999999999,71.633865,87.050003,94.199997,106.41999799999999,37.599998,178.389999,130.229996,93.30143000000001,64.949997,46.983875,31.618052000000002,1049.150024,1057.469971,99.53155500000001,14.183995000000001,20.619024,152.498535,42.968491,155.819046,120.050003,28.601378999999998,103.828804,181.641785,151.69116200000002,85.098038,84.294037,91.761032,42.240002000000004,57.168949,186.35418700000002,49.995304,67.83168,74.260002,64.149399,65.230003,126.129997,87.980003,40.894344,93.807045,28.592571000000003,37.24667,95.13606999999999,76.394363,99.69825,112.723747,114.139999,51.750565,82.129623,18.995619,67.714256,29.061441
2017-12-15,173.26358000000002,152.66000400000001,177.509995,86.241318,117.54354099999999,239.25946000000002,108.400002,57.759997999999996,52.444527,10.29,148.029999,88.945824,66.730003,262.073883,33.464817,43.68,105.480003,37.907253000000004,30.031017,16.462725,71.90320600000001,87.529999,95.25,109.279999,38.369999,180.179993,131.059998,94.527512,65.980003,47.223083,31.856603999999997,1064.189941,1072.0,100.821449,14.353326999999998,20.797974,151.01315300000002,44.259731,159.270828,122.510002,28.204138,105.031952,185.85116599999998,153.158859,86.372467,86.44393199999999,92.706512,42.400002,57.069302,191.441025,48.112637,69.261177,75.650002,64.208893,65.529999,128.779999,87.860001,40.972351,94.345421,28.821309999999997,37.740131,95.843292,77.57073199999999,100.66291,113.62218500000002,115.029999,52.076843,81.11592900000001,19.297764,67.624725,29.398558
2017-12-18,175.703629,151.720001,176.740005,87.634064,117.991074,246.65245099999999,107.480003,65.66999799999999,53.302963,10.98,147.58999599999999,89.265167,66.010002,262.480927,33.494602,43.560001,105.08000200000001,38.19511,30.559277,17.199139000000002,71.693718,87.769997,95.910004,107.339996,38.18,180.820007,131.869995,94.946175,66.16999799999999,47.651657,32.124973,1077.140015,1085.089966,101.35140200000001,14.841399,21.165817,151.835068,45.948273,160.747314,124.43,28.402759999999997,110.590309,188.594238,152.879303,88.582809,85.976128,94.040131,43.709998999999996,57.527687,197.777084,47.524925,69.737679,75.32,64.823616,67.050003,129.440002,87.91999799999999,41.918167,95.551781,28.493118,37.957253,95.614189,78.767052,102.701622,113.35266100000001,116.099998,52.650314,83.103577,19.377016,69.176575,30.043045000000003
2017-12-19,173.831268,152.220001,174.970001,87.494789,117.69271100000002,244.28790299999997,105.389999,66.82,52.863762,10.95,147.630005,88.616516,64.900002,261.795929,33.405258,43.759997999999996,104.260002,38.016441,30.290163,16.860001,71.753571,87.860001,94.93,107.0,37.799999,179.509995,131.509995,94.696968,66.08000200000001,47.312782,32.065334,1070.680054,1079.780029,102.711288,14.741794,21.295057,151.73603799999998,46.723019,159.50028999999998,123.449997,28.243862,110.988045,185.641693,151.441559,89.20010400000001,85.428703,92.835892,43.98,57.707057999999996,195.988205,47.634499,68.754898,74.5,63.95110699999999,66.790001,128.860001,88.370003,41.740044,95.39226500000001,28.15498,37.552611999999996,95.534508,79.42501800000001,103.527054,111.94510700000001,115.550003,52.235046000000004,83.71974200000001,19.406736,69.435211,29.755507
2017-12-20,173.642044,151.75,174.25,88.19117,117.215347,246.58261099999999,105.029999,66.629997,53.193165,10.98,147.350006,88.456841,64.379997,263.721924,33.305981,43.209998999999996,103.389999,38.453185999999995,30.320065000000003,16.617758,72.531654,88.139999,95.379997,108.449997,37.93,177.889999,131.449997,94.776718,65.79499799999999,46.983875,32.224369,1064.949951,1073.560059,101.711372,14.652147,21.334823999999998,151.45877099999998,47.239517,158.971542,123.660004,28.303448,111.81333899999998,188.354843,151.211929,89.82737,85.120148,91.661507,45.75,56.840106999999996,196.67778,47.714191,68.695328,74.0,64.050255,67.07,122.0,87.099998,41.096821000000006,97.13700899999999,28.0058,38.046078,95.853256,79.874367,104.223206,111.92513999999998,116.010002,52.17572,82.25882,19.287857000000002,68.62944,29.735676
2017-12-21,174.299362,154.199997,174.559998,88.19117,116.75785800000001,249.206573,104.43,65.839996,51.795708000000005,10.89,147.229996,88.267235,65.08000200000001,259.641571,33.26627,42.48,103.620003,38.244735999999996,30.180525,16.927828,72.22242,88.139999,96.32,107.970001,37.810001,177.449997,132.360001,94.557419,65.315002,47.213112,32.105095,1063.630005,1070.849976,100.361488,14.662107999999998,21.126049,150.022903,46.444904,158.243271,123.019997,28.482206,108.005035,185.172867,150.293365,89.07067099999999,85.100243,91.1838,44.419998,56.013011999999996,195.768341,47.096592,68.13942,74.019997,63.842041,67.480003,123.129997,86.480003,41.522339,97.196823,28.324049,38.371765,95.16595500000001,78.446434,103.49722299999999,112.214638,114.190002,52.413016999999996,80.330803,19.079823,68.012688,29.45805
2017-12-22,174.299362,153.889999,175.0,88.390129,116.2407,251.41149900000002,103.889999,65.449997,51.965401,10.54,146.66000400000001,87.95787800000001,64.510002,260.455658,33.276199,42.259997999999996,102.629997,38.264590999999996,30.13069,16.704966,71.524132,87.879997,95.889999,106.019997,37.759997999999996,177.199997,132.369995,94.01913499999999,65.160004,47.203148,32.184612,1060.119995,1068.859985,100.351486,14.652147,21.135992,151.01315300000002,46.385311,158.12356599999998,123.589996,28.660967,108.70106499999999,186.22023000000002,150.612885,88.53302,85.110199,90.327888,44.119999,56.102699,195.148727,47.176285,67.77211,73.889999,64.179153,67.690002,122.91999799999999,85.82,41.730145,96.77808399999999,28.164925,38.430981,94.578262,78.686089,103.556892,112.494156,113.989998,52.590988,80.181732,18.901506,67.565033,29.329153
