Date,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BHF,BK,BLK,BRK.B,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RE,RF,RJF,SCHW,SIVB,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
2017-12-18,43.888946999999995,59.239178,98.090637,63.471203,103.639549,201.05320700000001,169.141037,136.841583,99.329544,29.369792999999998,49.662163,43.15546,58.68,54.193954000000005,516.119446,,75.36425799999999,146.377548,125.48678600000001,41.829727,73.55727399999999,85.999664,147.111618,98.877274,75.626129,49.779999,30.156244,259.292145,14.579327,55.372036,70.98230699999999,35.982872,106.40570100000001,20.059054999999997,49.917931,76.120453,25.754061,150.073532,50.509007000000004,82.134781,53.00832,173.16953999999998,13.106174000000001,76.623329,98.205238,18.832808,69.783493,54.052128,145.428101,115.16498600000001,218.09956400000002,17.251504999999998,88.700974,51.64056,240.649994,170.455093,65.663162,97.79008499999999,38.364349,89.720993,102.820976,134.50903300000002,53.724514,54.148284999999994,60.558811,153.409332,35.369492,50.783772
2017-12-19,43.734848,59.438030000000005,98.060829,64.017944,103.858437,201.881912,170.444275,136.522385,98.801407,29.339907,49.682026,43.185123,58.34,53.974872999999995,513.09552,,74.398178,146.139969,124.34953300000001,41.879490000000004,73.031013,86.278816,146.02246100000002,98.309761,75.616173,49.57,30.304701,255.76207000000002,14.509806,56.456782999999994,70.84275799999999,35.787365,105.958031,20.019257,49.578354,76.488907,25.604673000000002,149.75436399999998,50.370163,82.154686,52.69966899999999,173.209366,12.967901,75.767204,97.63745899999999,18.872456,70.269402,54.62986,144.383301,115.898895,217.761307,17.22164,88.421761,51.710426,238.229996,171.542191,65.265388,97.451546,38.035599,89.99054699999999,102.522766,134.837311,53.983425,53.930824,60.002131999999996,153.00238000000002,35.180244,50.694117999999996
2017-12-20,43.426643,59.656773,99.074326,63.829067,103.898239,202.271286,170.21546899999998,136.04361,98.163658,29.369792999999998,49.493347,43.195007000000004,58.139998999999996,53.72591,511.83221399999996,,74.358345,144.506516,123.93055,41.730206,72.931709,86.29875200000001,145.322311,98.160416,75.407097,49.540001000000004,30.195833,254.465683,14.539601000000001,56.078613,69.796112,35.699387,105.589951,19.989407,49.448513,77.086403,26.311766,148.07879599999998,50.588341,81.75647,52.281494,171.844818,12.928395,74.71198299999999,98.055832,18.703953,70.656151,55.001953,144.204178,116.14683500000001,215.403397,17.171867000000002,88.052803,51.710426,236.30000299999998,169.55748,65.086388,96.664917,37.816429,90.270081,103.139061,134.558762,54.570961,53.634285,59.783436,151.980042,35.050758,50.534737
2017-12-21,43.302368,59.73631700000001,100.475334,62.606365000000004,103.689293,201.562424,170.812347,134.996277,98.153687,29.708523,50.03952,43.343307,60.389998999999996,54.134209,510.87731900000006,,75.513657,143.556137,124.329582,42.397011,73.140236,87.395439,146.72264099999998,99.08635699999999,75.70578,49.959998999999996,30.611509,260.279388,14.73823,55.660637,69.885826,35.787365,107.271194,20.327703,49.728168,77.614182,26.351601000000002,147.0914,50.608177000000005,80.352707,52.649887,172.90060400000002,12.958025,75.060402,99.65954599999999,18.852632999999997,70.646233,54.639648,145.537552,115.779877,217.32354700000002,17.41078,90.097054,52.179520000000004,241.669998,168.33075,65.185837,97.889656,38.454006,90.359932,103.97403,133.74301100000002,54.600838,53.901168999999996,61.244724,151.235641,34.921271999999995,51.261925
2017-12-22,43.352077,58.970721999999995,100.38591,62.228618999999995,103.58979000000001,203.87875400000001,170.62333700000002,133.011337,98.392845,29.768296999999997,50.099106,43.641472,59.540001000000004,53.775703,509.415039,,75.18499,143.744217,124.169968,42.426868,73.467903,87.475189,144.874985,100.062096,76.79098499999999,49.709998999999996,30.522436,258.245087,14.67864,55.282467000000004,70.02538299999999,35.816691999999996,106.89315800000001,20.337654,49.598328,77.424973,26.102625,146.602707,50.340408000000004,80.33279399999999,52.490584999999996,172.382675,13.185185,75.747292,98.593719,18.753511,70.666069,54.923618000000005,145.398239,115.204651,217.83093300000002,17.390871,90.386246,51.979908,241.69999700000002,167.383286,65.394669,97.511284,38.623367,90.539635,104.610199,133.693268,54.561005,53.831978,61.185078000000004,150.61033600000002,35.030834000000006,51.132427
2017-12-26,43.56583,59.090033999999996,100.525017,62.536781000000005,103.81864200000001,203.73898300000002,170.21546899999998,132.961456,98.223442,29.668673,49.691959000000004,43.303554999999996,59.689999,53.586491,511.00656100000003,,74.477859,143.853119,123.741005,42.317394,73.745926,87.066429,144.83608999999998,99.484619,76.92041800000001,49.5,30.364084000000002,256.998596,14.529670000000001,55.700447,69.816055,35.777588,106.46538500000001,20.228205,49.858006,77.166061,26.421315999999997,145.485641,50.251152000000005,80.382568,52.241673,171.306961,13.293826999999999,75.787109,98.314812,18.703953,70.735489,55.05091899999999,144.18426499999998,114.69884499999999,218.60694900000001,17.271416000000002,89.658295,51.770306,236.169998,166.97438,64.927277,97.023376,38.563590999999995,90.479729,104.729485,134.081253,54.521172,53.387165,60.76756999999999,150.739349,35.100563,50.664234
2017-12-27,43.600628,59.199406,100.644249,62.84494399999999,104.077339,204.348022,170.05629,133.57988,98.781471,29.618858000000003,49.632374,43.16441,59.07,53.616367000000004,511.603424,,74.58740999999999,144.704498,124.459274,42.158157,74.02395600000001,86.85707099999999,145.343964,99.315361,76.621735,49.490002000000004,30.344288,255.233536,14.489944,56.008953000000005,70.045311,35.718941,106.66435200000001,20.138655,49.937908,76.877274,26.321724,146.243652,50.330494,81.328369,52.341236,170.88864099999998,13.046914,75.996162,98.294891,18.614744,70.477654,55.18800400000001,144.26387,114.381477,218.85566699999998,17.22164,89.399017,51.750347,234.88999900000002,168.949097,64.847717,97.292221,38.454006,90.539635,104.39151,134.071304,54.521172,53.446476000000004,60.588634,150.511078,35.060719,50.514812
2017-12-28,43.859119,59.656773,101.031761,63.25251,104.385796,206.18511999999998,170.722824,134.17836,99.349464,29.688596999999998,49.7714,43.263798,59.16,53.895203,515.2440799999999,,74.776649,145.400879,124.549049,42.237774,74.550217,87.02655,145.702469,99.86296800000001,77.159363,49.68,30.483572,255.781998,14.638914999999999,56.287605000000006,70.29451800000001,35.943771000000005,107.2314,20.248104,50.077732,77.026649,26.540823,147.43051100000002,50.449501,81.607132,52.420891,171.605759,13.204938,76.32467700000001,99.92849,18.753511,70.794983,55.334885,144.95047,114.252541,221.43244900000002,17.301277,89.578514,51.939983000000005,237.710007,169.397919,65.076447,97.810005,38.822609,91.00885799999999,104.709595,134.956696,54.909538,53.625393,60.936558,150.789963,35.230045000000004,51.142387
2017-12-29,43.635426,59.239178,100.197113,62.904587,104.18679,204.927109,168.59388700000002,133.659683,98.960838,29.409645,49.374184,43.065022,58.639998999999996,53.636283999999996,510.99667400000004,,74.10936,145.371033,124.289673,41.779964,74.44099399999999,86.547997,145.443558,99.146103,76.581909,49.57,30.185104,254.04686,14.46015,56.008953000000005,70.334389,35.718941,106.38580300000001,20.069005999999998,49.967869,76.54866,26.381479,147.221069,50.142063,81.02969399999999,52.241673,170.310944,13.155555999999999,76.483963,99.500168,18.535448000000002,69.971901,55.148833999999994,143.57728600000002,114.034355,220.12912000000003,17.201732999999997,89.050003,51.271267,233.770004,168.949097,64.231163,97.610001,38.46397,90.559601,104.30205500000001,134.936798,54.660582999999995,53.25761800000001,60.310294999999996,150.09274299999998,35.020878,50.634353999999995
2018-01-02,43.729874,59.159634,98.597389,61.80116999999999,101.410736,202.720581,169.03161599999999,131.15606699999998,98.592148,29.788223,49.572788,42.985512,57.669998,53.596451,506.28167699999995,,74.059555,141.560928,122.454117,42.476631,72.56433100000001,86.308723,144.188766,99.175972,76.57196,49.82,30.274645,254.95432999999997,14.499875,55.00381899999999,69.62665600000001,35.533207,107.39056399999998,20.069005999999998,49.828041,77.584312,26.670292,145.74496499999998,49.765205,80.044083,51.962887,170.510132,13.461729,76.394363,99.071846,18.634567,69.79340400000001,54.208801,143.905655,114.50048799999999,215.363617,17.291325,88.860001,51.341133,237.38000499999998,167.672516,64.499664,96.720001,38.713028,90.06043199999999,102.463127,131.295761,54.630711,53.70490600000001,60.72780600000001,146.40741,33.885387,50.504852
