Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2017-12-11,58.994217000000006,68.828377,27.709978000000003,73.83964499999999,63.712379000000006,55.848888,32.724277,55.261543,82.737404,96.84429200000001
2017-12-12,59.004135,68.640961,27.987671000000002,73.9189,63.692508999999994,55.858753,32.871777,54.317741000000005,83.064941,96.884041
2017-12-13,59.162746,68.542328,27.640553000000004,74.206177,63.712379000000006,56.174622,32.861938,54.465214,83.352776,96.963531
2017-12-14,58.508465,68.295738,27.462035999999998,73.70096600000001,63.632923,55.927853000000006,32.891441,54.396393,82.509117,97.261635
2017-12-15,58.85514499999999,68.234184,27.709134999999996,74.220863,64.35865,56.562286,32.995823,54.59584399999999,83.416931,97.682404
2017-12-18,59.72183199999999,68.760437,27.958227,74.74874100000001,64.926872,56.532452,33.105183000000004,53.990543,83.446823,98.559814
2017-12-19,59.6521,68.859726,27.838663,74.768661,64.52813,56.602062,32.478867,53.008175,83.347176,98.430199
2017-12-20,59.672024,69.832802,27.788843,75.01765400000001,64.508186,56.502621,32.130917,52.591415000000005,83.078125,98.240753
2017-12-21,59.881221999999994,71.312263,28.027973,75.077415,64.37859300000001,56.462844999999994,32.021557,51.96627,82.888786,98.878876
2017-12-22,60.110347999999995,71.461205,27.948263,75.097336,64.33871500000001,56.552341000000006,32.230328,52.045654,82.619736,98.689438
2017-12-26,60.060539,72.086754,27.868553000000002,75.177017,63.910056999999995,56.68161800000001,32.399338,51.738045,82.639664,98.908783
2017-12-27,60.140232,71.84845,27.898445000000002,75.35629300000001,63.979839,56.671673,32.528576,51.956348,82.779175,98.709373
2017-12-28,60.409203000000005,71.957672,28.008046999999998,75.505684,64.089493,56.582176000000004,32.717464,52.244114,82.898758,98.978584
2017-12-29,60.299622,71.749161,27.808771000000004,75.366249,63.75055699999999,56.572231,32.747288,52.273884,82.390541,98.40029100000001
2018-01-02,61.156349,72.93074,27.818734999999997,75.81444499999999,64.538094,56.224185999999996,32.558399,51.787659000000005,83.317284,99.895889
2018-01-03,61.584713,74.022972,27.968190999999997,76.222794,65.076408,56.2043,32.56834,51.380817,84.114487,100.354538
