Date,AAL,ALK,ALLE,AME,AOS,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HII,HON,HRS,INFO,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,RHI,ROK,ROP,RSG,RTN,SNA,SRCL,SWK,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
2007-11-16,21.634365,5.5783190000000005,,18.134256,4.754624,71.164146,33.019909000000006,68.864594,51.538478999999995,37.240028,45.566128000000006,60.593777,10.103437,27.570096999999997,18.698425,57.364853000000004,29.480062,33.978752,40.050419,28.410603000000002,38.966671000000005,15.348441000000001,,90.407524,59.096630000000005,23.233065,,70.680809,26.375374,72.720276,,43.28611,46.240925,,31.822475,42.294990999999996,22.948473,11.304953999999999,76.87574000000001,31.260338,85.066414,79.091995,13.266682000000001,16.082592,62.125427,,55.674454000000004,38.737995,34.656765,64.755524,26.997114,27.290001,21.045938,52.566483,58.570259,25.605379,47.146076,37.834583,57.650002,39.854233,22.653979999999997,60.228668000000006,40.126999,22.220959,53.093266,23.370001000000002,58.177299,,24.142017000000003,
2007-11-19,19.896666,5.271019,,17.544188000000002,4.622548999999999,68.733856,32.163097,67.54834,50.618140999999994,36.624966,42.802731,59.71135699999999,9.673505,26.842808,17.799551,55.960972,29.110601000000003,33.411705,39.168839,27.731064,38.493491999999996,14.853960999999998,,87.839104,57.799721,22.781295999999998,,69.656998,26.040987,70.745743,,42.418526,45.819,,31.379045,41.92992,22.556793,11.602682000000001,75.227699,31.223229999999997,82.838684,78.992554,12.773566,15.338420999999999,62.224438,,54.82325,37.993041999999996,34.413784,64.334122,26.353552,26.32,20.621261999999998,52.253586,56.76665500000001,24.896425,46.439696999999995,37.537628000000005,56.299999,38.352924,23.735538000000002,60.115970999999995,38.116440000000004,21.908237,53.056396,22.5,57.574402,,23.874948999999997,
2007-11-20,18.554776999999998,5.160766000000001,,17.503777,4.607094,69.341385,31.932765999999997,67.234612,50.677505,36.672882,43.781853000000005,59.551666000000004,9.645464,27.076876000000002,16.338882,57.341114000000005,29.187046000000002,33.136745,39.708003999999995,28.521146999999996,38.186813,14.920675,,87.18534100000001,59.504082,23.725906,,69.664909,25.959097,71.099525,,42.224872999999995,45.098240000000004,,32.291985,41.914383,22.254145,11.573499,76.806656,30.592657,82.54878199999999,78.026733,12.583911,15.317745,62.906310999999995,,54.539513,38.069839,34.93655,65.267815,26.5788,26.469998999999998,21.005095,52.308327,57.630878,24.760664000000002,47.01696,37.409203000000005,55.970001,38.72438,22.952513,61.167675,35.71312,22.215698,52.827812,22.030001000000002,58.192951,,23.804663,
2007-11-21,19.249855,5.280402,,17.208744,4.623954,68.92984,32.126232,66.890244,50.425179,37.064304,43.466263,59.2155,9.42816,26.926403000000004,16.769596,60.13300699999999,28.632856,32.498127000000004,38.891979,28.248037,38.107956,14.995241,,85.65364100000001,57.979362,23.171457,,68.349701,25.365385,69.43762199999999,,41.760098,44.786537,,31.326876000000002,41.922157,21.675528,11.453814999999999,74.45794699999999,30.138256,81.556961,76.897545,12.802014999999999,14.428865,62.239768999999995,,54.386531999999995,37.378643,35.105892,62.739394999999995,26.321378999999997,25.25,20.357401,51.189735,57.44299300000001,24.270432999999997,46.599185999999996,36.999874,55.700001,38.422573,23.515311999999998,60.022059999999996,36.470589000000004,21.593754,51.7145,22.469998999999998,56.987125,,23.741411,
2007-11-23,19.645666000000002,5.4727559999999995,,17.35828,4.6478410000000006,68.890617,32.68824,68.520226,50.937275,37.455704,43.017159,60.42569399999999,9.652474,27.344383,16.994314000000003,61.944237,29.136084000000004,32.968227,39.839149,28.599190000000004,38.23938,15.097278,,87.418839,59.201770999999994,23.882488000000002,,69.696404,25.706591,71.445053,,42.348812,45.016597999999995,,31.757252,42.427048,21.639927,11.626036000000001,76.589546,30.676122999999997,83.410881,78.836327,13.020123,14.918097,63.396641,,55.672844,38.054478,35.481392,63.193858999999996,26.836226,25.799999,20.890320000000003,51.479156,57.330276,24.526857,47.16127,37.778416,55.189999,38.569618,24.244507000000002,62.895458,37.620815,21.904726,52.289589,22.24,57.519592,,23.917116,
2007-11-26,18.873354,5.259289,,17.220879,4.661891000000001,68.361473,33.885956,68.818657,50.343521,37.096237,42.713703,59.282738,9.402460000000001,26.5753,16.366978,62.663975,28.569159000000003,32.515877,39.146996,28.039944000000002,37.433243,14.818643,,85.59761,60.5863,23.048243,,68.751335,25.065132000000002,70.597649,,41.20237,44.541653000000004,,31.7703,41.92992,21.479691,11.1882,75.582962,29.934247999999997,81.44253499999999,76.819412,12.688219,14.621799,62.055882,,54.60903199999999,37.586006,34.104546,62.136196,26.538582,25.6,20.259017999999998,50.82209,57.161182,24.074331,46.128269,37.914840999999996,55.290001000000004,38.515434,24.562613,60.444632999999996,37.200001,21.321438,51.876701000000004,21.200001,56.908825,,23.593821,
2007-11-27,18.834742000000002,5.571280000000001,,17.503777,4.775697,68.67504100000001,34.742779,70.19609799999999,51.0783,38.494152,44.028648,60.223988,9.619762,27.026721999999996,16.441876999999998,63.684231000000004,29.046896000000004,33.127884,39.482143,28.472383,38.30072,15.222857999999999,,87.054588,59.679359,23.071342,,69.483749,25.556463,71.37101,,41.868542,45.127911,,32.383274,43.141666,21.826859,11.497602,75.879021,31.241795,83.052307,76.86913299999999,12.726151,14.876748999999998,62.913963,,54.47691700000001,38.476890999999995,35.429840000000006,62.995548,26.562708,26.450001,20.152439,52.042377,58.598438,24.074331,46.705532,38.179703,56.099998,38.987511,23.490845,61.82498199999999,37.97617,22.178933999999998,52.672996999999995,20.870001000000002,57.942379,,24.134992999999998,
2007-11-28,20.244204999999997,5.864507,,17.827105,4.942896,70.968094,37.138191,71.634773,52.837337,40.403294,46.253952000000005,62.36705799999999,9.997749,27.093594,17.574837,67.22753900000001,30.097766999999997,33.260921,41.157879,29.246214000000002,39.492409,15.901782,,90.706375,63.754082,23.977465,,70.89341,26.245708,73.386673,,43.053707,46.745715999999994,,33.485325,44.027184000000005,23.171013000000002,11.558898,80.527084,32.326771,85.32584399999999,78.992554,13.105475,15.14548,63.90224499999999,,54.588173,39.42152,37.270557000000004,65.06950400000001,26.908628000000004,27.360001,21.005095999999998,52.934128,58.739349,24.873796,47.077721000000004,38.613102000000005,58.779999,39.645283,23.990023,64.116196,38.808445,22.62105,54.243427000000004,21.5,59.390961,,24.486403,
2007-11-29,19.365702,5.761291,,17.709892,4.91901,71.634476,35.995758,71.32865100000001,53.23069399999999,40.155646999999995,46.735439,61.921645999999996,9.766233,26.801006,17.443745,66.94676199999999,29.860826,33.039188,41.157879,28.807271999999998,39.219929,15.627076,,89.83779100000001,63.105637,23.946661,,69.916916,26.02733,73.222122,,42.511482,46.77541,,33.426646999999996,43.452374,22.743729000000002,11.649386,80.507347,31.640532,85.02065999999999,79.840843,12.754601,15.06969,64.055489,,53.600861,38.983761,37.130665,65.689224,27.013195,27.389999,21.234663,52.511722999999996,59.180851000000004,24.632445999999998,46.796669,39.327427,58.82,39.792316,24.053648000000003,63.186558,37.517948,22.369692,54.044365,22.24,59.069939,,23.891932,
2007-11-30,20.05113,5.941917,,17.782646,4.972403,71.281708,36.382725,70.815956,53.364281000000005,41.178115999999996,47.297829,60.610583999999996,9.922152,26.742489000000003,18.501797,67.939346,29.636688,33.021442,41.544037,29.038120000000003,41.241581,15.556434,,91.967232,64.481377,24.152012,,69.916916,26.129701999999998,72.646248,,43.859328999999995,46.582443,,33.674431,43.110615,23.402458,11.713602999999999,82.66855600000001,31.928013,84.417938,78.892761,13.418409,15.434885000000001,63.787315,,54.782864000000004,39.329372,37.263176,65.631401,27.286715,27.379998999999998,22.103727,53.106213000000004,59.603595999999996,25.017098999999998,46.978981,39.231113,58.849998,40.357243,23.334238,64.83921099999999,38.284763,22.487347,54.324557999999996,23.27,58.545303000000004,,24.288246,
