Date,ADM,BF.B,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
<<<<<<< HEAD
=======
2007-12-10,30.403593,,14.345106,10.096229,27.08979,47.708572,54.939884,,27.837290000000003,34.440708,,18.353051999999998,20.652498,8.210752000000001,30.982281,40.117455,,46.297352000000004,20.134201,10.601560000000001,17.615299,30.894249,8.001667,14.017010999999998,57.340351,54.268742,,36.237053,23.314894,23.504498,43.305061,13.625704,30.406834000000003,38.349781
2007-12-11,29.348415000000003,,14.061648000000002,9.995447,27.155065999999998,47.657309999999995,53.945156000000004,,27.643085,34.320198,,18.12792,20.17095,8.076181,30.1283,39.76458,,45.600002,20.038723,9.902022,17.337057,30.107988,7.808333,13.819838,56.746765,53.910954000000004,,35.362007,22.364056,23.174758999999998,41.828751000000004,13.367779999999998,30.129223,38.039452000000004
2007-12-12,30.498095000000003,,13.967160999999999,10.08723,27.412703999999998,48.023410999999996,54.122536,,27.508642,34.242722,,18.540672,20.092955,8.055795,29.697451,39.47052,,46.211018,20.293306,9.714978,17.281404000000002,30.378021,7.811666000000001,13.929179000000001,57.941353,54.516964,,34.980934000000005,23.217873,23.361128,41.987503000000004,13.412246,30.210876000000003,37.587429
2007-12-13,30.151608000000003,,14.089436,10.245604,27.615374,48.147869,52.85025,,27.493708,34.139431,,18.448948,20.326944,8.329013,29.743615999999996,39.691051,,45.971920000000004,20.395138,9.804758,17.281404000000002,30.203295,7.898333999999999,13.938137,58.386551000000004,54.319843000000006,,35.79248,23.596262,23.389797,41.654137,13.323305,29.925098,37.665375
2007-12-14,30.765815999999997,,13.983832999999999,10.20781,27.701259999999998,48.133217,52.811671999999994,,27.179996000000003,33.743469,,18.052868,20.008169,8.088417999999999,29.582043,39.419059999999995,,45.234718,20.306038,9.804758,16.851395,29.432926000000002,7.95,13.769647,58.21589300000001,53.954777,,35.340832,23.673883,22.622808,41.312832,12.816345,29.876096999999998,37.119823
2007-12-17,31.301289,,13.611451,10.132222,27.158499,47.693928,52.564941000000005,,26.828959,33.683205,,17.836069000000002,19.896259,8.121039999999999,29.428169,39.051483000000005,,45.274570000000004,19.879611999999998,9.6252,16.477037,29.28997,7.555,13.626249,57.407143000000005,53.472916000000005,,34.846844,23.673883,22.178376999999998,40.146084,12.593992,30.088396000000003,37.275703
2007-12-18,31.6399,,13.655919,10.074633,26.725665999999997,47.811077000000004,52.780827,,27.082901,33.691803,,18.019514,20.031906,8.149586,29.928259000000004,39.066177,,45.201510999999996,19.800056,9.789798,16.71986,29.925321999999998,7.473333,13.610116,57.14743000000001,53.18087,,35.347885,23.635077,22.651478,40.677859999999995,13.145426,30.406834000000003,37.595219
2007-12-19,32.584843,,13.778191,9.98825,26.780628000000004,47.554798,52.742287,,27.187465999999997,33.993092,,18.098732000000002,19.665658999999998,8.251531,29.889791,38.955906,,45.241371,20.000536,9.681311,16.709747,30.425678,7.716667,13.744554999999998,56.976780000000005,53.2831,,35.432559999999995,23.276085000000002,22.802013,40.090515,13.020907000000001,29.704629999999998,37.470528
2007-12-20,34.088871000000005,,13.383575,10.078237,26.92148,47.642662,53.12011,,26.963402000000002,33.433563,,18.444782,19.56053,8.369789,30.07445,38.830936,,46.118031,19.819149,9.954394,16.649036,30.330383,7.883333,13.913048999999999,56.754166000000005,53.436409,,35.658405,23.314894,22.601301,40.796921000000005,13.172108999999999,29.598491999999997,37.291286
2007-12-21,34.860596,,13.416924,9.984651,27.045140999999997,48.213764000000005,54.037704000000005,,27.150126,34.130821000000005,,18.740797,19.689394,8.441153,30.336035,39.360240999999995,,46.018425,20.070547,10.025469000000001,16.965288,30.894249,7.95,14.014401999999999,57.392277,54.08620500000001,,35.778374,23.644776999999998,22.959707,41.749373999999996,13.643492000000002,31.411129,37.571835
2007-12-24,35.427551,,13.528089000000001,10.006246,26.952396000000004,48.440739,54.56205,,27.284563000000002,34.371853,,18.582361,19.655479,8.502317999999999,30.520678000000004,39.411697,,46.377056,20.115099,10.261144,17.026498999999998,30.965727,8.043333,14.04155,57.659386,53.983982,,36.222946,24.168707,23.081570000000003,42.090678999999994,13.687965,31.860215999999998,37.984894
