Date,A,ABBV,ABC,ABT,AET,AGN,ALGN,ALXN,AMGN,ANTM,BAX,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,DGX,DHR,DVA,ESRX,EVHC,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,NKTR,PFE,PKI,PRGO,REGN,RMD,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
2007-11-16,24.46624,,19.311392,16.905972,50.083801,26.529871000000004,15.87,18.450001,47.856716,72.1866,21.762604,68.666534,70.040001,18.799242,12.1,33.886703000000004,32.450001,13.535,48.949181,11.595,43.251591,46.961582,20.334862,29.77,32.689999,,12.61,20.800415,,32.605,29.135,68.103142,31.879998999999998,26.504998999999998,8.33,,93.550003,49.160614,69.720001,34.443905,61.504695999999996,36.600475,39.005386,116.690002,13.65,6.49,15.341073000000002,24.555046,28.483240000000002,18.559998999999998,19.553854,61.127254,55.63140500000001,23.780207,47.100842,43.239940999999995,25.709999,76.57,39.919159,61.918884,
2007-11-19,23.853251999999998,,18.757555,16.786542999999998,49.928761,26.2334,15.53,17.870001000000002,47.140892,72.504944,21.643076,70.163597,70.25,18.961603,12.21,32.867901,32.0,13.5625,48.434017,11.39,42.667244000000004,46.84964,20.226402,29.0,32.955002,,12.5575,20.166712,,32.535,29.209999,67.361664,31.5375,26.02,8.1,,94.743332,49.044514,71.089996,33.752495,60.888073,36.184653999999995,38.918537,112.400002,13.25,6.29,14.895076999999999,24.209698,27.981714,18.1,19.956751,61.380966,54.742222,23.519724,47.16256,42.968102,25.08,76.519997,39.815346000000005,62.307182,
2007-11-20,24.326317,,19.028033999999998,17.019268,50.311783,26.663767,15.9,17.825001,46.6838,72.699471,21.568361,69.365723,70.209999,19.015718,12.38,32.995247,32.279999,14.2575,49.147312,11.41,42.162125,46.772141,20.359509,29.004998999999998,32.849998,,12.57,20.385714,,32.700001,29.045,67.483688,31.415001,25.625,8.2,,95.966667,49.080811,70.099998,33.473289,61.22856899999999,38.719582,38.698048,113.599998,13.45,6.26,14.901631,24.318756,28.313475,17.67,19.809025,62.876987,55.554085,23.51499,47.67395,43.494240000000005,24.57,76.790001,39.796467,60.839226000000004,
2007-11-21,24.452913,,18.684566,16.758991,49.062416,26.099505999999998,14.69,17.1875,45.571247,71.86820999999999,21.108904000000003,67.704155,68.629997,18.576006,12.42,32.688457,31.27,14.4275,48.29533,11.53,41.300457,46.126225,19.841896,28.875,32.18,,12.255,20.064203,,31.59,28.17,65.88813,29.9725,25.77,8.14,,93.290001,48.717991,68.529999,32.635609,60.842064,38.615608,37.762676,110.93,13.29,6.41,14.658961999999999,24.137003,28.095461,17.879998999999998,19.576233,61.485946999999996,54.809886999999996,23.155041,47.092026000000004,42.555958000000004,23.540001,76.480003,38.78669,60.119468999999995,
2007-11-23,24.592833,,18.843416,16.991713,49.372478,26.6542,14.8,17.41,46.364677,72.30154399999999,21.624399,68.69944,69.510002,18.995424,12.51,32.983677,31.174999,14.36,48.572720000000004,11.705,41.785763,46.436271999999995,20.002108,29.155001000000002,32.415001000000004,,12.4225,20.18535,,31.905001000000002,28.254998999999998,66.817314,30.1675,26.120001000000002,8.2,,94.57,48.831165000000006,69.589996,33.765797,61.66113299999999,38.63961,38.524334,113.300003,13.61,6.42,15.072159,24.482332,28.417738,18.34,20.350693,61.80086899999999,55.293129,23.235554,47.67395,43.161018,24.0,77.349998,38.475262,61.132816000000005,
2007-11-26,24.346307999999997,,18.731794,16.612007000000002,50.539764,25.984737,15.26,17.4025,45.433258,72.646439,21.101430999999998,66.412735,68.0,18.670719000000002,12.24,32.948935999999996,30.205,14.3825,48.850101,11.7,41.409409000000004,46.522372999999995,20.226402,29.855,31.385,,12.2325,19.528351,,31.32,27.885,68.074989,30.215,25.615,8.0,,94.470001,49.188942,70.480003,33.021202,61.52309,39.079421999999994,38.477558,112.629997,13.53,6.22,14.626163,23.973423,28.133364,17.139999,20.014942,60.821045,54.606915,23.301861,47.065567,42.652415999999995,23.76,76.75,37.805229,60.356243000000006,
2007-11-27,24.539534,,18.534294,17.120327,50.630966,26.568127,15.64,18.115,46.588921,73.955208,21.807428,67.284645,69.75,19.022485999999997,12.69,33.203648,31.17,14.5575,49.98938,12.005,41.498543,47.142452,20.943672,29.700001,32.845001,,12.3075,20.730524,,31.674999,28.905001000000002,70.10231,29.815001000000002,26.09,8.01,,98.82666800000001,49.45179,71.650002,33.845581,61.348251,39.911064,39.379543,116.599998,14.05,6.29,15.006573999999999,24.418718,29.251894,16.99,20.1761,62.56205,55.341454000000006,23.472366,47.86792,44.002842,24.219998999999998,77.540001,39.088676,61.170696,
2007-11-28,25.28578,,19.075262,17.276493,51.251076,27.476684999999996,16.33,18.7325,47.18401,74.08785999999999,22.024088,68.148308,70.279999,19.705725,12.73,34.066146999999994,31.879998999999998,14.7475,51.158375,12.345,41.785763,47.779747,21.441568,30.285,34.07,,12.67,21.354912,,32.384997999999996,29.225,71.012749,30.455,28.030001000000002,8.48,,108.16666399999998,49.904461,72.589996,34.743072999999995,61.716366,40.262924,40.061039,117.83000200000001,14.4,6.58,15.373864999999999,25.045773,30.503097999999998,17.15,20.731203,63.68186600000001,56.162968000000006,23.865463000000002,48.247051,44.344833,25.120001000000002,78.269997,39.890842,61.92835600000001,
2007-11-29,24.96596,,19.131073,17.454098000000002,50.785988,27.840111,16.190001000000002,18.5,47.830833,74.547691,21.885876,66.856903,72.769997,19.888372,12.55,34.697109000000005,31.25,15.025,51.81221,12.465,42.657326,47.555828000000005,21.24192,31.0,34.130001,,12.4475,21.322289,,32.889998999999996,29.125,70.843826,30.15,28.889999,8.61,,107.326668,49.940968,73.440002,35.095421,61.27421999999999,40.214951,40.034309,117.589996,14.45,6.54,15.478806,24.709532,29.744783,21.110001,20.556618,63.191956000000005,55.331782999999994,23.960342,48.282322,43.748543,25.1,77.709999,40.240005,60.990756999999995,
2007-11-30,25.205822,,19.47883,17.610264,50.959255,28.031384000000003,16.889999,18.18,47.649727,74.468117,22.364006,68.04965200000001,74.120003,20.043961,12.63,35.050224,30.775,14.9375,53.110004,12.5,42.617706,47.418034000000006,21.39967,30.98,33.875,,12.3625,21.685738,,33.195,29.575001,72.298599,30.25,28.895,8.58,,109.226669,49.459072,72.66999799999999,35.201801,61.467651000000004,40.662739,39.660164,116.360001,14.38,6.67,15.583753,24.791321,29.289801,21.780001000000002,20.502895000000002,63.541869999999996,55.708725,24.169064000000002,48.493935,43.809925,25.389999,78.040001,40.372131,61.303295,
2007-12-03,25.152521,,18.903520999999998,17.457155,51.570254999999996,27.457559999999997,16.34,18.032498999999998,47.51173,74.494637,22.042761,66.848701,73.82,19.969549,13.0,34.627646999999996,30.139999,14.675,54.150204,12.5,43.013882,47.099384,21.239452,30.975,35.220001,,12.2325,21.406166,,32.400002,28.715,72.101479,29.875,28.77,8.99,,109.400002,49.437168,71.83000200000001,34.922573,60.40834,40.446838,39.265953,115.800003,14.24,6.48,15.446014000000002,24.700436,29.356146000000003,22.620001000000002,20.547663,63.480625,55.389782,24.088423000000002,48.167706,43.573161999999996,25.0,78.93,39.900276,61.360119,
2007-12-04,24.972620000000003,,18.774725,17.607195,51.16901,27.543634,16.52,17.530001000000002,47.356487,74.158592,22.087585,66.11663100000001,72.550003,19.658369,12.63,34.535038,29.445,14.65,53.03075,12.64,43.221874,47.142452,21.298607,30.235001,35.66,,11.9025,21.066013,,30.875,29.055,73.640778,29.975,28.33,9.47,,108.550003,49.605114,71.68,34.643353000000005,60.380699,40.41486,39.012066,116.279999,14.35,6.48,15.39355,24.01886,29.337193,22.26,20.534229,63.778103,55.351119999999995,23.884435999999997,47.903191,43.476704,24.82,79.970001,40.079582,61.899944,
2007-12-05,25.21249,,19.088142,17.809303,52.272446,27.572321000000002,16.84,17.83,47.339245,74.698044,22.300503,67.53139499999999,74.0,19.793663000000002,12.95,34.714478,29.965,14.655,54.843685,13.02,42.944557,47.590278999999995,21.227129,29.924999,36.205002,,11.8375,21.797570999999998,,31.01,29.549999,72.326767,29.785,28.995001000000002,9.34,,110.976669,49.802258,72.639999,35.560802,61.136051,40.950641999999995,39.946857,117.239998,14.18,6.57,15.728044,24.327842999999998,29.185534999999998,23.08,20.610333999999998,64.792946,55.950336,24.192778,48.211788,43.617004,25.5,79.989998,40.957249,63.61411999999999,
2007-12-06,25.28578,,19.341445999999998,17.806242,53.330296,27.734907,17.549999,18.4625,47.563477,76.148315,22.383394,67.580772,73.93,19.671904,12.99,35.154423,30.049999,14.765,54.863491,12.935,42.350296,47.409431,21.505651,30.565001000000002,36.305,,11.98,22.184319,,32.009997999999996,30.200001,72.411232,29.75,29.325001,9.71,,114.93,49.867954,73.190002,35.853317,60.343853,40.598785,40.014099,118.449997,14.16,7.11,15.852657,24.600473,29.21397,24.379998999999998,21.393742,65.615318,56.133976000000004,24.932793,49.358009,43.687157,25.91,79.980003,41.429096,65.88707,
2007-12-07,25.325754,,19.702092999999998,17.827673,53.740685,27.524508,18.620001000000002,18.6975,44.933040999999996,76.024513,22.657923,68.008453,74.940002,19.773371,12.73,35.079166,28.68,14.8375,55.180504000000006,12.715,42.320586999999996,46.84964,21.463755,30.555,35.889998999999996,,12.1225,21.932697,,32.014998999999996,30.525,71.94194,29.6,29.030001000000002,9.2,,117.66666399999998,49.415271999999995,73.099998,36.099284999999995,61.136051,40.41486,40.800934000000005,118.43,14.14,7.29,16.003517000000002,24.09156,29.308753999999997,24.0,21.523563,65.326614,55.931006999999994,25.070356,49.948757,43.538086,25.49,79.220001,41.995327,65.375656,
2007-12-10,25.245801999999998,,19.663445,18.035895999999997,54.497585,28.050518,18.83,18.9725,43.975746,75.856476,22.973817999999998,69.580841,73.970001,19.827485999999997,13.04,34.899715,24.59,14.875,54.78423299999999,12.875,42.221558,46.677395000000004,21.692985999999998,29.75,36.115002000000004,,12.3025,22.244892,,32.474998,30.885,71.491394,29.9,29.195,9.87,,115.860001,49.495579,73.650002,36.418396,60.69389,40.470837,40.868183,118.540001,14.0,7.35,15.983846,24.164268,29.337193,24.4,21.617573,66.035271,56.742874,25.521009,51.024440999999996,43.599468,25.469998999999998,78.82,42.608746000000004,65.782898,
