Date,AIV,AMT,ARE,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2017-12-18,43.785796999999995,142.130417,132.12866200000002,179.352676,129.287018,,108.602951,113.009323,27.632590999999998,453.158295,64.497437,246.08514399999999,86.802933,131.745361,23.280001000000002,26.542165999999998,20.324665,37.268452,18.562685000000002,101.93869000000001,64.878761,57.090199,65.361137,209.962814,69.694771,161.78999299999998,102.954475,167.708084,39.045494,78.747116,63.548229000000006,0.145,35.681046
2017-12-19,42.815422,141.15528899999998,129.733139,174.69339,127.194084,,107.533073,110.71149399999999,27.057119,445.900909,63.21929599999999,239.14195299999997,85.43517299999999,129.92486599999998,23.370001000000002,25.676447,20.028387,37.278278,18.030914000000003,98.522583,65.056564,55.658009,62.899925,206.121735,68.337914,157.990005,100.801949,166.32548500000001,37.82563,77.498108,61.021702000000005,0.42,35.155888
2017-12-20,42.83522,139.493576,126.805283,174.595093,126.216728,,106.87925700000001,109.364494,26.809071000000003,444.58862300000004,62.73753000000001,236.660126,84.899971,128.43893400000002,23.1,25.420666,19.801241,36.521908,17.755184,98.502785,63.861323999999996,54.927096999999996,62.572421999999996,203.092422,67.357414,157.979996,98.193115,161.940704,37.716537,76.149963,59.896599,0.145,35.096436
2017-12-21,42.726307,138.916458,127.00244099999999,172.560349,125.31835900000002,,107.16653400000001,108.265106,26.580868,443.28628499999996,62.324589,233.971481,84.414314,127.25808,23.07,25.184561,19.801241,36.492439000000005,17.676403,97.799751,63.624256,54.571514,62.532726000000004,201.676773,67.05038499999999,157.83999599999999,98.322075,162.651749,37.369423,76.45725999999999,59.057713,0.145,34.888355
2017-12-22,42.765910999999996,139.961243,127.62350500000001,175.086578,125.713242,,107.533073,109.919151,26.65032,443.992126,62.727695,235.76390099999998,85.35588800000001,128.311005,23.4,25.253426,19.890123000000003,36.993412,17.745337,98.770126,64.40460999999999,55.164145999999995,63.346518999999994,203.90420500000002,67.436646,160.220001,99.234665,164.992294,37.845467,76.526649,59.353790000000004,0.145,34.620823
2017-12-26,42.904537,140.21000700000002,128.540298,175.941772,126.848564,,107.94913500000001,110.52330800000001,26.70985,444.09155300000003,63.022652,236.91618300000002,86.029854,129.915024,23.48,25.528883,19.929628,36.993412,17.971829999999997,99.166199,64.928154,55.53948199999999,63.33659,205.94354199999998,68.030891,159.820007,99.542168,167.253799,38.014069,76.893425,59.393269,0.145,34.739727
2017-12-27,42.934242,141.559998,129.368393,175.528931,127.44088,,108.404831,111.42461399999999,26.908291,449.05239900000004,63.002995,237.57603500000002,86.634445,131.164764,23.469998999999998,25.45018,19.9,36.787128,17.971829999999997,99.08698299999999,65.076317,56.02346800000001,63.79310600000001,207.181,68.35771899999999,161.259995,99.849678,168.64627099999998,38.043819,77.081772,59.353790000000004,0.145,34.779358
2017-12-28,43.161983,142.91000400000001,129.705872,176.945831,127.98724399999999,,108.79117600000001,112.93998700000002,27.086884,452.45242300000007,63.170131999999995,238.99465899999998,86.981339,131.479675,23.42,25.607584,20.120001000000002,37.307747,18.090002,99.572174,65.204735,56.418556,64.26947,207.141403,68.753883,163.0,100.1175,169.02153,38.301674,77.389061,59.639998999999996,0.145,34.937897
2017-12-29,43.280803999999996,142.669998,129.626465,176.77739,129.169373,,109.970024,112.81123400000001,26.997587,450.57345599999996,63.193668,239.451004,86.67408,131.67796299999998,23.389999,25.656771,19.85,37.062172,18.15,99.572174,64.878761,56.530087,64.02136999999999,206.903809,68.51619000000001,163.360001,100.93,169.604218,38.202498999999996,77.498108,60.009997999999996,0.145,34.937897
2018-01-02,43.023357,141.130005,128.971329,175.618103,128.424332,,107.909508,111.583092,26.680084,444.310272,62.936016,238.17126499999998,84.919792,132.609955,23.74,25.489531,19.940001000000002,36.944297999999996,18.120001000000002,98.621605,65.79741700000001,56.133522,63.525154,204.250702,68.872734,160.630005,100.639999,170.27574199999998,37.746292,76.645607,59.759997999999996,0.145,34.977534999999996
