Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P),# (B),% Wgt (B),% Wgt (D)
MYL,MYLAN NV,,0.503270128,36076930.929767,886628.9243,40.69,USD,,0.504790635,-0.001520506
MYOK,MYOKARDIA INC,,0.034220739,2453114.513434,41021.98183,59.8,USD,,0.034890409,-0.00066967
MYGN,MYRIAD GENETICS INC,,0.05919801,4243610.75379,133446.87905,31.8,USD,,0.059906729,-0.000708719
NK,NANTKWEST INC,,0.002971704,213026.7392,48415.168,4.4,USD,,0.002853529,0.000118175
NTRA,NATERA INC,,0.006500111,465960.6416344,51658.60772,9.02,USD,,0.006597734,-9.7622e-05
NHC,NATIONAL HEALTHCARE CORP,,0.01677237,1202327.755104,20542.0768,58.53,USD,,0.016940131,-0.000167761
BABY,NATUS MEDICAL INC,,0.027987452,2006281.216866,64510.65006,31.1,USD,,0.026361056,0.001626396
NKTR,NEKTAR THERAPEUTICS,,0.358663598,25710808.416069,304089.98718,84.55,USD,,0.362235993,-0.003572394
NEOG,NEOGEN CORP,,0.081356591,5832049.158216,99218.2572,58.78,USD,,0.081526002,-0.00016941
NEO,NEOGENOMICS INC,,0.013858559,993451.138716,117014.2684,8.49,USD,,0.013930385,-7.1825e-05
NBIX,NEUROCRINE BIOSCIENCES INC,,0.20141914,14438735.797598,171603.7057,84.14,USD,,0.202580735,-0.001161594
NVRO,NEVRO CORP,,0.051020986,3657440.6351504,45993.97177,79.52,USD,,0.051281205,-0.000260218
NLNK,NEWLINK GENETICS CORP,,0.004850061,347676.7557309,49739.16391,6.99,USD,,0.005288486,-0.000438425
NVAX,NOVAVAX INC,,0.018004581,1290658.8515283,568572.18129,2.27,USD,,0.019369163,-0.001364582
NVCR,NOVOCURE LTD,,0.024483309,1755086.61762,86670.94408,20.25,USD,,0.024617464,-0.000134155
NUVA,NUVASIVE INC,,0.065952251,4727788.6860826,98639.44682,47.93,USD,,0.06646473,-0.000512478
NXTM,NXSTAGE MEDICAL INC,,0.042191461,3024495.8777616,128374.18836,23.56,USD,,0.042455223,-0.000263762
OCUL,OCULAR THERAPEUTIX INC,,0.004597246,329553.729793,59810.1143,5.51,USD,,0.004607484,-1.0237e-05
OMER,OMEROS CORP,,0.01200314,860445.3815226,87532.59222,9.83,USD,,0.012196605,-0.000193465
OMCL,OMNICELL INC,,0.043272866,3102016.4248815,73074.59187,42.45,USD,,0.043810128,-0.000537262
OMED,ONCOMED PHARMACEUTICALS INC,,0.001338302,95936.2709913,39479.94691,2.43,USD,,0.001376561,-3.8258e-05
OPHT,OPHTHOTECH CORP,,7.603e-06,545.0449914,199.65018,2.73,USD,,,7.603e-06
OPK,OPKO HEALTH INC,,0.028982148,2077586.0149536,653328.93552,3.18,USD,,0.029039635,-5.7486e-05
OSUR,ORASURE TECHNOLOGIES INC,,0.02745038,1967781.149523,115888.17135,16.98,USD,,0.028018377,-0.000567997
ONVO,ORGANOVO HOLDINGS INC,,0.002602967,186593.755267035,187757.85689,0.993799984,USD,,0.002746518,-0.000143551
OFIX,ORTHOFIX INTERNATIONAL NV,,0.027339116,1959805.2123048,35115.66408,55.81,USD,,0.027655276,-0.000316159
OTIC,OTONOMY INC,,0.003601366,258164.0103235,45692.74519,5.65,USD,,0.003730776,-0.00012941
OVAS,OVASCIENCE INC,,2.317e-06,166.14783177,178.63437,0.930100023,USD,,,2.317e-06
OMI,OWENS & MINOR INC,,0.026777149,1919520.6052716,119150.87556,16.11,USD,,0.026846358,-6.9208e-05
PACB,PACIFIC BIOSCIENCES OF CALIF,,0.006593167,472631.3393648,200267.51668,2.36,USD,,0.007026913,-0.000433746
PCRX,PACIRA PHARMACEUTICALS INC,,0.035730123,2561314.751775,78327.66825,32.7,USD,,0.036094354,-0.00036423
PDCO,PATTERSON COS INC,,0.056406279,4043485.46150265,167744.67793,24.105,USD,,0.056531757,-0.000125477
PDLI,PDL BIOPHARMA INC,,0.009551414,684693.3741795,281766.82065,2.43,USD,,0.009693742,-0.000142327
PEN,PENUMBRA INC,,0.08448368,6056214.617394,55843.38052,108.45,USD,,0.085119453,-0.000635772
PKI,PERKINELMER INC,,0.222241754,15931405.3572772,214506.60236,74.27,USD,,0.222731179,-0.000489425
PRGO,PERRIGO CO PLC,,0.277152305,19867669.4526388,249687.94084,79.57,USD,,0.274414214,0.00273809
PFE,PFIZER INC,,5.749377014,412144225.414044,11567337.22745,35.63,USD,,5.77830041,-0.028923396
