Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
SO,SOUTHERN CO/THE,,5.812928285,142688965.991097,3244405.77515,43.98,USD
SWX,SOUTHWEST GAS HOLDINGS INC,,0.411061111,10090247.4768896,154379.55136,65.36,USD
SPKE,SPARK ENERGY INC-CLASS A,,0.014300016,351020.072477,38786.74834,9.05,USD
SR,SPIRE INC,,0.434983876,10677475.532724,156561.22482,68.2,USD
TERP,TERRAFORM POWER INC - A,,0.05581541,1370091.4287335,120712.90121,11.35,USD
UGI,UGI CORP,,0.993079974,24376965.9212781,563108.47589,43.29,USD
UTL,UNITIL CORP,,0.079238205,1945046.8038529,45993.06701,42.29,USD
VVC,VECTREN CORP,,0.664432795,16309719.2740914,269270.58402,60.57,USD
VST,VISTRA ENERGY CORP,,0.648291106,15913491.987607,833167.11977,19.1,USD
WEC,WEC ENERGY GROUP INC,,2.488459081,61083783.5478628,1024380.06956,59.63,USD
WR,WESTAR ENERGY INC,,0.924167531,22685383.8631332,461460.20877,49.16,USD
WGL,WGL HOLDINGS INC,,0.558020394,13697632.109898,166273.7571,82.38,USD
XEL,XCEL ENERGY INC,,2.898728363,71154594.1315839,1648241.69867,43.17,USD
YORW,YORK WATER CO,,0.048916397,1200742.519932,41910.73368,28.65,USD
