Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
KEG,KEY ENERGY SERVICES INC,,0.009615743,375492.0185082,27268.84666,13.77,USD
KMI,KINDER MORGAN INC,,2.234067333,87239684.9185863,5381843.61003,16.21,USD
KOS,KOSMOS ENERGY LTD,,0.091832492,3586032.343923,646131.95386,5.55,USD
LPI,LAREDO PETROLEUM INC,,0.093771811,3661762.189241,434888.62105,8.42,USD
TUSK,MAMMOTH ENERGY SERVICES INC,,0.017799393,695061.1937,26278.306,26.45,USD
MRO,MARATHON OIL CORP,,0.851890625,33266083.1708706,2289475.78602,14.53,USD
MPC,MARATHON PETROLEUM CORP,,2.297173962,89703980.575374,1384534.3506,64.79,USD
MTDR,MATADOR RESOURCES CO,,0.196413953,7669908.2094492,265762.58522,28.86,USD
MTRX,MATRIX SERVICE CO,,0.032582734,1272346.40078,87748.02764,14.5,USD
MDR,MCDERMOTT INTL INC,,0.124553076,4863761.7271844,671790.29381,7.24,USD
MPO,MIDSTATES PETROLEUM CO INC,,0.002714042,105982.581465,7850.56159,13.5,USD
MUR,MURPHY OIL CORP,,0.292871217,11436536.5493406,442933.25133,25.82,USD
NBR,NABORS INDUSTRIES LTD,,0.132228896,5163500.2609225,776466.20465,6.65,USD
NOV,NATIONAL OILWELL VARCO INC,,0.92556538,36143061.1255235,1020702.09335,35.41,USD
NCSM,NCS MULTISTAGE HOLDINGS INC,,0.002958363,115523.2266726,7950.66942,14.53,USD
NFX,NEWFIELD EXPLORATION CO,,0.320989043,12534529.5729725,536810.68835,23.35,USD
NR,NEWPARK RESOURCES INC,,0.052302331,2042390.951368,246071.19896,8.3,USD
NE,NOBLE CORP PLC,,0.068881706,2689810.7836998,684430.22486,3.93,USD
NBL,NOBLE ENERGY INC,,0.971377496,37932011.0357145,1262296.54029,30.05,USD
OAS,OASIS PETROLEUM INC,,0.151725939,5924854.1696058,735093.56943,8.06,USD
OXY,OCCIDENTAL PETROLEUM CORP,,3.468551662,135445941.887889,2063780.92165,65.63,USD
OII,OCEANEERING INTL INC,,0.124211267,4850414.1567,269467.45315,18.0,USD
OIS,OIL STATES INTERNATIONAL INC,,0.090167806,3521026.8401105,141691.22093,24.85,USD
OKE,ONEOK INC,,1.484513556,57969826.1544833,1025833.05883,56.51,USD
PARR,PAR PACIFIC HOLDINGS INC,,0.030494604,1190805.49774,70047.38222,17.0,USD
PKD,PARKER DRILLING CO,,0.010341676,403839.501842386,454364.86328,0.888800025,USD
PE,PARSLEY ENERGY INC-CLASS A,,0.387070861,15115005.4887675,596723.46975,25.33,USD
PTEN,PATTERSON-UTI ENERGY INC,,0.272841896,10654397.3479393,578100.77851,18.43,USD
PBF,PBF ENERGY INC-CLASS A,,0.229419684,8958772.507841,299624.49859,29.9,USD
PDCE,PDC ENERGY INC,,0.212376432,8293238.4267312,152225.37494,54.48,USD
BTU,PEABODY ENERGY CORP,,0.004265912,166582.6558909,4071.92999,40.91,USD
PVAC,PENN VIRGINIA CORP,,0.003569223,139377.1319028,3704.86794,37.62,USD
PHIIK,PHI INC-NON VOTING,,0.011222974,438253.91265,43391.4765,10.1,USD
PSX,PHILLIPS 66,,2.746382178,107245431.862452,1180207.2396,90.87,USD
PXD,PIONEER NATURAL RESOURCES CO,,1.98672672,77581105.3338708,458625.59313,169.16,USD
