date_,RSXFS
1992-01-01,146925.0
1992-02-01,147223.0
1992-03-01,146805.0
1992-04-01,148032.0
1992-05-01,149010.0
1992-06-01,149800.0
1992-07-01,150761.0
1992-08-01,151067.0
1992-09-01,152588.0
1992-10-01,153521.0
1992-11-01,153583.0
1992-12-01,155614.0
1993-01-01,157555.0
1993-02-01,156266.0
1993-03-01,154752.0
1993-04-01,158979.0
1993-05-01,160605.0
1993-06-01,160127.0
1993-07-01,162816.0
1993-08-01,162506.0
1993-09-01,163258.0
1993-10-01,164685.0
1993-11-01,166594.0
1993-12-01,168161.0
1994-01-01,167518.0
1994-02-01,169649.0
1994-03-01,172766.0
1994-04-01,173106.0
1994-05-01,172329.0
1994-06-01,174241.0
1994-07-01,174781.0
1994-08-01,177295.0
1994-09-01,178787.0
1994-10-01,180561.0
1994-11-01,180703.0
1994-12-01,181524.0
1995-01-01,182413.0
1995-02-01,179488.0
1995-03-01,181013.0
1995-04-01,181686.0
1995-05-01,183536.0
1995-06-01,186081.0
1995-07-01,185431.0
1995-08-01,186806.0
1995-09-01,187366.0
1995-10-01,186565.0
1995-11-01,189055.0
1995-12-01,190774.0
1996-01-01,189135.0
1996-02-01,192266.0
1996-03-01,194029.0
1996-04-01,194744.0
1996-05-01,196205.0
1996-06-01,196136.0
1996-07-01,196187.0
1996-08-01,196218.0
1996-09-01,198859.0
1996-10-01,200509.0
1996-11-01,200174.0
1996-12-01,201284.0
1997-01-01,202371.0
1997-02-01,204286.0
1997-03-01,204990.0
1997-04-01,203399.0
1997-05-01,201699.0
1997-06-01,204675.0
1997-07-01,207014.0
1997-08-01,207635.0
1997-09-01,208326.0
1997-10-01,208078.0
1997-11-01,208936.0
1997-12-01,209363.0
1998-01-01,209666.0
1998-02-01,209552.0
1998-03-01,210832.0
1998-04-01,213633.0
1998-05-01,214639.0
1998-06-01,216337.0
1998-07-01,214841.0
1998-08-01,213636.0
1998-09-01,215720.0
1998-10-01,219483.0
1998-11-01,221134.0
1998-12-01,223179.0
1999-01-01,223997.0
1999-02-01,226250.0
1999-03-01,227417.0
1999-04-01,229037.0
1999-05-01,231235.0
1999-06-01,231903.0
1999-07-01,233948.0
1999-08-01,236566.0
1999-09-01,237481.0
1999-10-01,237553.0
1999-11-01,240544.0
1999-12-01,245485.0
2000-01-01,243436.0
2000-02-01,247133.0
2000-03-01,249825.0
2000-04-01,245831.0
2000-05-01,246201.0
2000-06-01,248160.0
2000-07-01,247176.0
2000-08-01,247576.0
2000-09-01,251837.0
2000-10-01,251221.0
2000-11-01,250331.0
2000-12-01,250658.0
2001-01-01,252654.0
2001-02-01,252704.0
2001-03-01,250328.0
2001-04-01,254763.0
2001-05-01,255218.0
2001-06-01,254022.0
2001-07-01,252997.0
2001-08-01,254560.0
2001-09-01,249845.0
2001-10-01,267999.0
2001-11-01,260514.0
2001-12-01,256549.0
2002-01-01,256307.0
2002-02-01,257670.0
2002-03-01,257059.0
2002-04-01,261333.0
2002-05-01,257573.0
2002-06-01,259786.0
2002-07-01,262769.0
2002-08-01,265043.0
2002-09-01,260626.0
2002-10-01,261953.0
2002-11-01,263568.0
2002-12-01,265930.0
2003-01-01,267230.0
2003-02-01,263188.0
2003-03-01,267820.0
2003-04-01,267197.0
2003-05-01,267362.0
2003-06-01,270396.0
2003-07-01,273352.0
2003-08-01,277965.0
2003-09-01,276430.0
2003-10-01,274764.0
2003-11-01,278298.0
2003-12-01,277612.0
2004-01-01,278913.0
2004-02-01,280932.0
2004-03-01,286209.0
2004-04-01,282952.0
2004-05-01,288252.0
2004-06-01,284133.0
2004-07-01,287358.0
2004-08-01,287941.0
2004-09-01,293139.0
2004-10-01,295115.0
2004-11-01,296177.0
2004-12-01,299763.0
2005-01-01,296696.0
2005-02-01,300557.0
2005-03-01,301308.0
2005-04-01,303760.0
2005-05-01,301776.0
2005-06-01,310989.0
2005-07-01,313520.0
2005-08-01,310046.0
2005-09-01,310673.0
2005-10-01,310479.0
2005-11-01,313303.0
2005-12-01,313473.0
2006-01-01,322348.0
2006-02-01,320171.0
2006-03-01,320869.0
2006-04-01,322561.0
2006-05-01,321794.0
2006-06-01,323184.0
2006-07-01,324204.0
2006-08-01,325324.0
2006-09-01,323236.0
2006-10-01,322678.0
2006-11-01,323343.0
2006-12-01,326849.0
2007-01-01,327181.0
2007-02-01,327953.0
2007-03-01,330579.0
2007-04-01,329560.0
2007-05-01,334202.0
2007-06-01,331076.0
2007-07-01,332342.0
2007-08-01,334169.0
2007-09-01,335442.0
2007-10-01,337530.0
2007-11-01,341133.0
2007-12-01,336189.0
2008-01-01,337412.0
2008-02-01,334584.0
2008-03-01,335193.0
2008-04-01,334843.0
2008-05-01,337947.0
2008-06-01,338311.0
2008-07-01,336771.0
2008-08-01,334045.0
2008-09-01,328343.0
2008-10-01,314830.0
2008-11-01,301332.0
2008-12-01,294025.0
2009-01-01,298673.0
2009-02-01,297631.0
2009-03-01,292300.0
2009-04-01,293614.0
2009-05-01,296501.0
2009-06-01,302169.0
2009-07-01,302802.0
2009-08-01,309023.0
2009-09-01,301033.0
2009-10-01,304154.0
2009-11-01,306675.0
2009-12-01,308413.0
2010-01-01,308514.0
2010-02-01,308528.0
2010-03-01,316268.0
2010-04-01,318610.0
2010-05-01,315359.0
2010-06-01,315250.0
2010-07-01,315554.0
2010-08-01,317316.0
2010-09-01,319913.0
2010-10-01,324036.0
2010-11-01,327641.0
2010-12-01,329752.0
2011-01-01,332086.0
2011-02-01,334676.0
2011-03-01,337913.0
2011-04-01,340165.0
2011-05-01,339252.0
2011-06-01,341659.0
2011-07-01,341276.0
2011-08-01,342211.0
2011-09-01,345701.0
2011-10-01,347734.0
2011-11-01,349350.0
2011-12-01,349990.0
2012-01-01,352600.0
2012-02-01,357187.0
2012-03-01,358857.0
2012-04-01,356558.0
2012-05-01,356034.0
2012-06-01,352561.0
2012-07-01,353798.0
2012-08-01,358398.0
2012-09-01,361293.0
2012-10-01,362102.0
2012-11-01,363069.0
2012-12-01,364312.0
2013-01-01,367279.0
2013-02-01,372113.0
2013-03-01,369007.0
2013-04-01,367642.0
2013-05-01,369373.0
2013-06-01,371011.0
2013-07-01,373473.0
2013-08-01,372409.0
2013-09-01,372045.0
2013-10-01,373525.0
2013-11-01,373995.0
2013-12-01,376651.0
2014-01-01,373018.0
2014-02-01,378025.0
2014-03-01,381961.0
2014-04-01,386536.0
2014-05-01,386864.0
2014-06-01,387930.0
2014-07-01,388173.0
2014-08-01,391343.0
2014-09-01,389804.0
2014-10-01,390597.0
2014-11-01,391534.0
2014-12-01,388246.0
2015-01-01,385479.0
2015-02-01,383859.0
2015-03-01,390782.0
2015-04-01,390464.0
2015-05-01,394490.0
2015-06-01,395384.0
2015-07-01,398004.0
2015-08-01,397622.0
2015-09-01,396190.0
2015-10-01,395205.0
2015-11-01,396467.0
2015-12-01,397382.0
2016-01-01,395069.0
2016-02-01,396867.0
2016-03-01,396999.0
2016-04-01,399131.0
2016-05-01,401174.0
2016-06-01,405216.0
2016-07-01,405079.0
2016-08-01,404905.0
2016-09-01,406720.0
2016-10-01,408914.0
2016-11-01,408141.0
2016-12-01,413334.0
2017-01-01,417240.0
2017-02-01,415051.0
2017-03-01,416008.0
2017-04-01,418997.0
2017-05-01,418435.0
2017-06-01,419645.0
2017-07-01,420726.0
2017-08-01,420685.0
2017-09-01,429566.0
2017-10-01,432104.0
2017-11-01,435519.0
2017-12-01,435599.0
2018-01-01,434632.0
2018-02-01,434859.0
2018-03-01,437571.0
2018-04-01,439135.0
