date_,M1
1988-01-04,751.1
1988-01-11,753.2
1988-01-18,755.8
1988-01-25,759.0
1988-02-01,760.3
1988-02-08,756.6
1988-02-15,757.4
1988-02-22,759.8
1988-02-29,756.7
1988-03-07,758.1
1988-03-14,760.6
1988-03-21,763.1
1988-03-28,763.7
1988-04-04,765.5
1988-04-11,765.8
1988-04-18,766.8
1988-04-25,772.2
1988-05-02,769.6
1988-05-09,769.9
1988-05-16,771.9
1988-05-23,772.5
1988-05-30,772.7
1988-06-06,776.4
1988-06-13,776.5
1988-06-20,780.6
1988-06-27,779.8
1988-07-04,777.7
1988-07-11,781.3
1988-07-18,780.3
1988-07-25,782.2
1988-08-01,784.3
1988-08-08,782.2
1988-08-15,783.4
1988-08-22,783.4
1988-08-29,784.0
1988-09-05,783.8
1988-09-12,782.8
1988-09-19,784.6
1988-09-26,785.1
1988-10-03,781.1
1988-10-10,782.3
1988-10-17,784.0
1988-10-24,783.1
1988-10-31,784.1
1988-11-07,783.2
1988-11-14,784.2
1988-11-21,784.5
1988-11-28,786.9
1988-12-05,787.5
1988-12-12,788.2
1988-12-19,786.5
1988-12-26,784.6
1989-01-02,787.4
1989-01-09,786.7
1989-01-16,786.2
1989-01-23,786.5
1989-01-30,783.2
1989-02-06,784.4
1989-02-13,783.5
1989-02-20,783.5
1989-02-27,783.4
1989-03-06,787.1
1989-03-13,782.6
1989-03-20,783.2
1989-03-27,783.0
1989-04-03,777.4
1989-04-10,776.5
1989-04-17,776.9
1989-04-24,782.3
1989-05-01,782.3
1989-05-08,775.1
1989-05-15,775.7
1989-05-22,773.4
1989-05-29,774.6
1989-06-05,775.3
1989-06-12,772.5
1989-06-19,772.7
1989-06-26,773.6
1989-07-03,774.3
1989-07-10,779.1
1989-07-17,777.9
1989-07-24,778.1
1989-07-31,777.3
1989-08-07,778.4
1989-08-14,779.0
1989-08-21,780.9
1989-08-28,779.9
1989-09-04,777.8
1989-09-11,781.9
1989-09-18,780.2
1989-09-25,781.2
1989-10-02,783.5
1989-10-09,785.2
1989-10-16,788.7
1989-10-23,787.4
1989-10-30,785.8
1989-11-06,787.0
1989-11-13,785.9
1989-11-20,787.6
1989-11-27,790.7
1989-12-04,789.0
1989-12-11,789.8
1989-12-18,790.7
1989-12-25,794.9
1990-01-01,798.3
1990-01-08,793.6
1990-01-15,796.5
1990-01-22,795.1
1990-01-29,793.8
1990-02-05,797.1
1990-02-12,796.3
1990-02-19,796.3
1990-02-26,799.8
1990-03-05,801.6
1990-03-12,799.7
1990-03-19,799.6
1990-03-26,802.5
1990-04-02,802.4
1990-04-09,804.3
1990-04-16,807.0
1990-04-23,807.2
1990-04-30,806.5
1990-05-07,803.0
1990-05-14,802.9
1990-05-21,806.2
1990-05-28,804.9
1990-06-04,807.1
1990-06-11,807.7
1990-06-18,807.3
1990-06-25,810.3
1990-07-02,813.2
1990-07-09,808.1
1990-07-16,811.3
1990-07-23,809.3
1990-07-30,810.8
1990-08-06,811.9
1990-08-13,816.1
1990-08-20,817.2
1990-08-27,816.2
1990-09-03,819.0
1990-09-10,819.8
1990-09-17,819.2
1990-09-24,820.5
1990-10-01,823.3
1990-10-08,820.5
1990-10-15,820.7
1990-10-22,817.2
1990-10-29,820.0
1990-11-05,822.0
1990-11-12,822.0
1990-11-19,823.4
1990-11-26,824.5
1990-12-03,815.3
1990-12-10,821.8
1990-12-17,824.2
1990-12-24,828.1
1990-12-31,828.9
1991-01-07,826.6
1991-01-14,825.7
1991-01-21,826.2
1991-01-28,828.4
1991-02-04,830.9
1991-02-11,833.5
1991-02-18,832.4
1991-02-25,832.0
1991-03-04,834.6
1991-03-11,836.5
1991-03-18,836.0
1991-03-25,840.2
1991-04-01,845.5
1991-04-08,842.7
1991-04-15,845.0
1991-04-22,842.6
1991-04-29,841.2
1991-05-06,846.4
1991-05-13,848.3
1991-05-20,850.8
1991-05-27,849.7
1991-06-03,848.1
1991-06-10,855.6
1991-06-17,856.5
1991-06-24,856.1
1991-07-01,863.2
1991-07-08,859.5
1991-07-15,861.4
1991-07-22,861.1
1991-07-29,862.7
1991-08-05,866.3
1991-08-12,865.3
1991-08-19,865.0
1991-08-26,869.1
1991-09-02,868.3
1991-09-09,870.5
1991-09-16,869.8
1991-09-23,869.5
1991-09-30,871.8
1991-10-07,874.6
1991-10-14,875.4
1991-10-21,879.5
1991-10-28,880.8
1991-11-04,882.4
1991-11-11,885.8
1991-11-18,886.6
1991-11-25,887.4
1991-12-02,896.1
1991-12-09,894.6
1991-12-16,897.6
1991-12-23,897.6
1991-12-30,897.5
1992-01-06,901.9
1992-01-13,906.8
1992-01-20,909.3
1992-01-27,918.2
1992-02-03,917.7
1992-02-10,923.6
1992-02-17,925.4
1992-02-24,928.6
1992-03-02,926.9
1992-03-09,933.1
1992-03-16,938.2
1992-03-23,937.9
1992-03-30,939.7
1992-04-06,941.0
1992-04-13,941.3
1992-04-20,945.7
1992-04-27,945.6
1992-05-04,946.5
1992-05-11,949.4
1992-05-18,949.8
1992-05-25,952.3
1992-06-01,953.5
1992-06-08,951.1
1992-06-15,955.6
1992-06-22,954.8
1992-06-29,955.2
1992-07-06,959.3
1992-07-13,960.4
1992-07-20,964.8
1992-07-27,966.8
1992-08-03,965.8
1992-08-10,972.7
1992-08-17,972.9
1992-08-24,974.2
1992-08-31,978.5
1992-09-07,979.3
1992-09-14,985.6
1992-09-21,990.1
1992-09-28,994.2
1992-10-05,997.6
1992-10-12,999.5
1992-10-19,1001.0
1992-10-26,1009.2
1992-11-02,1011.7
1992-11-09,1014.8
1992-11-16,1017.0
1992-11-23,1014.4
1992-11-30,1017.9
1992-12-07,1021.4
1992-12-14,1025.9
1992-12-21,1022.8
1992-12-28,1028.4
1993-01-04,1027.8
1993-01-11,1031.1
1993-01-18,1029.6
1993-01-25,1030.9
1993-02-01,1031.4
1993-02-08,1030.0
1993-02-15,1034.1
1993-02-22,1034.7
1993-03-01,1035.9
1993-03-08,1035.3
1993-03-15,1036.8
1993-03-22,1038.6
1993-03-29,1040.4
1993-04-05,1045.4
1993-04-12,1045.9
1993-04-19,1045.5
1993-04-26,1047.2
1993-05-03,1056.3
1993-05-10,1064.1
1993-05-17,1066.0
1993-05-24,1063.6
1993-05-31,1073.0
1993-06-07,1071.3
1993-06-14,1074.1
1993-06-21,1076.4
1993-06-28,1077.6
