date_,RRSFS
1992-01-01,118643.0
1992-02-01,118514.0
1992-03-01,117719.0
1992-04-01,118192.0
1992-05-01,118552.0
1992-06-01,118557.0
1992-07-01,119078.0
1992-08-01,119174.0
1992-09-01,120062.0
1992-10-01,120452.0
1992-11-01,120355.0
1992-12-01,121571.0
1993-01-01,122604.0
1993-02-01,121433.0
1993-03-01,120257.0
1993-04-01,122925.0
1993-05-01,123748.0
1993-06-01,123493.0
1993-07-01,125093.0
1993-08-01,124787.0
1993-09-01,125379.0
1993-10-01,125625.0
1993-11-01,126538.0
1993-12-01,127368.0
1994-01-01,126540.0
1994-02-01,128205.0
1994-03-01,130243.0
1994-04-01,130185.0
1994-05-01,129451.0
1994-06-01,130626.0
1994-07-01,130568.0
1994-08-01,131649.0
1994-09-01,132454.0
1994-10-01,133587.0
1994-11-01,133326.0
1994-12-01,133691.0
1995-01-01,133942.0
1995-02-01,131467.0
1995-03-01,132427.0
1995-04-01,132443.0
1995-05-01,133460.0
1995-06-01,134847.0
1995-07-01,134311.0
1995-08-01,135075.0
1995-09-01,135191.0
1995-10-01,134304.0
1995-11-01,135759.0
1995-12-01,136734.0
1996-01-01,134926.0
1996-02-01,136781.0
1996-03-01,137527.0
1996-04-01,137504.0
1996-05-01,138302.0
1996-06-01,137881.0
1996-07-01,137818.0
1996-08-01,137630.0
1996-09-01,139023.0
1996-10-01,139721.0
1996-11-01,139250.0
1996-12-01,139471.0
1997-01-01,140228.0
1997-02-01,141145.0
1997-03-01,141512.0
1997-04-01,140455.0
1997-05-01,139403.0
1997-06-01,141104.0
1997-07-01,142605.0
1997-08-01,142610.0
1997-09-01,142856.0
1997-10-01,142305.0
1997-11-01,142539.0
1997-12-01,142891.0
1998-01-01,142966.0
1998-02-01,143002.0
1998-03-01,143854.0
1998-04-01,145485.0
1998-05-01,145790.0
1998-06-01,146780.0
1998-07-01,145480.0
1998-08-01,144683.0
1998-09-01,145897.0
1998-10-01,147975.0
1998-11-01,148877.0
1998-12-01,149986.0
1999-01-01,149903.0
1999-02-01,151494.0
1999-03-01,152098.0
1999-04-01,152151.0
1999-05-01,153457.0
1999-06-01,153899.0
1999-07-01,154434.0
1999-08-01,155747.0
1999-09-01,155752.0
1999-10-01,155756.0
1999-11-01,157294.0
1999-12-01,159879.0
2000-01-01,158353.0
2000-02-01,160012.0
2000-03-01,160944.0
2000-04-01,158575.0
2000-05-01,158539.0
2000-06-01,158792.0
2000-07-01,157868.0
2000-08-01,158045.0
2000-09-01,159863.0
2000-10-01,159271.0
2000-11-01,158394.0
2000-12-01,157924.0
2001-01-01,158836.0
2001-02-01,158409.0
2001-03-01,156995.0
2001-04-01,159186.0
2001-05-01,158793.0
2001-06-01,157793.0
2001-07-01,157566.0
2001-08-01,158638.0
2001-09-01,155022.0
2001-10-01,165886.0
2001-11-01,161668.0
2001-12-01,159926.0
2002-01-01,159582.0
2002-02-01,160147.0
2002-03-01,159251.0
2002-04-01,161082.0
2002-05-01,158771.0
2002-06-01,160023.0
2002-07-01,161348.0
2002-08-01,162095.0
2002-09-01,159532.0
2002-10-01,159842.0
2002-11-01,160592.0
2002-12-01,161617.0
2003-01-01,161716.0
2003-02-01,158594.0
2003-03-01,161146.0
2003-04-01,161377.0
2003-05-01,162053.0
2003-06-01,163660.0
2003-07-01,164827.0
2003-08-01,166799.0
2003-09-01,165271.0
2003-10-01,164859.0
2003-11-01,166784.0
2003-12-01,165694.0
2004-01-01,165982.0
2004-02-01,166806.0
2004-03-01,169393.0
2004-04-01,167306.0
2004-05-01,169480.0
2004-06-01,166740.0
2004-07-01,168446.0
2004-08-01,168576.0
2004-09-01,171026.0
2004-10-01,171216.0
2004-11-01,171016.0
2004-12-01,173123.0
2005-01-01,171689.0
2005-02-01,173067.0
2005-03-01,172601.0
2005-04-01,173982.0
2005-05-01,172755.0
2005-06-01,177571.0
2005-07-01,177881.0
2005-08-01,174967.0
2005-09-01,172854.0
2005-10-01,172938.0
2005-11-01,175285.0
2005-12-01,175430.0
2006-01-01,179308.0
2006-02-01,177901.0
2006-03-01,178180.0
2006-04-01,178177.0
2006-05-01,177111.0
2006-06-01,177281.0
2006-07-01,176977.0
2006-08-01,176896.0
2006-09-01,176875.0
2006-10-01,177513.0
2006-11-01,177826.0
2006-12-01,179355.0
2007-01-01,178689.0
2007-02-01,178278.0
2007-03-01,178975.0
2007-04-01,177889.0
2007-05-01,179375.0
2007-06-01,177616.0
2007-07-01,177984.0
2007-08-01,178661.0
2007-09-01,178826.0
2007-10-01,179367.0
2007-11-01,179516.0
2007-12-01,177472.0
2008-01-01,176874.0
2008-02-01,174780.0
2008-03-01,174589.0
2008-04-01,174387.0
2008-05-01,174645.0
2008-06-01,173077.0
2008-07-01,171146.0
2008-08-01,170155.0
2008-09-01,167389.0
2008-10-01,162570.0
2008-11-01,159405.0
2008-12-01,157195.0
2009-01-01,158974.0
2009-02-01,157823.0
2009-03-01,155273.0
2009-04-01,155759.0
2009-05-01,156939.0
2009-06-01,158078.0
2009-07-01,158448.0
2009-08-01,160903.0
2009-09-01,156780.0
2009-10-01,157766.0
2009-11-01,158621.0
2009-12-01,159291.0
2010-01-01,159205.0
2010-02-01,159625.0
