date_,RRSFS
2010-03-01,163128.0
2010-04-01,164255.0
2010-05-01,163039.0
2010-06-01,162897.0
2010-07-01,162890.0
2010-08-01,163592.0
2010-09-01,164621.0
2010-10-01,166063.0
2010-11-01,167280.0
2010-12-01,167502.0
2011-01-01,168205.0
2011-02-01,168983.0
2011-03-01,169683.0
2011-04-01,169928.0
2011-05-01,169213.0
2011-06-01,170401.0
2011-07-01,169893.0
2011-08-01,169753.0
2011-09-01,170965.0
2011-10-01,172127.0
2011-11-01,172370.0
2011-12-01,172405.0
2012-01-01,173505.0
2012-02-01,175204.0
2012-03-01,175632.0
2012-04-01,174564.0
2012-05-01,174616.0
2012-06-01,173191.0
2012-07-01,173825.0
2012-08-01,174803.0
2012-09-01,175598.0
2012-10-01,175220.0
2012-11-01,176168.0
2012-12-01,177035.0
2013-01-01,177886.0
2013-02-01,178848.0
2013-03-01,178166.0
2013-04-01,178024.0
2013-05-01,178609.0
2013-06-01,178871.0
2013-07-01,179571.0
2013-08-01,178836.0
2013-09-01,178795.0
2013-10-01,179610.0
2013-11-01,179852.0
2013-12-01,180218.0
2014-01-01,177950.0
2014-02-01,180075.0
2014-03-01,182119.0
2014-04-01,183401.0
2014-05-01,183366.0
2014-06-01,183438.0
2014-07-01,183459.0
2014-08-01,185123.0
2014-09-01,184748.0
2014-10-01,185471.0
2014-11-01,186510.0
2014-12-01,185941.0
2015-01-01,185631.0
2015-02-01,184531.0
2015-03-01,187418.0
2015-04-01,187235.0
2015-05-01,188324.0
2015-06-01,187796.0
2015-07-01,188830.0
2015-08-01,188913.0
2015-09-01,189288.0
2015-10-01,188681.0
2015-11-01,189232.0
2015-12-01,190372.0
2016-01-01,188315.0
2016-02-01,189957.0
2016-03-01,189593.0
2016-04-01,190180.0
2016-05-01,190342.0
2016-06-01,191842.0
2016-07-01,191514.0
2016-08-01,191296.0
2016-09-01,192121.0
2016-10-01,192818.0
2016-11-01,192360.0
2016-12-01,193151.0
2017-01-01,194252.0
2017-02-01,193596.0
2017-03-01,194013.0
2017-04-01,194731.0
2017-05-01,194645.0
2017-06-01,194437.0
2017-07-01,195201.0
2017-08-01,194287.0
2017-09-01,197333.0
2017-10-01,198500.0
2017-11-01,199331.0
2017-12-01,198828.0
2018-01-01,197464.0
2018-02-01,197252.0
2018-03-01,198861.0
2018-04-01,199013.0
