date_,AMDMUS
2012-11-01,6.26
2012-12-01,6.31
2013-01-01,6.44
2013-02-01,6.43
2013-03-01,6.34
2013-04-01,6.42
2013-05-01,6.37
2013-06-01,6.48
2013-07-01,6.65
2013-08-01,6.5
2013-09-01,6.54
2013-10-01,6.56
2013-11-01,6.51
2013-12-01,6.74
2014-01-01,6.72
2014-02-01,6.6
2014-03-01,6.6
2014-04-01,6.71
2014-05-01,6.7
2014-06-01,6.66
2014-07-01,6.92
2014-08-01,6.93
2014-09-01,7.0
2014-10-01,7.03
2014-11-01,7.07
2014-12-01,6.94
2015-01-01,7.05
2015-02-01,7.12
2015-03-01,6.99
2015-04-01,7.04
2015-05-01,7.06
2015-06-01,7.05
2015-07-01,7.02
2015-08-01,6.99
2015-09-01,7.02
2015-10-01,7.07
2015-11-01,7.06
2015-12-01,7.34
2016-01-01,7.18
2016-02-01,7.25
2016-03-01,7.3
2016-04-01,7.26
2016-05-01,7.28
2016-06-01,7.21
2016-07-01,7.13
2016-08-01,7.2
2016-09-01,7.07
2016-10-01,7.17
2016-11-01,7.21
2016-12-01,7.06
2017-01-01,7.03
2017-02-01,6.95
2017-03-01,6.9
2017-04-01,6.96
2017-05-01,6.83
2017-06-01,6.94
2017-07-01,6.88
2017-08-01,6.86
2017-09-01,6.82
2017-10-01,6.83
2017-11-01,6.73
2017-12-01,6.74
2018-01-01,6.69
2018-02-01,6.68
2018-03-01,6.66
2018-04-01,6.73
