date_,ACOGNO
2013-04-01,203553.0
2013-05-01,204925.0
2013-06-01,203142.0
2013-07-01,208541.0
2013-08-01,208934.0
2013-09-01,208344.0
2013-10-01,208879.0
2013-11-01,212067.0
2013-12-01,211949.0
2014-01-01,211246.0
2014-02-01,214933.0
2014-03-01,212940.0
2014-04-01,214246.0
2014-05-01,212272.0
2014-06-01,211421.0
2014-07-01,210993.0
2014-08-01,209857.0
2014-09-01,208220.0
2014-10-01,205450.0
2014-11-01,201642.0
2014-12-01,195825.0
2015-01-01,186231.0
2015-02-01,190080.0
2015-03-01,193156.0
2015-04-01,192242.0
2015-05-01,192982.0
2015-06-01,193857.0
2015-07-01,192141.0
2015-08-01,188149.0
2015-09-01,187478.0
2015-10-01,185821.0
2015-11-01,184587.0
2015-12-01,181133.0
2016-01-01,178848.0
2016-02-01,176965.0
2016-03-01,179977.0
2016-04-01,181793.0
2016-05-01,181631.0
2016-06-01,184417.0
2016-07-01,182853.0
2016-08-01,183404.0
2016-09-01,184785.0
2016-10-01,186507.0
2016-11-01,186110.0
2016-12-01,194043.0
2017-01-01,194549.0
2017-02-01,194539.0
2017-03-01,194019.0
2017-04-01,195000.0
2017-05-01,194779.0
2017-06-01,194589.0
2017-07-01,195183.0
2017-08-01,197434.0
2017-09-01,199456.0
2017-10-01,202046.0
2017-11-01,204966.0
2017-12-01,206543.0
2018-01-01,209052.0
2018-02-01,209070.0
2018-03-01,210435.0
2018-04-01,208926.0
