date_,ACOGNO
1992-02-01,86445.0
1992-03-01,90386.0
1992-04-01,90535.0
1992-05-01,92615.0
1992-06-01,93632.0
1992-07-01,93275.0
1992-08-01,90941.0
1992-09-01,93406.0
1992-10-01,91483.0
1992-11-01,93794.0
1992-12-01,93373.0
1993-01-01,95293.0
1993-02-01,94405.0
1993-03-01,95172.0
1993-04-01,93573.0
1993-05-01,94469.0
1993-06-01,95110.0
1993-07-01,93385.0
1993-08-01,91616.0
1993-09-01,93600.0
1993-10-01,94499.0
1993-11-01,93428.0
1993-12-01,93682.0
1994-01-01,96560.0
1994-02-01,97115.0
1994-03-01,97371.0
1994-04-01,97351.0
1994-05-01,98381.0
1994-06-01,99162.0
1994-07-01,99408.0
1994-08-01,100797.0
1994-09-01,100311.0
1994-10-01,100535.0
1994-11-01,101929.0
1994-12-01,104732.0
1995-01-01,103833.0
1995-02-01,104676.0
1995-03-01,103783.0
1995-04-01,105380.0
1995-05-01,103973.0
1995-06-01,104477.0
1995-07-01,104534.0
1995-08-01,104451.0
1995-09-01,105832.0
1995-10-01,105168.0
1995-11-01,103926.0
1995-12-01,106961.0
1996-01-01,103775.0
1996-02-01,101651.0
1996-03-01,106300.0
1996-04-01,107977.0
1996-05-01,107898.0
1996-06-01,106932.0
1996-07-01,108503.0
1996-08-01,107775.0
1996-09-01,109377.0
1996-10-01,109918.0
1996-11-01,110865.0
1996-12-01,109568.0
1997-01-01,111828.0
1997-02-01,112582.0
1997-03-01,112010.0
1997-04-01,112112.0
1997-05-01,112586.0
1997-06-01,112826.0
1997-07-01,115290.0
1997-08-01,114324.0
1997-09-01,113331.0
1997-10-01,114683.0
1997-11-01,115973.0
1997-12-01,114476.0
1998-01-01,112751.0
1998-02-01,114508.0
1998-03-01,113594.0
1998-04-01,112401.0
1998-05-01,114093.0
1998-06-01,110209.0
1998-07-01,109076.0
1998-08-01,112993.0
1998-09-01,112746.0
1998-10-01,113795.0
1998-11-01,112727.0
1998-12-01,113627.0
1999-01-01,114899.0
1999-02-01,117580.0
1999-03-01,117056.0
1999-04-01,116417.0
1999-05-01,117624.0
1999-06-01,118268.0
1999-07-01,118039.0
1999-08-01,119453.0
1999-09-01,120616.0
1999-10-01,122864.0
1999-11-01,121288.0
1999-12-01,121308.0
2000-01-01,124292.0
2000-02-01,122716.0
2000-03-01,124989.0
2000-04-01,125393.0
2000-05-01,124266.0
2000-06-01,126141.0
2000-07-01,124970.0
2000-08-01,121739.0
2000-09-01,126958.0
2000-10-01,126050.0
2000-11-01,126063.0
2000-12-01,125546.0
2001-01-01,123752.0
2001-02-01,125177.0
2001-03-01,122787.0
2001-04-01,122438.0
2001-05-01,125831.0
2001-06-01,122050.0
2001-07-01,122140.0
2001-08-01,125821.0
2001-09-01,121145.0
2001-10-01,121457.0
2001-11-01,122121.0
2001-12-01,123183.0
2002-01-01,121845.0
2002-02-01,120537.0
2002-03-01,120881.0
2002-04-01,123011.0
2002-05-01,124271.0
2002-06-01,124445.0
2002-07-01,123225.0
2002-08-01,125545.0
2002-09-01,127589.0
2002-10-01,127965.0
2002-11-01,127541.0
2002-12-01,127806.0
2003-01-01,130507.0
2003-02-01,131523.0
2003-03-01,132366.0
2003-04-01,127543.0
2003-05-01,128405.0
2003-06-01,130978.0
2003-07-01,133834.0
2003-08-01,132285.0
2003-09-01,134740.0
2003-10-01,135274.0
2003-11-01,134390.0
2003-12-01,134288.0
2004-01-01,134952.0
2004-02-01,135369.0
2004-03-01,138843.0
2004-04-01,138246.0
2004-05-01,139313.0
2004-06-01,140618.0
2004-07-01,137468.0
2004-08-01,142283.0
2004-09-01,142801.0
2004-10-01,147224.0
2004-11-01,149950.0
2004-12-01,147796.0
2005-01-01,149249.0
2005-02-01,151711.0
2005-03-01,151989.0
2005-04-01,155101.0
2005-05-01,154250.0
2005-06-01,155448.0
2005-07-01,156060.0
2005-08-01,161977.0
2005-09-01,167183.0
2005-10-01,164756.0
2005-11-01,162611.0
2005-12-01,163540.0
2006-01-01,166954.0
2006-02-01,163385.0
2006-03-01,165650.0
2006-04-01,164785.0
2006-05-01,169593.0
2006-06-01,168046.0
2006-07-01,164760.0
2006-08-01,166282.0
2006-09-01,160278.0
2006-10-01,158824.0
2006-11-01,161209.0
2006-12-01,167874.0
2007-01-01,163246.0
2007-02-01,167571.0
2007-03-01,169874.0
2007-04-01,171102.0
2007-05-01,173793.0
2007-06-01,174745.0
2007-07-01,174094.0
2007-08-01,173483.0
2007-09-01,177380.0
2007-10-01,182733.0
2007-11-01,190385.0
2007-12-01,188919.0
2008-01-01,189666.0
2008-02-01,189951.0
2008-03-01,188976.0
2008-04-01,196660.0
2008-05-01,198836.0
2008-06-01,203151.0
2008-07-01,202372.0
2008-08-01,196048.0
2008-09-01,188727.0
2008-10-01,177318.0
2008-11-01,159873.0
2008-12-01,148872.0
2009-01-01,149814.0
2009-02-01,150006.0
2009-03-01,145275.0
2009-04-01,145948.0
2009-05-01,148073.0
2009-06-01,153730.0
2009-07-01,151642.0
2009-08-01,155487.0
2009-09-01,158041.0
2009-10-01,161975.0
2009-11-01,164393.0
2009-12-01,166173.0
2010-01-01,168338.0
2010-02-01,165506.0
2010-03-01,169844.0
2010-04-01,168854.0
2010-05-01,166890.0
2010-06-01,167706.0
2010-07-01,168392.0
2010-08-01,169850.0
2010-09-01,172716.0
2010-10-01,177360.0
2010-11-01,179863.0
2010-12-01,186505.0
2011-01-01,190676.0
2011-02-01,191995.0
2011-03-01,198978.0
2011-04-01,200171.0
2011-05-01,196332.0
2011-06-01,198296.0
2011-07-01,200023.0
2011-08-01,197341.0
2011-09-01,198545.0
2011-10-01,199931.0
2011-11-01,202293.0
2011-12-01,200817.0
2012-01-01,201483.0
2012-02-01,204036.0
2012-03-01,204224.0
2012-04-01,203155.0
2012-05-01,202032.0
2012-06-01,196290.0
2012-07-01,198650.0
2012-08-01,203310.0
2012-09-01,205228.0
2012-10-01,206314.0
2012-11-01,204505.0
2012-12-01,204717.0
2013-01-01,207092.0
2013-02-01,214212.0
2013-03-01,206743.0
