date_,DGORDER
1992-02-01,114535.0
1992-03-01,120025.0
1992-04-01,124470.0
1992-05-01,125822.0
1992-06-01,122834.0
1992-07-01,122590.0
1992-08-01,120411.0
1992-09-01,120711.0
1992-10-01,127392.0
1992-11-01,122374.0
1992-12-01,126080.0
1993-01-01,121637.0
1993-02-01,128854.0
1993-03-01,126762.0
1993-04-01,127395.0
1993-05-01,126529.0
1993-06-01,130212.0
1993-07-01,128111.0
1993-08-01,129378.0
1993-09-01,127233.0
1993-10-01,133168.0
1993-11-01,130391.0
1993-12-01,133565.0
1994-01-01,138498.0
1994-02-01,137141.0
1994-03-01,136548.0
1994-04-01,140336.0
1994-05-01,142630.0
1994-06-01,145063.0
1994-07-01,145013.0
1994-08-01,145884.0
1994-09-01,145487.0
1994-10-01,149547.0
1994-11-01,150038.0
1994-12-01,152489.0
1995-01-01,150459.0
1995-02-01,153856.0
1995-03-01,152888.0
1995-04-01,151401.0
1995-05-01,152838.0
1995-06-01,150051.0
1995-07-01,148915.0
1995-08-01,154372.0
1995-09-01,160175.0
1995-10-01,155473.0
1995-11-01,156146.0
1995-12-01,163279.0
1996-01-01,155806.0
1996-02-01,150773.0
1996-03-01,164976.0
1996-04-01,156830.0
1996-05-01,164502.0
1996-06-01,164599.0
1996-07-01,163588.0
1996-08-01,157310.0
1996-09-01,165442.0
1996-10-01,165266.0
1996-11-01,170783.0
1996-12-01,162332.0
1997-01-01,161827.0
1997-02-01,170221.0
1997-03-01,167568.0
1997-04-01,174054.0
1997-05-01,168586.0
1997-06-01,174828.0
1997-07-01,178860.0
1997-08-01,177302.0
1997-09-01,177835.0
1997-10-01,177801.0
1997-11-01,191187.0
1997-12-01,173770.0
1998-01-01,174288.0
1998-02-01,181270.0
1998-03-01,176886.0
1998-04-01,180915.0
1998-05-01,180634.0
1998-06-01,172189.0
1998-07-01,170459.0
1998-08-01,179033.0
1998-09-01,181422.0
1998-10-01,178527.0
1998-11-01,182400.0
1998-12-01,178424.0
1999-01-01,186527.0
1999-02-01,185546.0
1999-03-01,184689.0
1999-04-01,182993.0
1999-05-01,185963.0
1999-06-01,182590.0
1999-07-01,189083.0
1999-08-01,189414.0
1999-09-01,188910.0
1999-10-01,194547.0
1999-11-01,186597.0
1999-12-01,196344.0
2000-01-01,201360.0
2000-02-01,183911.0
2000-03-01,192130.0
2000-04-01,195044.0
2000-05-01,188606.0
2000-06-01,219745.0
2000-07-01,189265.0
2000-08-01,188730.0
2000-09-01,199947.0
2000-10-01,186158.0
2000-11-01,189392.0
2000-12-01,188659.0
2001-01-01,177056.0
2001-02-01,180276.0
2001-03-01,182209.0
2001-04-01,171850.0
2001-05-01,177749.0
2001-06-01,176350.0
2001-07-01,170129.0
2001-08-01,170484.0
2001-09-01,164123.0
2001-10-01,171530.0
2001-11-01,163811.0
2001-12-01,165304.0
2002-01-01,162677.0
2002-02-01,171841.0
2002-03-01,168977.0
2002-04-01,171428.0
2002-05-01,172069.0
2002-06-01,166421.0
2002-07-01,173723.0
2002-08-01,176728.0
2002-09-01,166978.0
2002-10-01,168743.0
2002-11-01,169790.0
2002-12-01,163735.0
2003-01-01,169696.0
2003-02-01,173699.0
2003-03-01,173451.0
2003-04-01,169697.0
2003-05-01,170878.0
2003-06-01,174062.0
2003-07-01,172118.0
2003-08-01,173335.0
2003-09-01,178071.0
2003-10-01,183414.0
2003-11-01,181835.0
2003-12-01,181803.0
2004-01-01,177762.0
2004-02-01,181298.0
2004-03-01,191592.0
2004-04-01,184036.0
2004-05-01,183806.0
2004-06-01,185761.0
2004-07-01,185341.0
2004-08-01,184338.0
2004-09-01,188516.0
2004-10-01,185276.0
2004-11-01,192224.0
2004-12-01,193661.0
2005-01-01,194661.0
2005-02-01,196411.0
2005-03-01,186687.0
2005-04-01,194938.0
2005-05-01,206262.0
2005-06-01,209657.0
2005-07-01,194330.0
2005-08-01,204929.0
2005-09-01,203847.0
2005-10-01,210368.0
2005-11-01,221178.0
2005-12-01,220933.0
2006-01-01,209185.0
2006-02-01,219562.0
2006-03-01,227294.0
2006-04-01,214379.0
2006-05-01,215341.0
2006-06-01,220450.0
2006-07-01,209607.0
2006-08-01,211167.0
2006-09-01,235898.0
2006-10-01,217042.0
2006-11-01,224474.0
2006-12-01,230357.0
2007-01-01,219729.0
2007-02-01,223319.0
2007-03-01,229516.0
2007-04-01,231261.0
2007-05-01,227483.0
2007-06-01,228963.0
2007-07-01,235004.0
2007-08-01,234619.0
2007-09-01,227736.0
2007-10-01,229499.0
2007-11-01,230732.0
2007-12-01,243635.0
2008-01-01,238685.0
2008-02-01,234706.0
2008-03-01,231964.0
2008-04-01,229249.0
2008-05-01,229007.0
2008-06-01,228758.0
2008-07-01,222311.0
2008-08-01,216189.0
2008-09-01,212577.0
2008-10-01,192514.0
2008-11-01,183384.0
2008-12-01,173980.0
2009-01-01,154428.0
2009-02-01,146911.0
2009-03-01,144223.0
2009-04-01,144279.0
2009-05-01,149944.0
2009-06-01,145632.0
2009-07-01,155538.0
2009-08-01,157289.0
2009-09-01,158339.0
2009-10-01,162950.0
2009-11-01,161489.0
2009-12-01,160461.0
2010-01-01,182717.0
2010-02-01,177528.0
2010-03-01,179308.0
2010-04-01,184970.0
2010-05-01,186143.0
2010-06-01,187261.0
2010-07-01,190467.0
2010-08-01,190754.0
2010-09-01,200981.0
2010-10-01,195369.0
2010-11-01,196200.0
2010-12-01,195255.0
2011-01-01,203924.0
2011-02-01,196057.0
2011-03-01,210005.0
2011-04-01,201508.0
2011-05-01,204988.0
2011-06-01,200671.0
2011-07-01,210021.0
2011-08-01,213471.0
2011-09-01,208153.0
2011-10-01,209670.0
2011-11-01,217280.0
2011-12-01,226612.0
2012-01-01,224138.0
2012-02-01,225611.0
2012-03-01,219693.0
2012-04-01,218573.0
2012-05-01,217304.0
2012-06-01,218405.0
2012-07-01,225570.0
2012-08-01,201041.0
2012-09-01,216919.0
2012-10-01,218840.0
2012-11-01,218004.0
2012-12-01,230841.0
2013-01-01,217524.0
2013-02-01,229875.0
2013-03-01,210365.0
2013-04-01,220884.0
2013-05-01,229745.0
2013-06-01,240742.0
2013-07-01,217144.0
2013-08-01,220311.0
2013-09-01,231570.0
2013-10-01,225578.0
2013-11-01,237523.0
2013-12-01,230895.0
2014-01-01,221764.0
2014-02-01,230566.0
2014-03-01,232196.0
2014-04-01,236171.0
2014-05-01,231129.0
2014-06-01,236601.0
2014-07-01,292098.0
2014-08-01,236723.0
2014-09-01,235914.0
2014-10-01,230403.0
2014-11-01,227376.0
2014-12-01,224898.0
2015-01-01,226809.0
2015-02-01,219658.0
2015-03-01,227404.0
2015-04-01,226658.0
2015-05-01,219158.0
2015-06-01,228982.0
2015-07-01,230149.0
2015-08-01,226234.0
2015-09-01,220707.0
2015-10-01,224077.0
2015-11-01,224638.0
2015-12-01,220455.0
2016-01-01,226403.0
2016-02-01,216390.0
2016-03-01,215735.0
2016-04-01,227879.0
2016-05-01,221175.0
2016-06-01,208697.0
2016-07-01,218481.0
2016-08-01,221428.0
2016-09-01,219373.0
2016-10-01,230068.0
2016-11-01,219741.0
2016-12-01,222513.0
2017-01-01,223020.0
2017-02-01,220970.0
2017-03-01,227324.0
2017-04-01,230479.0
2017-05-01,227750.0
2017-06-01,244004.0
2017-07-01,225984.0
2017-08-01,232140.0
2017-09-01,243008.0
2017-10-01,233017.0
2017-11-01,238226.0
2017-12-01,245875.0
2018-01-01,235508.0
2018-02-01,246039.0
2018-03-01,252760.0
2018-04-01,248617.0
