date_,DSPIC96
2016-03-01,12583.5
2016-04-01,12611.9
2016-05-01,12626.8
2016-06-01,12643.0
2016-07-01,12663.5
2016-08-01,12646.0
2016-09-01,12638.3
2016-10-01,12613.4
2016-11-01,12589.4
2016-12-01,12569.9
2017-01-01,12627.4
2017-02-01,12672.3
2017-03-01,12741.5
2017-04-01,12732.6
2017-05-01,12786.2
2017-06-01,12778.1
2017-07-01,12791.1
2017-08-01,12785.4
2017-09-01,12786.9
2017-10-01,12808.8
2017-11-01,12820.3
2017-12-01,12852.9
2018-01-01,12910.0
2018-02-01,12928.5
2018-03-01,12953.8
2018-04-01,12978.2
