date_,DSPIC96
1988-01-01,5963.8
1988-02-01,5996.9
1988-03-01,6020.3
1988-04-01,6041.6
1988-05-01,6050.4
1988-06-01,6073.7
1988-07-01,6098.4
1988-08-01,6116.7
1988-09-01,6125.6
1988-10-01,6159.5
1988-11-01,6162.0
1988-12-01,6196.4
1989-01-01,6224.8
1989-02-01,6244.7
1989-03-01,6276.6
1989-04-01,6244.0
1989-05-01,6215.1
1989-06-01,6232.2
1989-07-01,6256.9
1989-08-01,6272.6
1989-09-01,6289.0
1989-10-01,6318.1
1989-11-01,6325.1
1989-12-01,6326.7
1990-01-01,6366.2
1990-02-01,6382.0
1990-03-01,6381.0
1990-04-01,6419.2
1990-05-01,6405.2
1990-06-01,6419.4
1990-07-01,6442.5
1990-08-01,6404.7
1990-09-01,6404.0
1990-10-01,6353.2
1990-11-01,6354.9
1990-12-01,6390.3
1991-01-01,6369.3
1991-02-01,6379.4
1991-03-01,6390.6
1991-04-01,6412.7
1991-05-01,6412.9
1991-06-01,6445.9
1991-07-01,6432.8
1991-08-01,6445.0
1991-09-01,6463.7
1991-10-01,6474.0
1991-11-01,6486.7
1991-12-01,6546.2
1992-01-01,6616.3
1992-02-01,6649.9
1992-03-01,6659.6
1992-04-01,6679.4
1992-05-01,6712.9
1992-06-01,6741.7
1992-07-01,6736.8
1992-08-01,6759.6
1992-09-01,6725.8
1992-10-01,6682.5
1992-11-01,6685.9
1992-12-01,6922.8
1993-01-01,6793.6
1993-02-01,6817.1
1993-03-01,6794.6
1993-04-01,6825.9
1993-05-01,6814.5
1993-06-01,6800.8
1993-07-01,6817.1
1993-08-01,6826.9
1993-09-01,6809.3
1993-10-01,6772.6
1993-11-01,6791.6
1993-12-01,7023.2
1994-01-01,6892.9
1994-02-01,6908.4
1994-03-01,6930.4
1994-04-01,6932.6
1994-05-01,7016.1
1994-06-01,7002.8
1994-07-01,7008.8
1994-08-01,7019.1
1994-09-01,7048.2
1994-10-01,7113.4
1994-11-01,7111.1
1994-12-01,7144.2
1995-01-01,7174.2
1995-02-01,7190.3
1995-03-01,7208.3
1995-04-01,7153.1
1995-05-01,7223.3
1995-06-01,7245.4
1995-07-01,7259.9
1995-08-01,7265.8
1995-09-01,7289.4
1995-10-01,7297.7
1995-11-01,7317.5
1995-12-01,7326.1
1996-01-01,7337.5
1996-02-01,7394.6
1996-03-01,7419.1
1996-04-01,7376.4
1996-05-01,7470.8
1996-06-01,7515.5
1996-07-01,7495.6
1996-08-01,7513.8
1996-09-01,7531.8
1996-10-01,7530.8
1996-11-01,7550.6
1996-12-01,7577.2
1997-01-01,7602.1
1997-02-01,7624.6
1997-03-01,7659.5
1997-04-01,7664.7
1997-05-01,7696.3
1997-06-01,7720.6
1997-07-01,7751.8
1997-08-01,7791.7
1997-09-01,7813.0
1997-10-01,7849.7
1997-11-01,7898.4
1997-12-01,7942.9
1998-01-01,8015.0
1998-02-01,8067.0
1998-03-01,8114.0
1998-04-01,8140.5
1998-05-01,8173.6
1998-06-01,8219.9
1998-07-01,8234.8
1998-08-01,8261.8
1998-09-01,8287.3
1998-10-01,8301.1
1998-11-01,8335.0
1998-12-01,8349.5
1999-01-01,8381.7
1999-02-01,8409.0
1999-03-01,8418.6
1999-04-01,8402.6
1999-05-01,8420.1
1999-06-01,8448.9
1999-07-01,8458.4
1999-08-01,8494.4
1999-09-01,8488.3
1999-10-01,8541.3
1999-11-01,8601.7
1999-12-01,8672.2
2000-01-01,8744.8
2000-02-01,8778.7
2000-03-01,8800.6
2000-04-01,8836.9
2000-05-01,8869.8
2000-06-01,8890.2
2000-07-01,8937.1
2000-08-01,8985.2
2000-09-01,8985.5
2000-10-01,9000.0
2000-11-01,8994.0
2000-12-01,9004.6
2001-01-01,9054.5
2001-02-01,9073.0
2001-03-01,9101.3
2001-04-01,9080.8
2001-05-01,9061.7
2001-06-01,9062.4
2001-07-01,9198.4
2001-08-01,9359.0
2001-09-01,9290.6
2001-10-01,9145.7
2001-11-01,9167.5
2001-12-01,9190.4
2002-01-01,9385.7
2002-02-01,9395.5
2002-03-01,9391.3
2002-04-01,9417.9
2002-05-01,9438.5
2002-06-01,9459.0
2002-07-01,9429.7
2002-08-01,9422.0
2002-09-01,9427.1
2002-10-01,9448.3
2002-11-01,9469.5
2002-12-01,9497.0
2003-01-01,9500.8
2003-02-01,9481.3
2003-03-01,9514.9
2003-04-01,9576.2
2003-05-01,9650.6
2003-06-01,9683.2
2003-07-01,9792.1
2003-08-01,9852.8
2003-09-01,9739.0
2003-10-01,9780.6
2003-11-01,9852.4
2003-12-01,9869.1
2004-01-01,9879.9
2004-02-01,9900.7
2004-03-01,9936.6
2004-04-01,9969.2
2004-05-01,10020.2
2004-06-01,10020.5
2004-07-01,10036.4
2004-08-01,10065.8
2004-09-01,10066.0
2004-10-01,10075.0
2004-11-01,10051.2
2004-12-01,10418.5
2005-01-01,10070.4
2005-02-01,10074.5
2005-03-01,10105.9
2005-04-01,10125.6
2005-05-01,10167.5
2005-06-01,10196.8
2005-07-01,10222.5
2005-08-01,10238.0
2005-09-01,10185.6
2005-10-01,10234.6
2005-11-01,10304.9
2005-12-01,10359.6
2006-01-01,10498.6
2006-02-01,10543.4
2006-03-01,10562.7
2006-04-01,10549.1
2006-05-01,10539.8
2006-06-01,10563.3
2006-07-01,10560.4
2006-08-01,10558.6
2006-09-01,10623.5
2006-10-01,10684.6
2006-11-01,10722.4
2006-12-01,10750.4
2007-01-01,10759.9
2007-02-01,10788.0
2007-03-01,10820.6
2007-04-01,10818.3
2007-05-01,10813.0
2007-06-01,10800.7
2007-07-01,10825.1
2007-08-01,10831.6
2007-09-01,10859.2
2007-10-01,10839.4
2007-11-01,10828.9
2007-12-01,10874.9
2008-01-01,10906.2
2008-02-01,10925.4
2008-03-01,10948.4
2008-04-01,10906.9
2008-05-01,11431.6
2008-06-01,11129.8
2008-07-01,10954.3
2008-08-01,10866.7
2008-09-01,10878.9
2008-10-01,10933.0
2008-11-01,11008.9
2008-12-01,10969.2
2009-01-01,11015.1
2009-02-01,10916.0
2009-03-01,10916.6
2009-04-01,10976.4
2009-05-01,11147.2
2009-06-01,10958.0
2009-07-01,10919.5
2009-08-01,10892.4
2009-09-01,10907.1
2009-10-01,10862.6
2009-11-01,10888.0
2009-12-01,10925.7
2010-01-01,10906.7
2010-02-01,10887.5
2010-03-01,10912.0
2010-04-01,10993.2
2010-05-01,11067.0
2010-06-01,11071.3
2010-07-01,11080.5
2010-08-01,11114.7
2010-09-01,11101.2
2010-10-01,11128.3
2010-11-01,11160.8
2010-12-01,11239.0
2011-01-01,11297.4
2011-02-01,11329.0
2011-03-01,11312.4
2011-04-01,11282.8
2011-05-01,11277.1
2011-06-01,11325.8
2011-07-01,11371.2
2011-08-01,11363.5
2011-09-01,11330.8
2011-10-01,11340.8
2011-11-01,11329.3
2011-12-01,11416.0
2012-01-01,11495.2
2012-02-01,11559.0
2012-03-01,11589.0
2012-04-01,11620.0
2012-05-01,11632.1
2012-06-01,11657.8
2012-07-01,11626.4
2012-08-01,11605.6
2012-09-01,11660.2
2012-10-01,11729.1
2012-11-01,11884.7
2012-12-01,12194.8
2013-01-01,11435.5
2013-02-01,11432.8
2013-03-01,11445.1
2013-04-01,11449.8
2013-05-01,11517.9
2013-06-01,11545.5
2013-07-01,11538.9
2013-08-01,11573.5
2013-09-01,11602.8
2013-10-01,11572.2
2013-11-01,11602.3
2013-12-01,11615.4
2014-01-01,11649.3
2014-02-01,11721.3
2014-03-01,11790.7
2014-04-01,11824.2
2014-05-01,11867.7
2014-06-01,11922.6
2014-07-01,11943.1
2014-08-01,12006.1
2014-09-01,12036.7
2014-10-01,12105.2
2014-11-01,12172.0
2014-12-01,12231.6
2015-01-01,12271.0
2015-02-01,12315.9
2015-03-01,12306.1
2015-04-01,12378.7
2015-05-01,12423.1
2015-06-01,12440.8
2015-07-01,12439.0
2015-08-01,12470.2
2015-09-01,12503.2
2015-10-01,12556.0
2015-11-01,12556.8
2015-12-01,12570.8
2016-01-01,12563.9
2016-02-01,12555.7
