date_,PALLFNFINDEXQ
1992-01-01,52.8866
1992-04-01,55.499
1992-07-01,57.0885
1992-10-01,54.6768
1993-01-01,53.6048
1993-04-01,54.2617
1993-07-01,52.3372
1993-10-01,50.5241
1994-01-01,50.5268
1994-04-01,54.6787
1994-07-01,57.0487
1994-10-01,57.4361
1995-01-01,59.3485
1995-04-01,60.7242
1995-07-01,58.8956
1995-10-01,58.6431
1996-01-01,60.1722
1996-04-01,62.9448
1996-07-01,62.4046
1996-10-01,63.6451
1997-01-01,62.8486
1997-04-01,60.0171
1997-07-01,58.4115
1997-10-01,57.1345
1998-01-01,50.4126
1998-04-01,49.3912
1998-07-01,46.8297
1998-10-01,44.2664
1999-01-01,43.0845
1999-04-01,47.2704
1999-07-01,52.3502
1999-10-01,56.8316
2000-01-01,61.1476
2000-04-01,61.8181
2000-07-01,64.74
2000-10-01,64.724
2001-01-01,61.5614
2001-04-01,62.308
2001-07-01,59.042
2001-10-01,50.4561
2002-01-01,52.3953
2002-04-01,57.7858
2002-07-01,61.1178
2002-10-01,61.6841
2003-01-01,67.1877
2003-04-01,61.7222
2003-07-01,63.7643
2003-10-01,67.6113
2004-01-01,73.838
2004-04-01,79.1031
2004-07-01,83.2431
2004-10-01,85.1197
2005-01-01,90.9476
2005-04-01,96.718
2005-07-01,107.14
2005-10-01,105.195
2006-01-01,112.74
2006-04-01,125.581
2006-07-01,126.915
2006-10-01,118.137
2007-01-01,117.952
2007-04-01,130.606
2007-07-01,137.436
2007-10-01,154.214
2008-01-01,172.069
2008-04-01,203.193
2008-07-01,197.596
2008-10-01,117.539
2009-01-01,100.297
2009-04-01,115.75
2009-07-01,128.003
2009-10-01,138.756
2010-01-01,145.663
2010-04-01,149.411
2010-07-01,147.76
2010-10-01,166.443
2011-01-01,190.792
2011-04-01,202.125
2011-07-01,192.87
2011-10-01,184.495
2012-01-01,195.407
2012-04-01,184.275
2012-07-01,183.537
2012-10-01,182.001
2013-01-01,187.278
2013-04-01,179.185
2013-07-01,184.86
2013-10-01,181.906
2014-01-01,182.149
2014-04-01,184.717
2014-07-01,175.068
2014-10-01,145.663
2015-01-01,117.725
2015-04-01,122.433
2015-07-01,107.586
2015-10-01,97.2871
2016-01-01,86.5283
2016-04-01,101.396
2016-07-01,102.687
2016-10-01,109.707
2017-01-01,116.701
2017-04-01,110.219
