date_,CPILFESL
1988-01-01,120.9
1988-02-01,121.2
1988-03-01,121.7
1988-04-01,122.3
1988-05-01,122.7
1988-06-01,123.2
1988-07-01,123.6
1988-08-01,124.0
1988-09-01,124.7
1988-10-01,125.2
1988-11-01,125.6
1988-12-01,126.0
1989-01-01,126.5
1989-02-01,126.9
1989-03-01,127.4
1989-04-01,127.8
1989-05-01,128.3
1989-06-01,128.8
1989-07-01,129.2
1989-08-01,129.5
1989-09-01,129.9
1989-10-01,130.6
1989-11-01,131.1
1989-12-01,131.6
1990-01-01,132.1
1990-02-01,132.7
1990-03-01,133.5
1990-04-01,134.0
1990-05-01,134.4
1990-06-01,135.1
1990-07-01,135.8
1990-08-01,136.6
1990-09-01,137.1
1990-10-01,137.6
1990-11-01,138.0
1990-12-01,138.6
1991-01-01,139.5
1991-02-01,140.2
1991-03-01,140.5
1991-04-01,140.9
1991-05-01,141.3
1991-06-01,141.8
1991-07-01,142.3
1991-08-01,142.9
1991-09-01,143.4
1991-10-01,143.7
1991-11-01,144.2
1991-12-01,144.7
1992-01-01,145.1
1992-02-01,145.4
1992-03-01,145.9
1992-04-01,146.3
1992-05-01,146.8
1992-06-01,147.1
1992-07-01,147.6
1992-08-01,147.9
1992-09-01,148.1
1992-10-01,148.8
1992-11-01,149.2
1992-12-01,149.6
1993-01-01,150.1
1993-02-01,150.6
1993-03-01,150.8
1993-04-01,151.4
1993-05-01,151.8
1993-06-01,152.1
1993-07-01,152.3
1993-08-01,152.8
1993-09-01,152.9
1993-10-01,153.4
1993-11-01,153.9
1993-12-01,154.3
1994-01-01,154.5
1994-02-01,154.8
1994-03-01,155.3
1994-04-01,155.5
1994-05-01,155.9
1994-06-01,156.4
1994-07-01,156.7
1994-08-01,157.1
1994-09-01,157.5
1994-10-01,157.8
1994-11-01,158.2
1994-12-01,158.3
1995-01-01,159.0
1995-02-01,159.4
1995-03-01,159.9
1995-04-01,160.4
1995-05-01,160.7
1995-06-01,161.1
1995-07-01,161.4
1995-08-01,161.8
1995-09-01,162.2
1995-10-01,162.7
1995-11-01,163.0
1995-12-01,163.1
1996-01-01,163.7
1996-02-01,164.0
1996-03-01,164.4
1996-04-01,164.6
1996-05-01,165.0
1996-06-01,165.4
1996-07-01,165.7
1996-08-01,166.0
1996-09-01,166.5
1996-10-01,166.8
1996-11-01,167.2
1996-12-01,167.4
1997-01-01,167.8
1997-02-01,168.1
1997-03-01,168.4
1997-04-01,168.9
1997-05-01,169.2
1997-06-01,169.4
1997-07-01,169.7
1997-08-01,169.8
1997-09-01,170.2
1997-10-01,170.6
1997-11-01,170.8
1997-12-01,171.2
1998-01-01,171.6
1998-02-01,171.9
1998-03-01,172.2
1998-04-01,172.5
1998-05-01,172.9
1998-06-01,173.2
1998-07-01,173.5
1998-08-01,174.0
1998-09-01,174.2
1998-10-01,174.4
1998-11-01,174.8
1998-12-01,175.4
1999-01-01,175.6
1999-02-01,175.6
1999-03-01,175.7
1999-04-01,176.3
1999-05-01,176.5
1999-06-01,176.6
1999-07-01,177.1
1999-08-01,177.3
1999-09-01,177.8
1999-10-01,178.1
1999-11-01,178.4
1999-12-01,178.7
2000-01-01,179.3
2000-02-01,179.4
2000-03-01,180.0
2000-04-01,180.3
2000-05-01,180.7
2000-06-01,181.1
2000-07-01,181.5
2000-08-01,181.9
2000-09-01,182.3
2000-10-01,182.6
2000-11-01,183.1
2000-12-01,183.3
2001-01-01,183.9
2001-02-01,184.4
2001-03-01,184.7
2001-04-01,185.1
2001-05-01,185.3
2001-06-01,186.0
2001-07-01,186.4
2001-08-01,186.7
2001-09-01,187.1
2001-10-01,187.4
2001-11-01,188.1
2001-12-01,188.4
2002-01-01,188.7
2002-02-01,189.1
2002-03-01,189.2
2002-04-01,189.7
2002-05-01,190.0
2002-06-01,190.2
2002-07-01,190.5
2002-08-01,191.1
2002-09-01,191.3
2002-10-01,191.5
2002-11-01,191.9
2002-12-01,192.1
2003-01-01,192.4
2003-02-01,192.5
2003-03-01,192.5
2003-04-01,192.5
2003-05-01,192.9
2003-06-01,193.0
2003-07-01,193.4
2003-08-01,193.6
2003-09-01,193.7
2003-10-01,194.0
2003-11-01,194.0
2003-12-01,194.2
2004-01-01,194.6
2004-02-01,194.9
2004-03-01,195.5
2004-04-01,195.9
2004-05-01,196.2
2004-06-01,196.6
2004-07-01,196.8
2004-08-01,196.9
2004-09-01,197.5
2004-10-01,197.9
2004-11-01,198.3
2004-12-01,198.6
2005-01-01,199.0
2005-02-01,199.4
2005-03-01,200.1
2005-04-01,200.2
2005-05-01,200.5
2005-06-01,200.6
2005-07-01,200.9
2005-08-01,201.1
2005-09-01,201.3
2005-10-01,202.0
2005-11-01,202.5
2005-12-01,202.8
2006-01-01,203.2
2006-02-01,203.6
2006-03-01,204.3
2006-04-01,204.8
2006-05-01,205.4
2006-06-01,205.9
2006-07-01,206.3
2006-08-01,206.8
2006-09-01,207.2
2006-10-01,207.6
2006-11-01,207.8
2006-12-01,208.1
2007-01-01,208.6
2007-02-01,209.135
2007-03-01,209.418
2007-04-01,209.747
2007-05-01,210.058
2007-06-01,210.392
2007-07-01,210.773
2007-08-01,211.119
2007-09-01,211.554
2007-10-01,212.077
2007-11-01,212.66
2007-12-01,213.168
2008-01-01,213.771
2008-02-01,213.939
2008-03-01,214.42
2008-04-01,214.56
2008-05-01,214.936
2008-06-01,215.424
2008-07-01,215.965
2008-08-01,216.393
2008-09-01,216.713
2008-10-01,216.788
2008-11-01,216.947
2008-12-01,216.925
2009-01-01,217.346
2009-02-01,217.792
2009-03-01,218.253
2009-04-01,218.706
2009-05-01,218.904
2009-06-01,219.112
2009-07-01,219.263
2009-08-01,219.496
2009-09-01,219.92
2009-10-01,220.501
2009-11-01,220.666
2009-12-01,220.881
2010-01-01,220.633
2010-02-01,220.731
2010-03-01,220.783
2010-04-01,220.822
2010-05-01,220.962
2010-06-01,221.194
2010-07-01,221.363
2010-08-01,221.509
2010-09-01,221.711
2010-10-01,221.83
2010-11-01,222.149
2010-12-01,222.343
2011-01-01,222.803
2011-02-01,223.213
2011-03-01,223.454
2011-04-01,223.727
2011-05-01,224.175
2011-06-01,224.697
2011-07-01,225.218
2011-08-01,225.862
2011-09-01,226.118
2011-10-01,226.506
2011-11-01,226.899
2011-12-01,227.405
2012-01-01,227.877
2012-02-01,228.034
2012-03-01,228.478
2012-04-01,228.905
2012-05-01,229.224
2012-06-01,229.623
2012-07-01,229.97
2012-08-01,230.233
2012-09-01,230.659
2012-10-01,231.024
2012-11-01,231.33
2012-12-01,231.725
2013-01-01,232.229
2013-02-01,232.569
2013-03-01,232.794
2013-04-01,232.832
2013-05-01,232.996
2013-06-01,233.35
2013-07-01,233.88
2013-08-01,234.336
2013-09-01,234.7
2013-10-01,234.921
2013-11-01,235.359
2013-12-01,235.759
2014-01-01,235.983
2014-02-01,236.172
2014-03-01,236.622
2014-04-01,237.07
2014-05-01,237.541
2014-06-01,237.833
2014-07-01,238.232
2014-08-01,238.405
2014-09-01,238.777
2014-10-01,239.188
2014-11-01,239.412
2014-12-01,239.572
2015-01-01,239.845
2015-02-01,240.136
2015-03-01,240.749
2015-04-01,241.346
2015-05-01,241.644
2015-06-01,242.039
2015-07-01,242.543
2015-08-01,242.788
2015-09-01,243.306
2015-10-01,243.765
2015-11-01,244.272
2015-12-01,244.59
2016-01-01,245.134
2016-02-01,245.689
2016-03-01,246.004
2016-04-01,246.487
2016-05-01,247.031
2016-06-01,247.436
2016-07-01,247.812
2016-08-01,248.4
2016-09-01,248.716
2016-10-01,249.064
2016-11-01,249.519
2016-12-01,249.996
2017-01-01,250.661
2017-02-01,251.088
2017-03-01,250.904
2017-04-01,251.125
2017-05-01,251.331
2017-06-01,251.69
2017-07-01,252.05
2017-08-01,252.61
2017-09-01,252.943
2017-10-01,253.484
2017-11-01,253.791
2017-12-01,254.398
2018-01-01,255.287
2018-02-01,255.751
2018-03-01,256.2
2018-04-01,256.45
2018-05-01,256.889
