date_,IC4WSA
1988-01-02,317750.0
1988-01-09,319750.0
1988-01-16,329250.0
1988-01-23,334000.0
1988-01-30,340750.0
1988-02-06,339000.0
1988-02-13,326500.0
1988-02-20,324500.0
1988-02-27,318750.0
1988-03-05,316000.0
1988-03-12,314250.0
1988-03-19,309250.0
1988-03-26,305500.0
1988-04-02,306000.0
1988-04-09,308250.0
1988-04-16,310000.0
1988-04-23,312000.0
1988-04-30,313000.0
1988-05-07,312000.0
1988-05-14,312000.0
1988-05-21,313750.0
1988-05-28,313750.0
1988-06-04,314000.0
1988-06-11,311750.0
1988-06-18,309750.0
1988-06-25,308250.0
1988-07-02,307000.0
1988-07-09,306500.0
1988-07-16,307500.0
1988-07-23,319250.0
1988-07-30,325750.0
1988-08-06,329000.0
1988-08-13,328250.0
1988-08-20,318750.0
1988-08-27,314750.0
1988-09-03,312250.0
1988-09-10,310500.0
1988-09-17,308000.0
1988-09-24,304500.0
1988-10-01,301000.0
1988-10-08,297750.0
1988-10-15,294500.0
1988-10-22,290750.0
1988-10-29,291250.0
1988-11-05,289500.0
1988-11-12,287250.0
1988-11-19,289250.0
1988-11-26,290500.0
1988-12-03,293750.0
1988-12-10,294000.0
1988-12-17,293750.0
1988-12-24,290500.0
1988-12-31,292000.0
1989-01-07,295500.0
1989-01-14,293000.0
1989-01-21,292000.0
1989-01-28,289750.0
1989-02-04,287000.0
1989-02-11,296750.0
1989-02-18,302500.0
1989-02-25,303750.0
1989-03-04,313000.0
1989-03-11,313750.0
1989-03-18,317250.0
1989-03-25,322000.0
1989-04-01,321500.0
1989-04-08,318750.0
1989-04-15,315750.0
1989-04-22,312000.0
1989-04-29,309000.0
1989-05-06,310500.0
1989-05-13,316750.0
1989-05-20,321000.0
1989-05-27,324500.0
1989-06-03,325750.0
1989-06-10,325750.0
1989-06-17,329750.0
1989-06-24,333000.0
1989-07-01,339000.0
1989-07-08,341250.0
1989-07-15,344250.0
1989-07-22,342750.0
1989-07-29,339750.0
1989-08-05,339000.0
1989-08-12,337000.0
1989-08-19,335750.0
1989-08-26,334500.0
1989-09-02,332250.0
1989-09-09,331000.0
1989-09-16,332750.0
1989-09-23,333250.0
1989-09-30,337750.0
1989-10-07,355500.0
1989-10-14,358250.0
1989-10-21,361500.0
1989-10-28,363250.0
1989-11-04,344750.0
1989-11-11,342500.0
1989-11-18,339750.0
1989-11-25,336750.0
1989-12-02,339500.0
1989-12-09,340000.0
1989-12-16,344750.0
1989-12-23,354500.0
1989-12-30,358000.0
1990-01-06,362250.0
1990-01-13,365750.0
1990-01-20,364250.0
1990-01-27,361000.0
