date_,A229RX0
1988-01-01,24436.0
1988-02-01,24557.0
1988-03-01,24637.0
1988-04-01,24707.0
1988-05-01,24725.0
1988-06-01,24799.0
1988-07-01,24878.0
1988-08-01,24930.0
1988-09-01,24943.0
1988-10-01,25060.0
1988-11-01,25052.0
1988-12-01,25174.0
1989-01-01,25273.0
1989-02-01,25338.0
1989-03-01,25450.0
1989-04-01,25298.0
1989-05-01,25161.0
1989-06-01,25208.0
1989-07-01,25285.0
1989-08-01,25324.0
1989-09-01,25365.0
1989-10-01,25458.0
1989-11-01,25465.0
1989-12-01,25453.0
1990-01-01,25593.0
1990-02-01,25639.0
1990-03-01,25611.0
1990-04-01,25735.0
1990-05-01,25651.0
1990-06-01,25679.0
1990-07-01,25741.0
1990-08-01,25558.0
1990-09-01,25524.0
1990-10-01,25291.0
1990-11-01,25269.0
1990-12-01,25383.0
1991-01-01,25274.0
1991-02-01,25290.0
1991-03-01,25309.0
1991-04-01,25369.0
1991-05-01,25341.0
1991-06-01,25443.0
1991-07-01,25361.0
1991-08-01,25377.0
1991-09-01,25420.0
1991-10-01,25431.0
1991-11-01,25454.0
1991-12-01,25662.0
1992-01-01,25913.0
1992-02-01,26019.0
1992-03-01,26029.0
1992-04-01,26077.0
1992-05-01,26178.0
1992-06-01,26259.0
1992-07-01,26207.0
1992-08-01,26262.0
1992-09-01,26099.0
1992-10-01,25901.0
1992-11-01,25886.0
1992-12-01,26776.0
1993-01-01,26250.0
1993-02-01,26317.0
1993-03-01,26205.0
1993-04-01,26299.0
1993-05-01,26227.0
1993-06-01,26146.0
1993-07-01,26178.0
1993-08-01,26185.0
1993-09-01,26088.0
1993-10-01,25919.0
1993-11-01,25967.0
1993-12-01,26827.0
1994-01-01,26307.0
1994-02-01,26344.0
1994-03-01,26403.0
1994-04-01,26384.0
1994-05-01,26676.0
1994-06-01,26597.0
1994-07-01,26591.0
1994-08-01,26600.0
1994-09-01,26682.0
1994-10-01,26901.0
1994-11-01,26867.0
1994-12-01,26967.0
1995-01-01,27056.0
1995-02-01,27094.0
1995-03-01,27137.0
1995-04-01,26904.0
1995-05-01,27142.0
1995-06-01,27196.0
1995-07-01,27221.0
1995-08-01,27213.0
1995-09-01,27270.0
