date_,A229RX0
1995-10-01,27273.0
1995-11-01,27321.0
1995-12-01,27331.0
1996-01-01,27353.0
1996-02-01,27542.0
1996-03-01,27608.0
1996-04-01,27424.0
1996-05-01,27747.0
1996-06-01,27884.0
1996-07-01,27780.0
1996-08-01,27816.0
1996-09-01,27851.0
1996-10-01,27817.0
1996-11-01,27862.0
1996-12-01,27935.0
1997-01-01,28003.0
1997-02-01,28062.0
1997-03-01,28165.0
1997-04-01,28157.0
1997-05-01,28245.0
1997-06-01,28305.0
1997-07-01,28387.0
1997-08-01,28500.0
1997-09-01,28546.0
1997-10-01,28650.0
1997-11-01,28800.0
1997-12-01,28936.0
1998-01-01,29174.0
1998-02-01,29341.0
1998-03-01,29487.0
1998-04-01,29555.0
1998-05-01,29647.0
1998-06-01,29785.0
1998-07-01,29808.0
1998-08-01,29873.0
1998-09-01,29933.0
1998-10-01,29953.0
1998-11-01,30047.0
1998-12-01,30071.0
1999-01-01,30162.0
1999-02-01,30238.0
1999-03-01,30248.0
1999-04-01,30162.0
1999-05-01,30195.0
1999-06-01,30267.0
1999-07-01,30268.0
1999-08-01,30364.0
1999-09-01,30310.0
1999-10-01,30468.0
1999-11-01,30655.0
1999-12-01,30879.0
2000-01-01,31111.0
2000-02-01,31208.0
2000-03-01,31260.0
2000-04-01,31363.0
2000-05-01,31454.0
2000-06-01,31498.0
2000-07-01,31635.0
2000-08-01,31776.0
2000-09-01,31747.0
2000-10-01,31770.0
2000-11-01,31722.0
2000-12-01,31735.0
2001-01-01,31886.0
2001-02-01,31928.0
2001-03-01,32004.0
2001-04-01,31907.0
2001-05-01,31814.0
2001-06-01,31789.0
2001-07-01,32239.0
2001-08-01,32771.0
2001-09-01,32502.0
2001-10-01,31968.0
2001-11-01,32019.0
2001-12-01,32074.0
2002-01-01,32733.0
2002-02-01,32744.0
2002-03-01,32707.0
2002-04-01,32776.0
2002-05-01,32821.0
2002-06-01,32866.0
2002-07-01,32736.0
2002-08-01,32681.0
2002-09-01,32670.0
2002-10-01,32716.0
2002-11-01,32765.0
2002-12-01,32837.0
2003-01-01,32828.0
2003-02-01,32739.0
2003-03-01,32832.0
2003-04-01,33019.0
2003-05-01,33249.0
2003-06-01,33335.0
2003-07-01,33682.0
2003-08-01,33861.0
2003-09-01,33442.0
2003-10-01,33557.0
2003-11-01,33778.0
2003-12-01,33814.0
2004-01-01,33830.0
2004-02-01,33880.0
2004-03-01,33979.0
2004-04-01,34065.0
2004-05-01,34214.0
2004-06-01,34188.0
2004-07-01,34213.0
2004-08-01,34284.0
2004-09-01,34255.0
2004-10-01,34257.0
2004-11-01,34149.0
2004-12-01,35370.0
2005-01-01,34164.0
2005-02-01,34156.0
2005-03-01,34240.0
2005-04-01,34282.0
2005-05-01,34398.0
2005-06-01,34469.0
2005-07-01,34527.0
2005-08-01,34548.0
2005-09-01,34341.0
2005-10-01,34477.0
2005-11-01,34686.0
2005-12-01,34844.0
2006-01-01,35286.0
2006-02-01,35412.0
2006-03-01,35451.0
2006-04-01,35379.0
2006-05-01,35321.0
2006-06-01,35370.0
2006-07-01,35330.0
2006-08-01,35292.0
2006-09-01,35476.0
2006-10-01,35650.0
2006-11-01,35747.0
2006-12-01,35813.0
2007-01-01,35819.0
2007-02-01,35887.0
2007-03-01,35970.0
2007-04-01,35936.0
2007-05-01,35891.0
2007-06-01,35820.0
2007-07-01,35870.0
2007-08-01,35859.0
2007-09-01,35918.0
2007-10-01,35822.0
2007-11-01,35759.0
2007-12-01,35883.0
2008-01-01,35961.0
2008-02-01,35999.0
2008-03-01,36049.0
2008-04-01,35887.0
2008-05-01,37585.0
2008-06-01,36564.0
2008-07-01,35958.0
2008-08-01,35640.0
2008-09-01,35650.0
2008-10-01,35799.0
2008-11-01,36022.0
2008-12-01,35867.0
2009-01-01,35993.0
2009-02-01,35646.0
2009-03-01,35624.0
2009-04-01,35795.0
2009-05-01,36326.0
2009-06-01,35683.0
2009-07-01,35531.0
2009-08-01,35415.0
2009-09-01,35433.0
2009-10-01,35260.0
2009-11-01,35317.0
2009-12-01,35416.0
2010-01-01,35331.0
2010-02-01,35246.0
2010-03-01,35303.0
2010-04-01,35544.0
2010-05-01,35762.0
2010-06-01,35753.0
2010-07-01,35759.0
2010-08-01,35844.0
2010-09-01,35774.0
2010-10-01,35837.0
2010-11-01,35919.0
2010-12-01,36149.0
2011-01-01,36317.0
2011-02-01,36400.0
2011-03-01,36328.0
2011-04-01,36212.0
2011-05-01,36173.0
2011-06-01,36306.0
2011-07-01,36427.0
2011-08-01,36376.0
2011-09-01,36246.0
2011-10-01,36254.0
2011-11-01,36195.0
2011-12-01,36451.0
2012-01-01,36684.0
2012-02-01,36869.0
2012-03-01,36945.0
2012-04-01,37023.0
2012-05-01,37041.0
2012-06-01,37100.0
2012-07-01,36975.0
2012-08-01,36883.0
2012-09-01,37030.0
2012-10-01,37225.0
2012-11-01,37695.0
2012-12-01,38658.0
2013-01-01,36233.0
2013-02-01,36209.0
2013-03-01,36230.0
2013-04-01,36226.0
2013-05-01,36421.0
2013-06-01,36486.0
2013-07-01,36441.0
2013-08-01,36523.0
2013-09-01,36590.0
2013-10-01,36469.0
2013-11-01,36541.0
2013-12-01,36560.0
2014-01-01,36646.0
2014-02-01,36854.0
2014-03-01,37052.0
2014-04-01,37136.0
2014-05-01,37250.0
2014-06-01,37399.0
2014-07-01,37437.0
2014-08-01,37607.0
2014-09-01,37675.0
2014-10-01,37863.0
2014-11-01,38048.0
2014-12-01,38212.0
2015-01-01,38314.0
2015-02-01,38436.0
2015-03-01,38385.0
2015-04-01,38590.0
2015-05-01,38705.0
2015-06-01,38736.0
2015-07-01,38704.0
2015-08-01,38773.0
2015-09-01,38848.0
2015-10-01,38985.0
2015-11-01,38964.0
2015-12-01,38984.0
2016-01-01,38941.0
2016-02-01,38897.0
2016-03-01,38964.0
2016-04-01,39030.0
2016-05-01,39053.0
2016-06-01,39079.0
2016-07-01,39117.0
2016-08-01,39036.0
2016-09-01,38985.0
2016-10-01,38882.0
2016-11-01,38785.0
2016-12-01,38702.0
2017-01-01,38859.0
2017-02-01,38979.0
2017-03-01,39172.0
2017-04-01,39123.0
2017-05-01,39265.0
2017-06-01,39216.0
2017-07-01,39230.0
2017-08-01,39186.0
2017-09-01,39163.0
2017-10-01,39205.0
2017-11-01,39217.0
2017-12-01,39294.0
2018-01-01,39448.0
2018-02-01,39486.0
2018-03-01,39543.0
2018-04-01,39596.0
