date_,GDPC1
1988-01-01,8339.32
1988-04-01,8449.51
1988-07-01,8498.28
1988-10-01,8610.85
1989-01-01,8697.71
1989-04-01,8766.11
1989-07-01,8831.54
1989-10-01,8850.23
1990-01-01,8947.13
1990-04-01,8981.73
1990-07-01,8983.95
1990-10-01,8907.36
1991-01-01,8865.56
1991-04-01,8934.37
1991-07-01,8977.25
1991-10-01,9016.44
1992-01-01,9122.95
1992-04-01,9223.54
1992-07-01,9313.21
1992-10-01,9406.53
1993-01-01,9424.07
1993-04-01,9480.11
1993-07-01,9526.34
1993-10-01,9653.51
1994-01-01,9748.16
1994-04-01,9881.38
1994-07-01,9939.66
1994-10-01,10052.5
1995-01-01,10086.9
1995-04-01,10122.1
1995-07-01,10208.8
1995-10-01,10281.2
1996-01-01,10348.7
1996-04-01,10529.4
1996-07-01,10626.8
1996-10-01,10739.1
1997-01-01,10820.9
1997-04-01,10984.2
1997-07-01,11124.0
1997-10-01,11210.3
1998-01-01,11321.2
1998-04-01,11431.0
1998-07-01,11580.6
1998-10-01,11770.7
1999-01-01,11864.7
1999-04-01,11962.5
1999-07-01,12113.1
1999-10-01,12323.3
2000-01-01,12359.1
2000-04-01,12592.5
2000-07-01,12607.7
2000-10-01,12679.3
2001-01-01,12643.3
2001-04-01,12710.3
2001-07-01,12670.1
2001-10-01,12705.3
2002-01-01,12822.3
2002-04-01,12893.0
2002-07-01,12955.8
2002-10-01,12964.0
2003-01-01,13031.2
2003-04-01,13152.1
2003-07-01,13372.4
2003-10-01,13528.7
2004-01-01,13606.5
2004-04-01,13706.2
2004-07-01,13830.8
2004-10-01,13950.4
2005-01-01,14099.1
2005-04-01,14172.7
2005-07-01,14291.8
2005-10-01,14373.4
2006-01-01,14546.1
2006-04-01,14589.6
2006-07-01,14602.6
2006-10-01,14716.9
2007-01-01,14726.0
2007-04-01,14838.7
2007-07-01,14938.5
2007-10-01,14991.8
2008-01-01,14889.5
2008-04-01,14963.4
2008-07-01,14891.6
2008-10-01,14577.0
2009-01-01,14375.0
2009-04-01,14355.6
2009-07-01,14402.5
2009-10-01,14541.9
2010-01-01,14604.8
2010-04-01,14745.9
2010-07-01,14845.5
2010-10-01,14939.0
2011-01-01,14881.3
2011-04-01,14989.6
2011-07-01,15021.1
2011-10-01,15190.3
2012-01-01,15291.0
2012-04-01,15362.4
2012-07-01,15380.8
2012-10-01,15384.3
2013-01-01,15491.9
2013-04-01,15521.6
2013-07-01,15641.3
2013-10-01,15793.9
2014-01-01,15757.6
2014-04-01,15935.8
2014-07-01,16139.5
2014-10-01,16220.2
2015-01-01,16350.0
2015-04-01,16460.9
2015-07-01,16527.6
2015-10-01,16547.6
2016-01-01,16571.6
2016-04-01,16663.5
2016-07-01,16778.1
2016-10-01,16851.4
2017-01-01,16903.2
2017-04-01,17031.1
2017-07-01,17163.9
2017-10-01,17286.5
2018-01-01,17379.7
