date_,SPCS20RSA
2000-01-01,100.59
2000-02-01,101.692
2000-03-01,102.784
2000-04-01,103.996
2000-05-01,105.253
2000-06-01,106.403
2000-07-01,107.134
2000-08-01,107.861
2000-09-01,108.61
2000-10-01,109.487
2000-11-01,110.572
2000-12-01,111.801
2001-01-01,113.054
2001-02-01,114.127
2001-03-01,115.085
2001-04-01,115.841
2001-05-01,116.301
2001-06-01,116.9
2001-07-01,117.497
2001-08-01,118.245
2001-09-01,119.028
2001-10-01,119.694
2001-11-01,120.275
2001-12-01,120.672
2002-01-01,121.36
2002-02-01,122.191
2002-03-01,123.322
2002-04-01,124.508
2002-05-01,125.924
2002-06-01,127.388
2002-07-01,128.88
2002-08-01,130.307
2002-09-01,131.527
2002-10-01,132.847
2002-11-01,134.097
2002-12-01,135.405
2003-01-01,136.467
2003-02-01,137.453
2003-03-01,138.379
2003-04-01,139.25
2003-05-01,140.147
2003-06-01,140.92
2003-07-01,142.119
2003-08-01,143.552
2003-09-01,145.261
2003-10-01,146.99
2003-11-01,148.823
2003-12-01,150.759
2004-01-01,152.625
2004-02-01,154.537
2004-03-01,156.919
2004-04-01,159.36
2004-05-01,161.751
2004-06-01,164.305
2004-07-01,166.387
2004-08-01,168.072
2004-09-01,169.654
2004-10-01,171.297
2004-11-01,173.086
2004-12-01,175.086
2005-01-01,177.546
2005-02-01,180.25
2005-03-01,183.189
2005-04-01,185.515
2005-05-01,187.55
2005-06-01,189.53
2005-07-01,191.38
2005-08-01,193.368
2005-09-01,195.62
2005-10-01,197.883
2005-11-01,200.147
2005-12-01,202.176
2006-01-01,203.771
2006-02-01,205.363
2006-03-01,206.15
2006-04-01,206.656
2006-05-01,206.51
2006-06-01,205.807
2006-07-01,204.936
2006-08-01,204.115
2006-09-01,203.585
2006-10-01,203.548
2006-11-01,203.65
2006-12-01,203.474
2007-01-01,203.742
2007-02-01,204.07
2007-03-01,203.956
2007-04-01,202.88
2007-05-01,201.033
2007-06-01,198.846
2007-07-01,196.844
2007-08-01,194.898
2007-09-01,193.123
2007-10-01,190.977
2007-11-01,187.901
2007-12-01,185.098
2008-01-01,182.139
2008-02-01,178.55
2008-03-01,175.126
2008-04-01,172.441
2008-05-01,169.56
2008-06-01,167.176
2008-07-01,164.398
2008-08-01,162.122
2008-09-01,159.111
2008-10-01,156.293
2008-11-01,153.654
2008-12-01,150.726
2009-01-01,147.716
2009-02-01,145.614
2009-03-01,142.733
2009-04-01,141.559
2009-05-01,140.84
2009-06-01,141.29
2009-07-01,142.248
2009-08-01,143.481
2009-09-01,144.068
2009-10-01,144.791
2009-11-01,145.468
2009-12-01,146.244
2010-01-01,146.929
2010-02-01,146.923
2010-03-01,146.245
2010-04-01,147.061
2010-05-01,147.268
2010-06-01,147.039
2010-07-01,146.4
2010-08-01,145.545
2010-09-01,144.547
2010-10-01,143.62
2010-11-01,143.275
2010-12-01,142.961
2011-01-01,142.584
2011-02-01,142.064
2011-03-01,140.443
2011-04-01,140.693
2011-05-01,140.426
2011-06-01,140.359
2011-07-01,140.313
2011-08-01,140.042
2011-09-01,139.41
2011-10-01,138.65
2011-11-01,137.935
2011-12-01,137.365
2012-01-01,137.139
2012-02-01,137.037
2012-03-01,136.651
2012-04-01,137.891
2012-05-01,139.459
2012-06-01,141.018
2012-07-01,141.947
2012-08-01,142.906
2012-09-01,143.809
2012-10-01,144.792
2012-11-01,145.8
2012-12-01,147.101
2013-01-01,148.329
2013-02-01,149.634
2013-03-01,151.017
2013-04-01,153.912
2013-05-01,156.031
2013-06-01,157.844
2013-07-01,159.55
2013-08-01,161.42
2013-09-01,163.262
2013-10-01,164.782
2013-11-01,165.994
2013-12-01,166.904
2014-01-01,167.865
2014-02-01,168.586
2014-03-01,169.29
2014-04-01,170.053
2014-05-01,170.292
2014-06-01,170.57
2014-07-01,170.498
2014-08-01,170.681
2014-09-01,171.444
2014-10-01,172.358
2014-11-01,173.131
2014-12-01,174.2
2015-01-01,175.093
2015-02-01,176.457
2015-03-01,177.18
2015-04-01,177.967
2015-05-01,178.401
2015-06-01,178.894
2015-07-01,179.088
2015-08-01,179.5
2015-09-01,180.827
2015-10-01,181.827
2015-11-01,182.943
2015-12-01,183.859
2016-01-01,184.791
2016-02-01,185.608
2016-03-01,186.484
2016-04-01,187.372
2016-05-01,187.632
2016-06-01,188.126
2016-07-01,188.239
2016-08-01,188.761
2016-09-01,190.163
2016-10-01,191.085
2016-11-01,192.376
2016-12-01,193.796
2017-01-01,195.193
2017-02-01,196.236
2017-03-01,197.215
2017-04-01,197.961
2017-05-01,198.334
2017-06-01,198.744
2017-07-01,199.135
2017-08-01,199.755
2017-09-01,201.884
2017-10-01,203.176
2017-11-01,204.596
2017-12-01,205.97
2018-01-01,207.627
2018-02-01,209.384
2018-03-01,210.485
