date_,PAYEMS
1988-01-01,103758.0
1988-02-01,104211.0
1988-03-01,104487.0
1988-04-01,104732.0
1988-05-01,104961.0
1988-06-01,105324.0
1988-07-01,105546.0
1988-08-01,105670.0
1988-09-01,106009.0
1988-10-01,106277.0
1988-11-01,106616.0
1988-12-01,106906.0
1989-01-01,107168.0
1989-02-01,107426.0
1989-03-01,107619.0
1989-04-01,107792.0
1989-05-01,107910.0
1989-06-01,108026.0
1989-07-01,108066.0
1989-08-01,108115.0
1989-09-01,108365.0
1989-10-01,108476.0
1989-11-01,108753.0
1989-12-01,108849.0
1990-01-01,109184.0
1990-02-01,109432.0
1990-03-01,109647.0
1990-04-01,109687.0
1990-05-01,109840.0
1990-06-01,109865.0
1990-07-01,109829.0
1990-08-01,109619.0
1990-09-01,109517.0
1990-10-01,109370.0
1990-11-01,109220.0
1990-12-01,109163.0
1991-01-01,109042.0
1991-02-01,108735.0
1991-03-01,108577.0
1991-04-01,108365.0
1991-05-01,108249.0
1991-06-01,108337.0
1991-07-01,108297.0
1991-08-01,108314.0
1991-09-01,108334.0
1991-10-01,108359.0
1991-11-01,108303.0
1991-12-01,108325.0
1992-01-01,108374.0
1992-02-01,108317.0
1992-03-01,108369.0
1992-04-01,108526.0
1992-05-01,108653.0
1992-06-01,108718.0
1992-07-01,108792.0
1992-08-01,108927.0
1992-09-01,108959.0
1992-10-01,109145.0
1992-11-01,109277.0
1992-12-01,109494.0
1993-01-01,109804.0
1993-02-01,110051.0
1993-03-01,109997.0
1993-04-01,110304.0
1993-05-01,110573.0
1993-06-01,110749.0
1993-07-01,111055.0
1993-08-01,111210.0
1993-09-01,111455.0
1993-10-01,111741.0
1993-11-01,111991.0
1993-12-01,112314.0
1994-01-01,112590.0
1994-02-01,112788.0
1994-03-01,113249.0
1994-04-01,113596.0
1994-05-01,113929.0
1994-06-01,114248.0
1994-07-01,114618.0
1994-08-01,114900.0
1994-09-01,115260.0
1994-10-01,115469.0
1994-11-01,115876.0
1994-12-01,116168.0
1995-01-01,116495.0
1995-02-01,116693.0
1995-03-01,116912.0
1995-04-01,117074.0
1995-05-01,117057.0
1995-06-01,117297.0
1995-07-01,117389.0
1995-08-01,117641.0
1995-09-01,117893.0
1995-10-01,118045.0
1995-11-01,118191.0
1995-12-01,118323.0
1996-01-01,118310.0
1996-02-01,118735.0
1996-03-01,119000.0
1996-04-01,119165.0
1996-05-01,119491.0
1996-06-01,119772.0
1996-07-01,120023.0
1996-08-01,120208.0
1996-09-01,120421.0
1996-10-01,120682.0
1996-11-01,120977.0
1996-12-01,121148.0
1997-01-01,121379.0
1997-02-01,121687.0
1997-03-01,121999.0
1997-04-01,122291.0
1997-05-01,122554.0
1997-06-01,122818.0
1997-07-01,123121.0
1997-08-01,123099.0
1997-09-01,123598.0
1997-10-01,123942.0
1997-11-01,124241.0
1997-12-01,124559.0
1998-01-01,124831.0
1998-02-01,125029.0
1998-03-01,125174.0
1998-04-01,125454.0
1998-05-01,125856.0
1998-06-01,126079.0
1998-07-01,126209.0
1998-08-01,126549.0
1998-09-01,126767.0
1998-10-01,126968.0
1998-11-01,127241.0
1998-12-01,127608.0
1999-01-01,127725.0
1999-02-01,128135.0
1999-03-01,128242.0
1999-04-01,128614.0
1999-05-01,128825.0
1999-06-01,129089.0
1999-07-01,129417.0
1999-08-01,129571.0
1999-09-01,129796.0
1999-10-01,130190.0
1999-11-01,130479.0
1999-12-01,130789.0
2000-01-01,131007.0
2000-02-01,131138.0
2000-03-01,131605.0
2000-04-01,131898.0
2000-05-01,132117.0
2000-06-01,132081.0
2000-07-01,132254.0
2000-08-01,132239.0
2000-09-01,132383.0
2000-10-01,132368.0
2000-11-01,132590.0
2000-12-01,132727.0
2001-01-01,132702.0
2001-02-01,132776.0
2001-03-01,132748.0
2001-04-01,132469.0
2001-05-01,132428.0
2001-06-01,132307.0
2001-07-01,132199.0
2001-08-01,132053.0
2001-09-01,131803.0
2001-10-01,131475.0
2001-11-01,131178.0
2001-12-01,131001.0
2002-01-01,130852.0
2002-02-01,130724.0
2002-03-01,130707.0
2002-04-01,130624.0
2002-05-01,130641.0
2002-06-01,130692.0
2002-07-01,130615.0
2002-08-01,130608.0
2002-09-01,130541.0
2002-10-01,130654.0
2002-11-01,130660.0
2002-12-01,130490.0
2003-01-01,130597.0
2003-02-01,130451.0
2003-03-01,130243.0
2003-04-01,130194.0
2003-05-01,130205.0
2003-06-01,130198.0
2003-07-01,130217.0
2003-08-01,130171.0
2003-09-01,130281.0
2003-10-01,130486.0
2003-11-01,130489.0
2003-12-01,130610.0
2004-01-01,130777.0
2004-02-01,130835.0
2004-03-01,131163.0
2004-04-01,131417.0
2004-05-01,131714.0
2004-06-01,131796.0
2004-07-01,131841.0
2004-08-01,131957.0
2004-09-01,132114.0
2004-10-01,132462.0
2004-11-01,132525.0
2004-12-01,132651.0
2005-01-01,132798.0
2005-02-01,133042.0
2005-03-01,133180.0
2005-04-01,133538.0
2005-05-01,133710.0
2005-06-01,133957.0
2005-07-01,134328.0
2005-08-01,134524.0
2005-09-01,134590.0
2005-10-01,134676.0
2005-11-01,135013.0
2005-12-01,135168.0
2006-01-01,135450.0
2006-02-01,135762.0
2006-03-01,136059.0
2006-04-01,136227.0
2006-05-01,136258.0
2006-06-01,136337.0
2006-07-01,136543.0
2006-08-01,136722.0
2006-09-01,136870.0
2006-10-01,136882.0
2006-11-01,137090.0
2006-12-01,137263.0
2007-01-01,137497.0
2007-02-01,137582.0
2007-03-01,137796.0
2007-04-01,137855.0
2007-05-01,138008.0
2007-06-01,138085.0
2007-07-01,138055.0
2007-08-01,138027.0
2007-09-01,138123.0
2007-10-01,138201.0
2007-11-01,138307.0
2007-12-01,138411.0
2008-01-01,138419.0
2008-02-01,138338.0
2008-03-01,138283.0
2008-04-01,138054.0
2008-05-01,137870.0
2008-06-01,137716.0
2008-07-01,137503.0
2008-08-01,137226.0
2008-09-01,136783.0
2008-10-01,136308.0
2008-11-01,135549.0
2008-12-01,134842.0
2009-01-01,134055.0
2009-02-01,133351.0
2009-03-01,132549.0
2009-04-01,131845.0
2009-05-01,131491.0
2009-06-01,131022.0
2009-07-01,130680.0
2009-08-01,130484.0
