date_,BASE
1994-12-21,435.286
1995-01-04,435.179
1995-01-18,438.123
1995-02-01,438.735
1995-02-15,438.861
1995-03-01,440.598
1995-03-15,441.604
1995-03-29,445.048
1995-04-12,444.184
1995-04-26,447.754
1995-05-10,447.91
1995-05-24,448.683
1995-06-07,448.932
1995-06-21,448.626
1995-07-05,448.457
1995-07-19,449.503
1995-08-02,450.554
1995-08-16,450.722
1995-08-30,451.876
1995-09-13,451.787
1995-09-27,452.982
1995-10-11,453.054
1995-10-25,453.592
1995-11-08,453.004
1995-11-22,453.165
1995-12-06,455.12
1995-12-20,455.013
1996-01-03,456.408
1996-01-17,456.669
1996-01-31,456.156
1996-02-14,454.718
1996-02-28,457.063
1996-03-13,458.612
1996-03-27,461.086
1996-04-10,460.294
1996-04-24,460.876
1996-05-08,460.522
1996-05-22,462.634
1996-06-05,464.617
1996-06-19,464.163
1996-07-03,466.471
1996-07-17,465.727
1996-07-31,469.069
1996-08-14,469.498
1996-08-28,471.251
1996-09-11,471.533
1996-09-25,473.005
1996-10-09,472.624
1996-10-23,475.004
1996-11-06,474.865
1996-11-20,475.598
1996-12-04,478.447
1996-12-18,479.173
1997-01-01,479.762
1997-01-15,479.047
1997-01-29,481.439
1997-02-12,482.617
1997-02-26,484.504
1997-03-12,483.888
1997-03-26,486.379
1997-04-09,488.132
1997-04-23,487.681
1997-05-07,490.437
1997-05-21,491.397
1997-06-04,491.96
1997-06-18,489.998
1997-07-02,494.188
1997-07-16,493.499
1997-07-30,495.773
1997-08-13,496.337
1997-08-27,499.196
1997-09-10,499.599
1997-09-24,499.22
1997-10-08,501.157
1997-10-22,503.346
1997-11-05,505.354
1997-11-19,506.383
1997-12-03,509.15
1997-12-17,508.025
1997-12-31,510.788
1998-01-14,510.869
1998-01-28,512.213
1998-02-11,513.714
1998-02-25,515.538
1998-03-11,515.46
1998-03-25,518.136
1998-04-08,518.572
1998-04-22,519.81
1998-05-06,520.641
1998-05-20,519.819
1998-06-03,523.135
1998-06-17,521.57
1998-07-01,525.247
1998-07-15,521.477
1998-07-29,525.404
1998-08-12,526.522
