date_,NEWORDER
2014-03-01,68370.0
2014-04-01,66384.0
2014-05-01,65391.0
2014-06-01,69253.0
2014-07-01,67562.0
2014-08-01,68276.0
2014-09-01,69513.0
2014-10-01,65175.0
2014-11-01,64278.0
2014-12-01,65880.0
2015-01-01,65614.0
2015-02-01,63924.0
2015-03-01,64504.0
2015-04-01,64022.0
2015-05-01,62840.0
2015-06-01,63157.0
2015-07-01,64074.0
2015-08-01,63299.0
2015-09-01,63499.0
2015-10-01,62763.0
2015-11-01,62323.0
2015-12-01,60212.0
2016-01-01,61655.0
2016-02-01,60502.0
2016-03-01,60479.0
2016-04-01,60600.0
2016-05-01,59326.0
2016-06-01,59613.0
2016-07-01,60645.0
2016-08-01,61818.0
2016-09-01,60336.0
2016-10-01,59948.0
2016-11-01,60642.0
2016-12-01,60505.0
2017-01-01,62227.0
2017-02-01,62440.0
2017-03-01,62915.0
2017-04-01,63524.0
2017-05-01,63937.0
2017-06-01,63507.0
2017-07-01,64240.0
2017-08-01,64649.0
2017-09-01,68355.0
2017-10-01,67070.0
2017-11-01,65034.0
2017-12-01,66860.0
2018-01-01,66070.0
2018-02-01,67149.0
2018-03-01,66577.0
2018-04-01,67275.0
