,Price,Allocation,Dollar Value,Shares
AGG,106.800003,-0.14606265385472234,-32133,-300
BNDX,54.650002,0.37218690995985554,81881,1498
IBDH,25.110001,0.20950174989251302,46090,1835
LQD,116.959999,-0.043965184658125454,-9672,-82
TIP,113.110001,0.10582710474609351,23281,205
XLI,73.989998,0.013531444821894428,2976,40
XLK,66.32,0.016115309170535334,3545,53
XLP,52.59,-0.02771117919205647,-6096,-115
XLRE,30.540001,-0.01685678502056681,-3708,-121
XLY,101.220001,0.029827436061378203,6562,64
