,Price,Allocation,Dollar Value,Shares
BNDX,54.650002,0.49999996381468403,109999,2012
IBDH,25.110001,0.2955847473279272,65028,2589
JNK,36.16,0.09422047542054737,20728,573
TIP,113.110001,0.08551121890733435,18812,166
XLE,71.410004,0.024683429250394878,5430,76
