,Price,Allocation,Dollar Value,Shares
AGG,106.800003,-0.0902112195203144,-19846,-185
BNDX,54.650002,0.1999999986706931,43999,805
EMB,112.410004,-0.010432407024460298,-2295,-20
IBDH,25.110001,0.19999999810083355,43999,1752
LQD,116.959999,-0.0821225735591444,-18066,-154
TIP,113.110001,0.19999999389104686,43999,389
VCSH,78.269997,0.06607206091541526,14535,185
XLI,73.989998,0.02139171896760582,4706,63
XLK,66.32,0.025383533243745898,5584,84
XLP,52.59,-0.0240596915553886,-5293,-100
XLRE,30.540001,-0.020022027410867796,-4404,-144
XLV,81.870003,-0.01232736909806061,-2712,-33
XLY,101.220001,0.028587087116067698,6289,62
