,Price,Allocation,Dollar Value,Shares
BIL,91.510002,0.29999999658781795,65999,721
DJCI,16.4172,0.29999999247923315,65999,4020
HYG,85.889999,0.29999999370914304,65999,768
IWM,155.550003,0.09999979578253299,21999,141
