,Price,Allocation,Dollar Value,Shares
XLB,58.110001,0.29999999880346656,65999,1135
XLE,71.410004,0.299999999898372,65999,924
XLK,66.32,0.09999999949191139,21999,331
XLP,52.59,0.29999999829398755,65999,1254
