,Price,Allocation,Dollar Value,Shares
BNDX,54.650002,0.2999999716194052,65999,1207
JNK,36.16,0.2999999672013246,65999,1825
MUB,108.470001,0.22799661935122842,50159,462
VCSH,78.269997,0.17200324969111136,37840,483
