,Price,Allocation,Dollar Value,Shares
VCR,158.71000700000005,0.19999999871950255,43999,277
VDE,98.0,0.19999999817313377,43999,448
VFH,69.120003,0.0950620333284336,20913,302
VGT,173.220001,0.19999999911992578,43999,254
VIS,138.690002,0.0320258789142126,7045,50
VNQ,74.660004,-0.04999999572108282,-10999,-147
VOX,85.690002,-0.19999999692542567,-43999,-513
VPU,110.339996,0.022912074932376746,5040,45
