,Price,Allocation,Dollar Value,Shares
VAW,131.869995,0.2999999978269236,65999,500
VDC,136.119995,0.09999999549324286,21999,161
VDE,98.0,0.2999999998566693,65999,673
VOX,85.690002,0.2999999991379877,65999,770
