,Company,Price,Allocation,Dollar Value,Shares
OXY,Occidental Petroleum,73.629997,0.0499999999992095,10999,149
PSX,Phillips 66,103.739998,0.040642530546098836,8941,86
NOV,National Oilwell Varco Inc,40.919998,0.04999999997555535,10999,268
PCG,PG&E Corporation,45.34,0.04999999999955202,10999,242
EIX,Edison Intl,63.439999,0.049999999996369456,10999,173
PPL,PPL Corp,27.790001,0.04999999999895855,10999,395
NTAP,NetApp Inc,67.470001,0.049999999998043373,10999,163
MON,Monsanto Co.,125.400002,0.049999999999755754,10999,87
NEM,Newmont Mining Corp,41.599998,0.04999999999856106,10999,264
GIS,General Mills Inc,44.799999,0.04999999996897952,10999,245
ADM,Archer-Daniels-Midland Co,45.200001,0.04999999999859776,10999,243
CPB,Campbell Soup Co,42.450001,0.049999999996552635,10999,259
ULTA,"Ulta Beauty, Inc",220.880005,0.04999999999945991,10999,49
VIAB,Viacom Inc B,30.700001,0.024611795079009985,5414,176
DRI,Darden Restaurants Inc,87.720001,0.04999999999834828,10999,125
MAT,Mattel Inc,14.64,0.04900809236585307,10781,736
DISCA,Discovery Communications Inc A,22.83,0.0499999999880759,10999,481
AET,Aetna Inc,172.929993,0.049999999987218297,10999,63
LUK,Leucadia National Corp (NY),24.299999,0.017873695120557566,3932,161
VTR,Ventas Inc,48.540001,0.04999999999737899,10999,226
ESS,Essex Property Trust,242.990005,0.049999999998518584,10999,45
