"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AAPL","Apple Inc.","14.09%","167.90","-0.95","-0.56%","25.20 M","138.62 - 183.50",
"MSFT","Microsoft Corp","11.37%","89.15","-0.64","-0.71%","23.10 M","64.35 - 97.24",
"FB","Facebook Inc A","6.50%","161.06","-3.83","-2.32%","36.24 M","138.77 - 195.32",
"GOOG","Alphabet Inc C","5.25%","1040.37","-8.71","-0.83%","1.26 M","803.37 - 1186.89",
"GOOGL","Alphabet Inc A","5.17%","1043.24","-9.92","-0.94%","1.53 M","824.30 - 1198.00",
"INTC","Intel Corp","3.91%","50.38","-0.45","-0.89%","25.08 M","33.23 - 53.78",
"T","AT&T Inc","3.57%","34.97","-0.40","-1.13%","17.42 M","32.55 - 41.91",
"V","Visa Inc A","3.56%","118.65","-1.34","-1.12%","5.86 M","88.07 - 126.88",
"CSCO","Cisco Systems Inc","3.41%","43.26","+0.19","+0.44%","18.57 M","30.36 - 46.16",
"VZ","Verizon Communications Inc","3.18%","46.75","-0.13","-0.28%","9.03 M","42.80 - 54.77",
"MA","Mastercard Inc A","2.66%","174.53","-1.00","-0.57%","2.24 M","110.33 - 183.73",
"NVDA","Nvidia Corp","2.41%","235.28","-6.57","-2.72%","14.43 M","95.49 - 254.50",
"ORCL","Oracle Corp","2.28%","45.63","-0.27","-0.58%","12.38 M","43.60 - 53.48",
"IBM","Intl Business Machines Corp","2.14%","150.83","-1.26","-0.83%","2.36 M","139.13 - 176.33",
"ADBE","Adobe Systems Inc","1.78%","218.59","-1.93","-0.88%","2.66 M","126.01 - 231.34",
"TXN","Texas Instruments Inc","1.68%","103.15","-0.75","-0.72%","3.03 M","75.92 - 120.75",
"AVGO","Broadcom Limited","1.64%","243.35","-0.22","-0.09%","3.60 M","208.44 - 285.68",
"ACN","Accenture plc A","1.52%","149.54","-0.69","-0.46%","2.53 M","114.82 - 165.58",
"PYPL","PayPal Holdings Inc.","1.46%","77.27","-1.29","-1.64%","5.24 M","42.06 - 86.32",
"QCOM","QUALCOMM Inc","1.35%","54.85","-0.73","-1.31%","8.92 M","48.92 - 69.28",
"CRM","Salesforce.com","1.33%","115.71","-2.33","-1.98%","7.48 M","80.50 - 128.87",
"MU","Micron Technology Inc","1.12%","54.31","-4.61","-7.82%","100.94 M","26.04 - 63.42",
"AMAT","Applied Materials Inc","1.02%","56.64","-2.33","-3.94%","11.78 M","37.41 - 62.40",
"ATVI","Activision Blizzard Inc","0.87%","69.09","-0.67","-0.96%","2.62 M","48.13 - 79.63",
"ADP","Automatic Data Processing","0.82%","111.25","-1.89","-1.67%","1.35 M","95.50 - 125.24",
"CTSH","Cognizant Tech Solutions Corp","0.78%","80.20","-0.77","-0.95%","1.62 M","57.50 - 85.10",
"INTU","Intuit Inc","0.70%","172.80","-2.03","-1.16%","922.74 K","114.80 - 179.30",
"EBAY","eBay Inc.","0.63%","40.11","-0.48","-1.17%","4.57 M","31.89 - 46.99",
"EA","Electronic Arts","0.62%","123.05","+0.07","+0.06%","1.21 M","87.94 - 131.13",
"HPQ","HP Inc","0.61%","22.01","-0.46","-2.05%","7.03 M","17.03 - 24.75",
"LRCX","Lam Research Corp","0.58%","206.00","-8.82","-4.11%","3.34 M","124.82 - 234.88",
"TEL","TE Connectivity Ltd.","0.58%","98.16","-2.33","-2.32%","841.80 K","71.93 - 108.23",
"ADI","Analog Devices Inc","0.55%","89.20","-1.34","-1.48%","1.02 M","74.65 - 98.38",
"FIS","Fidelity National Information","0.53%","96.20","-1.32","-1.35%","777.20 K","78.89 - 103.65",
"WDC","Western Digital Corp","0.49%","93.56","-7.27","-7.21%","6.72 M","74.05 - 106.96",
"ADSK","Autodesk Inc","0.48%","130.14","-1.27","-0.97%","1.46 M","82.70 - 141.26",
"FISV","Fiserv Inc","0.48%","70.91","-0.43","-0.60%","1.06 M","57.41 - 74.46",
"DXC","DXC Technology Company","0.48%","102.59","-0.45","-0.44%","965.34 K","67.76 - 107.85",
"HPE","Hewlett Packard Enterprise Co","0.47%","17.86","-0.46","-2.51%","5.94 M","12.82 - 19.48",
"APH","Amphenol Corp A","0.44%","86.40","-1.77","-2.01%","509.07 K","68.57 - 93.62",
"RHT","Red Hat Inc","0.44%","150.16","-0.87","-0.58%","1.00 M","81.92 - 157.22",
"GLW","Corning Inc","0.41%","28.14","-0.42","-1.47%","3.13 M","26.32 - 35.10",
"MCHP","Microchip Technology Inc","0.37%","95.24","-1.31","-1.36%","1.52 M","71.40 - 101.48",
"PAYX","Paychex Inc","0.33%","62.01","-1.48","-2.33%","2.02 M","54.20 - 73.10",
"SWKS","Skyworks Solutions Inc","0.32%","102.43","-2.81","-2.67%","1.47 M","93.05 - 117.65",
"XLNX","Xilinx Inc","0.31%","72.47","-1.47","-1.99%","1.25 M","54.99 - 78.02",
"GPN","Global Payments Inc","0.30%","112.70","-0.81","-0.71%","277.19 K","76.47 - 118.94",
"KLAC","KLA-Tencor Corporation","0.29%","110.21","-2.71","-2.40%","1.42 M","87.93 - 123.96",
"MSI","Motorola Solutions Inc","0.29%","105.95","-1.25","-1.17%","374.64 K","79.63 - 110.29",
"STX","Seagate Technology","0.28%","57.02","-2.02","-3.42%","3.31 M","30.60 - 61.19",
"NTAP","NetApp Inc","0.27%","62.00","-0.16","-0.26%","1.10 M","37.43 - 65.58",
"SYMC","Symantec Corp","0.27%","26.28","-0.32","-1.20%","2.96 M","24.94 - 34.20",
"CTL","CenturyLink Inc","0.25%","15.71","-0.09","-0.54%","6.37 M","13.16 - 27.61",
"TSS","Total System Services Inc","0.24%","86.42","-0.80","-0.92%","376.27 K","50.96 - 90.74",
"ANSS","ANSYS Inc","0.22%","160.87","-1.54","-0.95%","174.48 K","104.55 - 171.92",
"SNPS","Synopsys Inc","0.21%","83.73","-1.08","-1.27%","354.62 K","70.37 - 94.80",
"AKAM","Akamai Technologies Inc","0.20%","71.26","-0.39","-0.54%","463.17 K","44.65 - 78.28",
"CTXS","Citrix Systems Inc","0.20%","92.73","-0.59","-0.63%","823.17 K","73.33 - 96.96",
"TTWO","Take-Two Interactive Software","0.19%","101.29","-1.10","-1.07%","1.38 M","57.32 - 129.25",
"CA","CA Inc","0.18%","33.73","-0.58","-1.69%","1.36 M","30.45 - 37.25",
"IT","Gartner Inc","0.18%","119.03","-0.39","-0.33%","548.25 K","107.00 - 142.16",
"ADS","Alliance Data Systems Corp","0.17%","218.69","-1.68","-0.76%","354.08 K","209.00 - 278.33",
"VRSN","VeriSign Inc","0.17%","121.17","-1.48","-1.21%","817.02 K","86.16 - 127.24",
"CDNS","Cadence Design Systems Inc","0.17%","36.97","-0.42","-1.12%","1.21 M","30.81 - 46.00",
"FFIV","F5 Networks Inc","0.15%","146.40","+0.13","+0.09%","291.99 K","114.63 - 153.91",
"WU","Western Union Co","0.15%","19.19","-0.16","-0.83%","1.94 M","18.39 - 22.21",
"QRVO","Qorvo, Inc","0.15%","72.21","-0.44","-0.61%","1.30 M","62.68 - 86.84",
"AMD","Advanced Micro Devices","0.15%","10.59","-0.33","-2.98%","37.25 M","9.70 - 15.65",
"IPGP","IPG Photonics Corp","0.15%","235.21","-4.52","-1.89%","224.33 K","116.82 - 264.11",
"JNPR","Juniper Networks Inc","0.14%","24.43","-0.36","-1.45%","2.06 M","23.87 - 30.96",
"FLIR","FLIR Systems Inc","0.11%","49.58","+0.02","+0.04%","650.38 K","33.95 - 52.88",
"CSRA","CSRA Inc","0.11%","41.42","-0.02","-0.05%","4.60 M","27.38 - 41.57",
"XRX","Xerox Corp","0.10%","29.18","-0.62","-2.08%","1.06 M","26.64 - 37.42",
